Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.8309±0.0386,0.8563±0.0371,0.8826±0.0309,0.8427±0.0295,0.1079±0.0060,0.0980±0.0045,0.0935±0.0025,0.0945±0.0027,0.9320±0.0244,0.9481±0.0172,0.9607±0.0163,0.9483±0.0164,0.1807±0.0065,0.1737±0.0050,0.1690±0.0041,0.1705±0.0042,0.1658±0.0140,0.1586±0.0165,0.1468±0.0107,0.1672±0.0119,0.1079±0.0060,0.0980±0.0045,0.0934±0.0026,0.0943±0.0026,0.1556±0.0039,0.1566±0.0032,0.1561±0.0039,0.1560±0.0037,0.0916±0.0022,0.0919±0.0016,0.0913±0.0016,0.0913±0.0018,0.9169±0.0264,0.9363±0.0214,0.9482±0.0286,0.9309±0.0248,0.9424±0.0205,0.9640±0.0202,0.9712±0.0153,0.9628±0.0168,0.1676±0.0039,0.1688±0.0028,0.1683±0.0030,0.1699±0.0033,0.0921±0.0022,0.0926±0.0017,0.0923±0.0017,0.0933±0.0019,0.9345±0.0230,0.9501±0.0153,0.9606±0.0165,0.9480±0.0158,0.0154±0.0073,0.0018±0.0032,0.0000±0.0000,0.0000±0.0000
PartialOrder__Hamming__None,0.8322±0.0384,0.8576±0.0386,0.8829±0.0310,0.8434±0.0295,0.1084±0.0066,0.0980±0.0045,0.0935±0.0025,0.0944±0.0026,0.9330±0.0245,0.9483±0.0173,0.9609±0.0162,0.9487±0.0162,0.1814±0.0072,0.1736±0.0050,0.1690±0.0041,0.1704±0.0042,0.1658±0.0141,0.1585±0.0165,0.1467±0.0108,0.1668±0.0119,0.1084±0.0066,0.0979±0.0045,0.0934±0.0025,0.0943±0.0025,0.1557±0.0040,0.1566±0.0032,0.1561±0.0039,0.1559±0.0036,0.0917±0.0023,0.0919±0.0016,0.0913±0.0016,0.0913±0.0017,0.9181±0.0268,0.9374±0.0231,0.9483±0.0287,0.9311±0.0248,0.9424±0.0205,0.9640±0.0202,0.9712±0.0153,0.9630±0.0167,0.1678±0.0041,0.1688±0.0028,0.1684±0.0030,0.1699±0.0032,0.0922±0.0023,0.0926±0.0017,0.0923±0.0017,0.0933±0.0018,0.9354±0.0232,0.9503±0.0155,0.9608±0.0164,0.9484±0.0157,0.0154±0.0073,0.0018±0.0032,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__2,0.8309±0.0386,0.8549±0.0353,0.8826±0.0309,0.8428±0.0295,0.1079±0.0060,0.0979±0.0045,0.0935±0.0025,0.0945±0.0026,0.9320±0.0244,0.9477±0.0166,0.9607±0.0163,0.9485±0.0164,0.1807±0.0065,0.1735±0.0050,0.1690±0.0041,0.1705±0.0042,0.1658±0.0140,0.1586±0.0166,0.1468±0.0107,0.1672±0.0119,0.1079±0.0060,0.0979±0.0045,0.0934±0.0026,0.0943±0.0026,0.1556±0.0039,0.1565±0.0032,0.1561±0.0039,0.1560±0.0037,0.0916±0.0022,0.0918±0.0016,0.0913±0.0016,0.0913±0.0018,0.9169±0.0264,0.9350±0.0204,0.9482±0.0286,0.9310±0.0248,0.9424±0.0205,0.9640±0.0202,0.9712±0.0153,0.9625±0.0165,0.1676±0.0039,0.1687±0.0028,0.1683±0.0030,0.1699±0.0033,0.0921±0.0022,0.0926±0.0017,0.0923±0.0017,0.0933±0.0019,0.9345±0.0230,0.9497±0.0149,0.9606±0.0165,0.9482±0.0157,0.0154±0.0073,0.0018±0.0032,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__None,0.8322±0.0384,0.8569±0.0367,0.8829±0.0310,0.8432±0.0294,0.1084±0.0066,0.0980±0.0045,0.0935±0.0025,0.0944±0.0026,0.9330±0.0245,0.9483±0.0170,0.9609±0.0162,0.9487±0.0162,0.1814±0.0072,0.1737±0.0051,0.1690±0.0041,0.1704±0.0042,0.1658±0.0141,0.1585±0.0166,0.1467±0.0108,0.1668±0.0119,0.1084±0.0066,0.0980±0.0046,0.0934±0.0025,0.0943±0.0025,0.1557±0.0040,0.1566±0.0033,0.1561±0.0039,0.1559±0.0036,0.0917±0.0023,0.0919±0.0016,0.0913±0.0016,0.0913±0.0017,0.9181±0.0268,0.9368±0.0223,0.9483±0.0287,0.9309±0.0245,0.9424±0.0205,0.9640±0.0202,0.9712±0.0153,0.9627±0.0164,0.1678±0.0041,0.1688±0.0029,0.1684±0.0030,0.1699±0.0032,0.0922±0.0023,0.0926±0.0017,0.0923±0.0017,0.0933±0.0018,0.9354±0.0232,0.9503±0.0153,0.9608±0.0164,0.9484±0.0156,0.0154±0.0073,0.0018±0.0032,0.0000±0.0000,0.0000±0.0000
PreOrder__Hamming__2,0.8326±0.0353,0.7981±0.0464,0.7151±0.0494,0.3971±0.0564,0.1104±0.0053,0.1054±0.0068,0.1021±0.0056,0.1140±0.0081,0.9386±0.0187,0.9257±0.0242,0.8884±0.0234,0.7853±0.0246,0.1835±0.0052,0.1808±0.0068,0.1778±0.0067,0.1937±0.0106,0.1685±0.0133,0.1870±0.0183,0.2210±0.0249,0.3787±0.0288,0.1103±0.0053,0.1052±0.0068,0.1019±0.0056,0.1134±0.0081,0.1572±0.0031,0.1577±0.0036,0.1562±0.0043,0.1595±0.0048,0.0926±0.0017,0.0931±0.0020,0.0926±0.0022,0.0968±0.0027,0.9250±0.0203,0.9121±0.0297,0.8693±0.0303,0.7210±0.0444,0.9399±0.0230,0.9493±0.0237,0.9079±0.0422,0.7896±0.0657,0.1691±0.0028,0.1700±0.0033,0.1700±0.0039,0.1851±0.0069,0.0929±0.0016,0.0936±0.0019,0.0940±0.0023,0.1049±0.0042,0.9411±0.0173,0.9260±0.0233,0.8870±0.0222,0.7840±0.0266,0.0174±0.0070,0.0068±0.0064,0.0033±0.0048,0.0014±0.0031
PreOrder__Hamming__None,0.8280±0.0371,0.7934±0.0473,0.7092±0.0521,0.4117±0.0473,0.1110±0.0043,0.1066±0.0074,0.1029±0.0060,0.1120±0.0065,0.9356±0.0193,0.9256±0.0242,0.8895±0.0230,0.7966±0.0286,0.1842±0.0047,0.1822±0.0072,0.1794±0.0073,0.1929±0.0098,0.1709±0.0130,0.1906±0.0183,0.2267±0.0262,0.3767±0.0266,0.1109±0.0043,0.1065±0.0074,0.1027±0.0060,0.1115±0.0065,0.1571±0.0032,0.1580±0.0037,0.1569±0.0045,0.1603±0.0050,0.0926±0.0016,0.0933±0.0020,0.0930±0.0023,0.0969±0.0027,0.9233±0.0229,0.9111±0.0306,0.8694±0.0319,0.7352±0.0334,0.9339±0.0183,0.9462±0.0244,0.8990±0.0420,0.8030±0.0654,0.1691±0.0028,0.1706±0.0034,0.1712±0.0041,0.1868±0.0077,0.0929±0.0016,0.0940±0.0019,0.0947±0.0024,0.1058±0.0046,0.9383±0.0179,0.9258±0.0232,0.8879±0.0228,0.7954±0.0293,0.0174±0.0053,0.0078±0.0077,0.0027±0.0048,0.0002±0.0010
PreOrder__Subset__2,0.8307±0.0340,0.7945±0.0437,0.7124±0.0506,0.3961±0.0560,0.1105±0.0052,0.1059±0.0071,0.1020±0.0058,0.1136±0.0081,0.9386±0.0186,0.9253±0.0245,0.8869±0.0252,0.7811±0.0265,0.1838±0.0050,0.1812±0.0070,0.1776±0.0070,0.1929±0.0107,0.1696±0.0135,0.1881±0.0183,0.2215±0.0250,0.3781±0.0288,0.1105±0.0052,0.1058±0.0071,0.1018±0.0058,0.1130±0.0081,0.1573±0.0030,0.1577±0.0034,0.1560±0.0045,0.1591±0.0049,0.0927±0.0015,0.0931±0.0019,0.0926±0.0023,0.0965±0.0028,0.9243±0.0187,0.9097±0.0272,0.8674±0.0316,0.7203±0.0418,0.9384±0.0222,0.9492±0.0241,0.9063±0.0411,0.7838±0.0671,0.1693±0.0026,0.1701±0.0032,0.1698±0.0042,0.1842±0.0071,0.0930±0.0015,0.0937±0.0018,0.0939±0.0025,0.1045±0.0043,0.9411±0.0173,0.9256±0.0231,0.8854±0.0245,0.7804±0.0286,0.0174±0.0070,0.0076±0.0074,0.0031±0.0048,0.0016±0.0031
PreOrder__Subset__None,0.8272±0.0346,0.7937±0.0473,0.7081±0.0515,0.4100±0.0486,0.1114±0.0051,0.1066±0.0076,0.1027±0.0061,0.1116±0.0065,0.9356±0.0172,0.9253±0.0243,0.8883±0.0242,0.7940±0.0300,0.1843±0.0051,0.1820±0.0073,0.1790±0.0075,0.1921±0.0099,0.1711±0.0133,0.1902±0.0183,0.2266±0.0263,0.3754±0.0267,0.1113±0.0051,0.1065±0.0076,0.1025±0.0061,0.1111±0.0066,0.1572±0.0032,0.1579±0.0036,0.1567±0.0046,0.1599±0.0048,0.0926±0.0015,0.0932±0.0020,0.0929±0.0024,0.0967±0.0027,0.9226±0.0206,0.9110±0.0306,0.8683±0.0318,0.7332±0.0337,0.9339±0.0183,0.9467±0.0236,0.8978±0.0420,0.7973±0.0686,0.1691±0.0027,0.1705±0.0033,0.1710±0.0044,0.1860±0.0077,0.0929±0.0016,0.0939±0.0019,0.0946±0.0026,0.1054±0.0046,0.9383±0.0161,0.9254±0.0233,0.8868±0.0237,0.7931±0.0304,0.0184±0.0062,0.0082±0.0082,0.0027±0.0048,0.0002±0.0010
br,0.9811±0.0024,0.9743±0.0095,0.9669±0.0121,0.9277±0.0170,0.0491±0.0052,0.0527±0.0127,0.0543±0.0166,0.0869±0.0221,0.0491±0.0052,0.0522±0.0122,0.0558±0.0173,0.1003±0.0235,0.0491±0.0052,0.0523±0.0123,0.0545±0.0169,0.0902±0.0226,0.9124±0.0010,0.9116±0.0015,0.9092±0.0016,0.8976±0.0052,0.0491±0.0052,0.0520±0.0121,0.0534±0.0169,0.0846±0.0220,0.0283±0.0049,0.0365±0.0156,0.0421±0.0173,0.0662±0.0173,0.1251±0.0207,0.1658±0.0588,0.1576±0.0672,0.1462±0.0406,0.0164±0.0027,0.0217±0.0092,0.0258±0.0109,0.0467±0.0133,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9989±0.0021,0.0854±0.0085,0.0905±0.0205,0.0936±0.0257,0.1435±0.0309,0.7080±0.1129,0.6261±0.1304,0.4580±0.0770,0.2931±0.0604,0.0455±0.0047,0.0491±0.0118,0.0525±0.0156,0.0958±0.0225,0.0491±0.0052,0.0511±0.0117,0.0503±0.0172,0.0691±0.0213
cc,0.9784±0.0088,0.9740±0.0105,0.9685±0.0134,0.9258±0.0229,0.0481±0.0151,0.0517±0.0139,0.0599±0.0209,0.0838±0.0343,0.0481±0.0151,0.0520±0.0137,0.0615±0.0221,0.0951±0.0363,0.0481±0.0151,0.0517±0.0138,0.0602±0.0211,0.0864±0.0351,0.9124±0.0022,0.9116±0.0016,0.9099±0.0022,0.8981±0.0062,0.0481±0.0151,0.0515±0.0138,0.0594±0.0205,0.0816±0.0350,0.0334±0.0162,0.0369±0.0166,0.0393±0.0166,0.0691±0.0266,0.1731±0.0523,0.1472±0.0594,0.1511±0.0557,0.1447±0.0561,0.0192±0.0095,0.0222±0.0101,0.0245±0.0114,0.0498±0.0207,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9989±0.0021,0.0835±0.0249,0.0892±0.0225,0.1018±0.0339,0.1370±0.0461,0.7145±0.1751,0.6275±0.1208,0.4898±0.1057,0.2897±0.0836,0.0445±0.0138,0.0484±0.0128,0.0574±0.0207,0.0910±0.0339,0.0481±0.0151,0.0509±0.0139,0.0571±0.0191,0.0685±0.0349
