Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PartialOrder__Hamming__None,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PartialOrder__Subset__2,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PartialOrder__Subset__None,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PreOrder__Hamming__2,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PreOrder__Hamming__None,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PreOrder__Subset__2,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
PreOrder__Subset__None,0.9461±0.0043,0.9324±0.0059,0.9160±0.0071,0.8830±0.0082,0.9534±0.0048,0.9391±0.0065,0.9210±0.0080,0.8867±0.0086,0.8511±0.0109,0.8273±0.0128,0.7889±0.0126,0.7089±0.0141,0.8577±0.0124,0.8347±0.0145,0.7933±0.0166,0.7079±0.0169,0.3826±0.0386,0.4208±0.0401,0.4975±0.0421,0.6842±0.0542,0.8884±0.0121,0.8819±0.0127,0.8627±0.0113,0.8173±0.0147,0.1890±0.0177,0.1948±0.0209,0.2216±0.0196,0.2803±0.0245,0.0600±0.0078,0.0670±0.0085,0.0815±0.0083,0.1180±0.0107
br,0.9461±0.0043,0.9317±0.0070,0.9163±0.0069,0.8862±0.0085,0.9534±0.0048,0.9388±0.0071,0.9216±0.0076,0.8884±0.0091,0.8511±0.0109,0.8261±0.0149,0.7921±0.0138,0.7112±0.0184,0.8577±0.0124,0.8326±0.0167,0.7971±0.0160,0.7104±0.0215,0.3826±0.0386,0.4194±0.0414,0.4980±0.0373,0.6706±0.0520,0.8884±0.0121,0.8821±0.0129,0.8646±0.0129,0.8202±0.0146,0.1890±0.0177,0.1928±0.0213,0.2163±0.0221,0.2793±0.0240,0.0600±0.0078,0.0665±0.0088,0.0816±0.0082,0.1154±0.0106
cc,0.9471±0.0056,0.9340±0.0066,0.9186±0.0094,0.8809±0.0091,0.9542±0.0055,0.9401±0.0072,0.9232±0.0103,0.8837±0.0091,0.8508±0.0120,0.8298±0.0132,0.7914±0.0176,0.7022±0.0192,0.8585±0.0130,0.8360±0.0152,0.7957±0.0216,0.7011±0.0212,0.3968±0.0452,0.4252±0.0373,0.4955±0.0539,0.7001±0.0520,0.8864±0.0123,0.8812±0.0119,0.8655±0.0166,0.8149±0.0151,0.1911±0.0184,0.1959±0.0195,0.2118±0.0271,0.2821±0.0227,0.0626±0.0093,0.0677±0.0078,0.0811±0.0112,0.1207±0.0106
