Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1732±0.0106,0.2716±0.0260,0.4531±0.0215,0.6725±0.0242,0.6434±0.0163,0.5689±0.0221,0.4302±0.0183,0.2714±0.0121,0.8684±0.0058,0.9077±0.0134,0.9459±0.0089,0.9685±0.0069,0.6826±0.0134,0.6332±0.0176,0.5322±0.0154,0.4023±0.0108,0.7412±0.0145,0.6787±0.0176,0.5689±0.0173,0.4134±0.0163,0.6266±0.0152,0.5556±0.0203,0.4233±0.0178,0.2697±0.0115,0.5421±0.0146,0.4996±0.0143,0.4372±0.0109,0.3696±0.0066,0.4003±0.0161,0.3483±0.0133,0.2862±0.0089,0.2294±0.0049,0.8642±0.0073,0.9033±0.0127,0.9418±0.0092,0.9659±0.0080,0.2985±0.0197,0.3879±0.0389,0.5421±0.0297,0.7345±0.0339,0.5422±0.0140,0.4997±0.0143,0.4378±0.0110,0.3704±0.0066,0.3972±0.0149,0.3467±0.0134,0.2857±0.0090,0.2293±0.0051,0.8549±0.0058,0.8953±0.0135,0.9369±0.0090,0.9637±0.0084,0.5098±0.0170,0.3960±0.0265,0.2074±0.0233,0.0310±0.0107
PartialOrder__Hamming__None,0.1786±0.0095,0.2816±0.0249,0.4587±0.0207,0.6770±0.0241,0.6410±0.0166,0.5662±0.0219,0.4269±0.0179,0.2685±0.0114,0.8801±0.0051,0.9151±0.0122,0.9484±0.0085,0.9697±0.0067,0.6842±0.0137,0.6334±0.0173,0.5304±0.0148,0.4001±0.0102,0.7406±0.0141,0.6776±0.0174,0.5671±0.0167,0.4111±0.0158,0.6251±0.0151,0.5537±0.0199,0.4204±0.0173,0.2669±0.0109,0.5449±0.0141,0.5008±0.0140,0.4368±0.0105,0.3690±0.0063,0.4003±0.0152,0.3482±0.0131,0.2856±0.0086,0.2289±0.0047,0.8751±0.0050,0.9103±0.0113,0.9445±0.0087,0.9672±0.0078,0.3075±0.0176,0.3918±0.0365,0.5456±0.0291,0.7374±0.0329,0.5449±0.0137,0.5010±0.0141,0.4375±0.0105,0.3698±0.0063,0.3976±0.0145,0.3468±0.0131,0.2852±0.0086,0.2288±0.0049,0.8665±0.0024,0.9031±0.0122,0.9398±0.0084,0.9650±0.0081,0.5006±0.0169,0.3894±0.0264,0.2020±0.0230,0.0273±0.0104
PartialOrder__Subset__2,0.1717±0.0105,0.2711±0.0258,0.4525±0.0218,0.6723±0.0242,0.6428±0.0158,0.5685±0.0219,0.4302±0.0183,0.2713±0.0121,0.8657±0.0043,0.9068±0.0130,0.9452±0.0086,0.9680±0.0071,0.6813±0.0128,0.6327±0.0174,0.5320±0.0153,0.4021±0.0109,0.7397±0.0139,0.6783±0.0174,0.5687±0.0172,0.4132±0.0163,0.6258±0.0147,0.5552±0.0201,0.4232±0.0178,0.2696±0.0115,0.5399±0.0136,0.4991±0.0141,0.4369±0.0107,0.3694±0.0067,0.3984±0.0152,0.3479±0.0132,0.2860±0.0088,0.2293±0.0050,0.8619±0.0063,0.9026±0.0124,0.9411±0.0090,0.9655±0.0083,0.3015±0.0208,0.3882±0.0389,0.5423±0.0296,0.7346±0.0338,0.5399±0.0132,0.4992±0.0141,0.4375±0.0108,0.3702±0.0067,0.3953±0.0142,0.3464±0.0132,0.2855±0.0089,0.2292±0.0051,0.8522±0.0050,0.8945±0.0132,0.9362±0.0088,0.9633±0.0087,0.5102±0.0165,0.3959±0.0264,0.2076±0.0235,0.0310±0.0107
PartialOrder__Subset__None,0.1788±0.0111,0.2817±0.0247,0.4587±0.0207,0.6768±0.0240,0.6405±0.0165,0.5661±0.0219,0.4269±0.0179,0.2684±0.0114,0.8784±0.0058,0.9150±0.0118,0.9484±0.0084,0.9694±0.0068,0.6834±0.0135,0.6333±0.0172,0.5305±0.0148,0.4000±0.0102,0.7396±0.0135,0.6775±0.0174,0.5671±0.0167,0.4109±0.0158,0.6246±0.0149,0.5537±0.0198,0.4205±0.0173,0.2667±0.0109,0.5434±0.0133,0.5007±0.0139,0.4368±0.0105,0.3689±0.0063,0.3990±0.0144,0.3481±0.0130,0.2856±0.0086,0.2288±0.0047,0.8736±0.0046,0.9103±0.0111,0.9445±0.0087,0.9669±0.0079,0.3085±0.0173,0.3922±0.0365,0.5459±0.0292,0.7376±0.0330,0.5435±0.0129,0.5009±0.0140,0.4375±0.0105,0.3697±0.0063,0.3964±0.0138,0.3467±0.0131,0.2851±0.0087,0.2287±0.0049,0.8650±0.0033,0.9030±0.0119,0.9398±0.0084,0.9647±0.0082,0.5006±0.0169,0.3894±0.0264,0.2020±0.0230,0.0273±0.0104
PreOrder__Hamming__2,0.1658±0.0131,0.1687±0.0189,0.1756±0.0242,0.1927±0.0246,0.6528±0.0167,0.6377±0.0200,0.6006±0.0185,0.5176±0.0201,0.8622±0.0088,0.8689±0.0151,0.8730±0.0167,0.8727±0.0109,0.6880±0.0143,0.6795±0.0168,0.6558±0.0164,0.6015±0.0165,0.7499±0.0150,0.7458±0.0177,0.7330±0.0152,0.7107±0.0171,0.6335±0.0155,0.6188±0.0181,0.5838±0.0177,0.5054±0.0184,0.5480±0.0165,0.5459±0.0184,0.5348±0.0159,0.5158±0.0160,0.4090±0.0175,0.4041±0.0191,0.3901±0.0152,0.3693±0.0156,0.8563±0.0114,0.8641±0.0142,0.8680±0.0165,0.8670±0.0105,0.2871±0.0379,0.2745±0.0274,0.2813±0.0320,0.2842±0.0379,0.5482±0.0159,0.5462±0.0182,0.5353±0.0158,0.5157±0.0155,0.4056±0.0164,0.4020±0.0189,0.3891±0.0152,0.3686±0.0157,0.8464±0.0100,0.8530±0.0141,0.8581±0.0163,0.8593±0.0108,0.5177±0.0152,0.4882±0.0210,0.4248±0.0213,0.2843±0.0218
PreOrder__Hamming__None,0.1667±0.0132,0.1737±0.0205,0.1989±0.0201,0.2610±0.0185,0.6492±0.0167,0.6315±0.0166,0.5763±0.0153,0.4531±0.0173,0.8751±0.0087,0.8874±0.0119,0.8934±0.0131,0.8990±0.0104,0.6902±0.0139,0.6815±0.0141,0.6463±0.0138,0.5628±0.0150,0.7488±0.0147,0.7448±0.0161,0.7250±0.0142,0.6798±0.0155,0.6326±0.0146,0.6154±0.0143,0.5640±0.0151,0.4456±0.0168,0.5510±0.0157,0.5505±0.0161,0.5341±0.0144,0.4988±0.0146,0.4084±0.0167,0.4042±0.0166,0.3844±0.0135,0.3475±0.0130,0.8696±0.0090,0.8820±0.0110,0.8891±0.0132,0.8940±0.0100,0.2925±0.0277,0.2848±0.0263,0.3025±0.0323,0.3413±0.0388,0.5514±0.0150,0.5509±0.0162,0.5346±0.0143,0.4985±0.0138,0.4057±0.0158,0.4026±0.0167,0.3838±0.0135,0.3466±0.0126,0.8611±0.0076,0.8729±0.0107,0.8814±0.0134,0.8884±0.0106,0.5089±0.0147,0.4705±0.0148,0.3780±0.0180,0.1757±0.0221
PreOrder__Subset__2,0.1664±0.0131,0.1689±0.0178,0.1731±0.0245,0.1867±0.0254,0.6528±0.0174,0.6375±0.0199,0.6017±0.0185,0.5195±0.0202,0.8595±0.0077,0.8647±0.0147,0.8703±0.0160,0.8676±0.0108,0.6866±0.0147,0.6779±0.0168,0.6555±0.0164,0.6014±0.0166,0.7493±0.0152,0.7448±0.0176,0.7329±0.0158,0.7109±0.0173,0.6320±0.0160,0.6179±0.0179,0.5842±0.0179,0.5069±0.0187,0.5463±0.0165,0.5436±0.0183,0.5339±0.0164,0.5142±0.0161,0.4080±0.0178,0.4028±0.0190,0.3899±0.0158,0.3688±0.0158,0.8526±0.0096,0.8597±0.0140,0.8650±0.0162,0.8617±0.0109,0.2836±0.0360,0.2726±0.0265,0.2786±0.0311,0.2791±0.0385,0.5465±0.0157,0.5439±0.0182,0.5343±0.0164,0.5143±0.0156,0.4046±0.0165,0.4006±0.0188,0.3888±0.0158,0.3682±0.0158,0.8425±0.0078,0.8483±0.0137,0.8549±0.0158,0.8537±0.0111,0.5164±0.0163,0.4887±0.0205,0.4274±0.0215,0.2900±0.0222
PreOrder__Subset__None,0.1660±0.0138,0.1733±0.0196,0.1993±0.0195,0.2607±0.0178,0.6487±0.0168,0.6307±0.0170,0.5751±0.0158,0.4534±0.0164,0.8728±0.0091,0.8867±0.0122,0.8930±0.0132,0.8986±0.0110,0.6892±0.0140,0.6808±0.0144,0.6453±0.0141,0.5629±0.0145,0.7482±0.0148,0.7438±0.0156,0.7244±0.0143,0.6795±0.0150,0.6317±0.0145,0.6148±0.0148,0.5629±0.0154,0.4459±0.0160,0.5497±0.0160,0.5492±0.0158,0.5335±0.0146,0.4984±0.0145,0.4075±0.0168,0.4031±0.0161,0.3837±0.0136,0.3471±0.0127,0.8670±0.0095,0.8812±0.0112,0.8889±0.0136,0.8937±0.0111,0.2920±0.0260,0.2839±0.0256,0.3040±0.0330,0.3422±0.0378,0.5500±0.0154,0.5497±0.0158,0.5340±0.0146,0.4982±0.0138,0.4048±0.0159,0.4015±0.0162,0.3832±0.0137,0.3463±0.0123,0.8584±0.0080,0.8722±0.0109,0.8811±0.0136,0.8881±0.0119,0.5081±0.0143,0.4701±0.0160,0.3767±0.0186,0.1764±0.0210
br,0.3743±0.0174,0.3746±0.0196,0.3630±0.0313,0.3540±0.0307,0.6228±0.0154,0.6156±0.0194,0.6114±0.0282,0.5550±0.0249,0.6075±0.0142,0.6038±0.0176,0.6093±0.0294,0.5913±0.0280,0.6108±0.0141,0.6047±0.0180,0.6035±0.0279,0.5605±0.0251,0.9163±0.0028,0.9136±0.0040,0.9083±0.0045,0.8833±0.0051,0.6021±0.0134,0.5947±0.0173,0.5900±0.0264,0.5366±0.0242,0.7160±0.0120,0.7074±0.0148,0.6977±0.0222,0.6419±0.0204,0.9003±0.0164,0.8832±0.0160,0.8406±0.0197,0.7126±0.0214,0.6122±0.0162,0.6095±0.0195,0.6136±0.0296,0.5953±0.0270,0.6268±0.0352,0.6555±0.0329,0.6306±0.0600,0.5885±0.0785,0.7174±0.0109,0.7095±0.0152,0.6983±0.0197,0.6395±0.0187,0.9064±0.0180,0.8904±0.0169,0.8483±0.0186,0.7158±0.0218,0.5938±0.0127,0.5899±0.0170,0.5941±0.0280,0.5787±0.0282,0.5762±0.0112,0.5647±0.0156,0.5501±0.0225,0.4673±0.0237
cc,0.3551±0.0284,0.3577±0.0197,0.3610±0.0237,0.3562±0.0337,0.6456±0.0238,0.6323±0.0184,0.6118±0.0255,0.5522±0.0322,0.6266±0.0246,0.6201±0.0171,0.6114±0.0258,0.5894±0.0343,0.6322±0.0242,0.6212±0.0176,0.6047±0.0253,0.5578±0.0322,0.9176±0.0044,0.9149±0.0034,0.9080±0.0054,0.8817±0.0059,0.6246±0.0243,0.6111±0.0174,0.5910±0.0248,0.5335±0.0306,0.7281±0.0190,0.7180±0.0143,0.6991±0.0217,0.6373±0.0234,0.8910±0.0109,0.8750±0.0155,0.8381±0.0199,0.7069±0.0233,0.6293±0.0283,0.6245±0.0189,0.6148±0.0238,0.5915±0.0314,0.6131±0.0252,0.6222±0.0295,0.6128±0.0561,0.5974±0.0659,0.7261±0.0180,0.7179±0.0133,0.6985±0.0203,0.6352±0.0231,0.8956±0.0092,0.8821±0.0159,0.8443±0.0201,0.7084±0.0218,0.6109±0.0237,0.6054±0.0167,0.5960±0.0241,0.5767±0.0325,0.6016±0.0246,0.5810±0.0172,0.5506±0.0238,0.4636±0.0270
