Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6570±0.0130,0.6205±0.0194,0.5081±0.0270,0.4115±0.0298,0.6890±0.0063,0.6557±0.0085,0.5734±0.0074,0.4441±0.0118,0.6848±0.0102,0.7168±0.0098,0.7686±0.0106,0.8465±0.0083,0.6637±0.0059,0.6592±0.0056,0.6281±0.0053,0.5567±0.0090,0.8064±0.0049,0.7880±0.0045,0.7296±0.0066,0.5955±0.0134,0.5633±0.0072,0.5513±0.0070,0.5042±0.0068,0.4123±0.0100,0.4323±0.0100,0.4447±0.0105,0.4578±0.0096,0.4431±0.0067,0.5469±0.0218,0.4626±0.0158,0.3940±0.0087,0.3404±0.0067,0.4327±0.0066,0.4711±0.0109,0.5581±0.0150,0.6990±0.0199,1.0000±0.0000,0.9997±0.0009,0.9979±0.0032,0.9924±0.0064,0.6785±0.0068,0.6686±0.0053,0.6303±0.0049,0.5570±0.0082,0.6822±0.0076,0.6344±0.0078,0.5377±0.0069,0.4168±0.0101,0.6751±0.0111,0.7068±0.0104,0.7617±0.0105,0.8401±0.0082,0.2309±0.0199,0.1829±0.0204,0.0991±0.0152,0.0210±0.0093
PartialOrder__Hamming__None,0.6603±0.0109,0.6229±0.0188,0.5074±0.0265,0.4178±0.0298,0.6795±0.0084,0.6479±0.0099,0.5682±0.0075,0.4412±0.0119,0.7099±0.0108,0.7307±0.0095,0.7772±0.0102,0.8509±0.0081,0.6715±0.0066,0.6618±0.0068,0.6284±0.0056,0.5559±0.0093,0.8053±0.0058,0.7860±0.0052,0.7273±0.0068,0.5933±0.0136,0.5702±0.0078,0.5528±0.0089,0.5032±0.0072,0.4108±0.0104,0.4426±0.0090,0.4492±0.0098,0.4600±0.0095,0.4435±0.0070,0.5437±0.0196,0.4602±0.0140,0.3927±0.0088,0.3399±0.0068,0.4538±0.0073,0.4839±0.0104,0.5671±0.0145,0.7036±0.0198,1.0000±0.0000,0.9998±0.0007,0.9987±0.0024,0.9932±0.0060,0.6847±0.0078,0.6708±0.0063,0.6310±0.0052,0.5569±0.0085,0.6715±0.0097,0.6276±0.0091,0.5344±0.0070,0.4156±0.0102,0.6985±0.0118,0.7205±0.0101,0.7705±0.0105,0.8444±0.0080,0.2242±0.0208,0.1737±0.0221,0.0890±0.0145,0.0173±0.0090
PartialOrder__Subset__2,0.6562±0.0128,0.6202±0.0191,0.5076±0.0271,0.4116±0.0297,0.6880±0.0061,0.6557±0.0086,0.5735±0.0076,0.4440±0.0119,0.6849±0.0093,0.7168±0.0099,0.7687±0.0106,0.8465±0.0084,0.6636±0.0057,0.6593±0.0056,0.6282±0.0056,0.5565±0.0090,0.8062±0.0049,0.7880±0.0045,0.7296±0.0067,0.5953±0.0135,0.5632±0.0073,0.5514±0.0071,0.5042±0.0071,0.4122±0.0101,0.4326±0.0099,0.4449±0.0107,0.4580±0.0098,0.4431±0.0068,0.5465±0.0219,0.4631±0.0155,0.3941±0.0089,0.3404±0.0068,0.4332±0.0062,0.4712±0.0112,0.5584±0.0150,0.6990±0.0201,1.0000±0.0000,0.9996±0.0011,0.9973±0.0036,0.9923±0.0067,0.6784±0.0067,0.6687±0.0054,0.6304±0.0052,0.5569±0.0083,0.6815±0.0076,0.6346±0.0078,0.5377±0.0072,0.4167±0.0101,0.6755±0.0107,0.7068±0.0106,0.7618±0.0105,0.8400±0.0082,0.2313±0.0201,0.1835±0.0206,0.0995±0.0151,0.0210±0.0091
PartialOrder__Subset__None,0.6610±0.0104,0.6231±0.0186,0.5075±0.0266,0.4181±0.0300,0.6788±0.0081,0.6479±0.0099,0.5682±0.0075,0.4409±0.0120,0.7093±0.0104,0.7308±0.0093,0.7775±0.0104,0.8510±0.0080,0.6709±0.0062,0.6617±0.0067,0.6285±0.0057,0.5557±0.0094,0.8048±0.0055,0.7859±0.0053,0.7273±0.0067,0.5930±0.0137,0.5695±0.0072,0.5527±0.0088,0.5033±0.0072,0.4106±0.0105,0.4417±0.0089,0.4491±0.0097,0.4600±0.0095,0.4434±0.0070,0.5408±0.0179,0.4601±0.0138,0.3926±0.0086,0.3398±0.0069,0.4532±0.0068,0.4837±0.0103,0.5673±0.0147,0.7036±0.0200,1.0000±0.0000,0.9998±0.0007,0.9986±0.0024,0.9931±0.0063,0.6840±0.0074,0.6707±0.0063,0.6310±0.0052,0.5568±0.0086,0.6707±0.0093,0.6275±0.0091,0.5344±0.0069,0.4155±0.0103,0.6979±0.0113,0.7204±0.0101,0.7706±0.0109,0.8445±0.0080,0.2242±0.0196,0.1735±0.0219,0.0895±0.0145,0.0171±0.0091
PreOrder__Hamming__2,0.7456±0.0120,0.7455±0.0124,0.7241±0.0138,0.6691±0.0147,0.7328±0.0084,0.7270±0.0074,0.7089±0.0071,0.6607±0.0096,0.6002±0.0129,0.5989±0.0127,0.6049±0.0140,0.6237±0.0116,0.6319±0.0076,0.6289±0.0070,0.6268±0.0076,0.6170±0.0064,0.8129±0.0040,0.8098±0.0039,0.8033±0.0044,0.7842±0.0042,0.5295±0.0075,0.5244±0.0073,0.5197±0.0088,0.5014±0.0077,0.3791±0.0081,0.3723±0.0084,0.3744±0.0122,0.3864±0.0110,0.6452±0.0624,0.6185±0.0587,0.5501±0.0429,0.4573±0.0271,0.3516±0.0080,0.3483±0.0085,0.3563±0.0112,0.3812±0.0102,1.0000±0.0000,0.9999±0.0004,0.9997±0.0010,0.9910±0.0066,0.6573±0.0072,0.6527±0.0067,0.6475±0.0082,0.6331±0.0057,0.7376±0.0078,0.7297±0.0075,0.7073±0.0068,0.6521±0.0091,0.5930±0.0132,0.5906±0.0125,0.5973±0.0152,0.6155±0.0114,0.2003±0.0158,0.1854±0.0200,0.1699±0.0180,0.1238±0.0176
PreOrder__Hamming__None,0.6897±0.0141,0.6747±0.0151,0.6305±0.0187,0.5365±0.0242,0.6763±0.0083,0.6593±0.0124,0.6153±0.0096,0.5206±0.0103,0.7002±0.0115,0.7132±0.0105,0.7417±0.0102,0.7886±0.0094,0.6662±0.0051,0.6629±0.0085,0.6497±0.0070,0.6050±0.0074,0.8042±0.0049,0.7966±0.0069,0.7731±0.0064,0.7059±0.0071,0.5633±0.0057,0.5555±0.0098,0.5315±0.0092,0.4675±0.0088,0.4256±0.0092,0.4300±0.0125,0.4392±0.0096,0.4428±0.0076,0.5841±0.0319,0.5381±0.0350,0.4447±0.0154,0.3690±0.0097,0.4380±0.0091,0.4531±0.0087,0.4908±0.0101,0.5670±0.0105,1.0000±0.0000,0.9998±0.0007,0.9998±0.0008,0.9982±0.0024,0.6804±0.0060,0.6762±0.0087,0.6612±0.0073,0.6164±0.0071,0.6724±0.0091,0.6525±0.0130,0.6034±0.0096,0.5093±0.0100,0.6889±0.0115,0.7019±0.0102,0.7315±0.0120,0.7810±0.0094,0.2122±0.0188,0.1768±0.0201,0.1065±0.0155,0.0200±0.0082
PreOrder__Subset__2,0.7758±0.0119,0.7720±0.0122,0.7484±0.0137,0.6800±0.0155,0.7404±0.0067,0.7352±0.0084,0.7169±0.0066,0.6659±0.0089,0.5714±0.0146,0.5734±0.0133,0.5821±0.0142,0.6029±0.0128,0.6163±0.0091,0.6155±0.0079,0.6156±0.0082,0.6077±0.0067,0.8101±0.0044,0.8076±0.0037,0.8018±0.0046,0.7830±0.0045,0.5126±0.0095,0.5088±0.0076,0.5068±0.0091,0.4912±0.0078,0.3604±0.0093,0.3561±0.0078,0.3611±0.0119,0.3771±0.0111,0.6261±0.0679,0.6110±0.0566,0.5524±0.0398,0.4557±0.0248,0.3289±0.0085,0.3277±0.0079,0.3374±0.0108,0.3651±0.0111,1.0000±0.0000,0.9998±0.0006,0.9994±0.0011,0.9897±0.0077,0.6437±0.0084,0.6404±0.0068,0.6371±0.0085,0.6240±0.0062,0.7449±0.0060,0.7371±0.0081,0.7146±0.0062,0.6561±0.0084,0.5669±0.0142,0.5663±0.0119,0.5750±0.0147,0.5951±0.0127,0.1796±0.0146,0.1627±0.0156,0.1530±0.0176,0.1168±0.0150
PreOrder__Subset__None,0.6898±0.0158,0.6750±0.0151,0.6299±0.0190,0.5348±0.0235,0.6773±0.0082,0.6592±0.0120,0.6157±0.0096,0.5206±0.0101,0.6993±0.0121,0.7121±0.0101,0.7412±0.0100,0.7874±0.0096,0.6664±0.0054,0.6622±0.0082,0.6497±0.0071,0.6047±0.0072,0.8047±0.0050,0.7963±0.0069,0.7731±0.0065,0.7058±0.0072,0.5635±0.0059,0.5548±0.0096,0.5316±0.0093,0.4671±0.0087,0.4267±0.0097,0.4293±0.0123,0.4393±0.0101,0.4430±0.0089,0.5870±0.0326,0.5336±0.0320,0.4442±0.0164,0.3695±0.0107,0.4379±0.0094,0.4521±0.0085,0.4904±0.0104,0.5662±0.0115,1.0000±0.0000,0.9998±0.0007,0.9998±0.0008,0.9982±0.0024,0.6808±0.0061,0.6756±0.0086,0.6610±0.0075,0.6161±0.0070,0.6738±0.0089,0.6523±0.0128,0.6035±0.0099,0.5093±0.0100,0.6882±0.0116,0.7009±0.0101,0.7309±0.0120,0.7798±0.0090,0.2127±0.0204,0.1759±0.0207,0.1077±0.0158,0.0202±0.0087
br,0.7799±0.0118,0.7718±0.0146,0.7456±0.0158,0.6774±0.0166,0.7393±0.0078,0.7316±0.0091,0.7136±0.0092,0.6635±0.0093,0.5636±0.0121,0.5622±0.0155,0.5557±0.0152,0.5385±0.0137,0.6093±0.0074,0.6057±0.0096,0.5956±0.0100,0.5635±0.0093,0.8091±0.0040,0.8059±0.0046,0.7987±0.0045,0.7754±0.0050,0.5035±0.0095,0.4978±0.0108,0.4849±0.0118,0.4450±0.0104,0.3626±0.0080,0.3581±0.0100,0.3575±0.0107,0.3625±0.0122,0.6401±0.0548,0.6122±0.0500,0.5550±0.0459,0.4532±0.0215,0.3247±0.0081,0.3236±0.0108,0.3244±0.0117,0.3308±0.0116,1.0000±0.0000,1.0000±0.0000,0.9997±0.0011,0.9939±0.0043,0.6392±0.0077,0.6346±0.0093,0.6238±0.0096,0.5901±0.0089,0.7469±0.0085,0.7378±0.0092,0.7182±0.0100,0.6592±0.0092,0.5589±0.0129,0.5569±0.0152,0.5516±0.0157,0.5343±0.0134,0.1667±0.0175,0.1537±0.0185,0.1307±0.0184,0.0779±0.0121
cc,0.7515±0.0154,0.7659±0.0140,0.7548±0.0185,0.6831±0.0207,0.7275±0.0083,0.7297±0.0080,0.7169±0.0099,0.6632±0.0099,0.5814±0.0182,0.5672±0.0159,0.5532±0.0171,0.5436±0.0161,0.6117±0.0098,0.6054±0.0104,0.5936±0.0111,0.5668±0.0104,0.8082±0.0049,0.8068±0.0049,0.7998±0.0059,0.7764±0.0048,0.5134±0.0102,0.5035±0.0107,0.4857±0.0127,0.4488±0.0105,0.3793±0.0125,0.3633±0.0112,0.3541±0.0143,0.3621±0.0102,0.6016±0.0616,0.6105±0.0616,0.5559±0.0388,0.4617±0.0205,0.3460±0.0121,0.3300±0.0104,0.3211±0.0135,0.3321±0.0128,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9952±0.0031,0.6451±0.0088,0.6378±0.0093,0.6238±0.0118,0.5931±0.0095,0.7330±0.0055,0.7372±0.0071,0.7233±0.0082,0.6601±0.0084,0.5764±0.0161,0.5622±0.0149,0.5487±0.0182,0.5388±0.0163,0.2201±0.0155,0.1878±0.0195,0.1422±0.0192,0.0821±0.0128
