Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PartialOrder__Hamming__None,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PartialOrder__Subset__2,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PartialOrder__Subset__None,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PreOrder__Hamming__2,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PreOrder__Hamming__None,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PreOrder__Subset__2,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
PreOrder__Subset__None,0.6774±0.0221,0.6393±0.0298,0.6049±0.0315,0.5812±0.0298,0.8054±0.0162,0.7709±0.0165,0.7295±0.0180,0.6823±0.0282,0.2266±0.0366,0.2017±0.0216,0.1773±0.0202,0.1489±0.0137,0.3350±0.0268,0.2929±0.0234,0.2472±0.0255,0.1910±0.0249,2.3602±0.2236,2.5301±0.2114,3.0085±0.2095,3.6413±0.3484,0.5629±0.0155,0.5490±0.0213,0.5006±0.0271,0.4336±0.0280,0.6237±0.0204,0.6270±0.0303,0.6693±0.0362,0.7321±0.0317,0.2017±0.0184,0.2172±0.0176,0.2588±0.0190,0.3165±0.0310
br,0.6774±0.0221,0.6310±0.0341,0.6041±0.0296,0.5742±0.0264,0.8054±0.0162,0.7661±0.0182,0.7253±0.0253,0.6728±0.0230,0.2266±0.0366,0.1968±0.0197,0.1650±0.0167,0.1428±0.0132,0.3350±0.0268,0.2928±0.0214,0.2338±0.0201,0.1804±0.0226,2.3602±0.2236,2.5811±0.2099,3.0438±0.2856,3.7592±0.2878,0.5629±0.0155,0.5435±0.0230,0.4984±0.0267,0.4222±0.0303,0.6237±0.0204,0.6362±0.0311,0.6675±0.0289,0.7446±0.0354,0.2017±0.0184,0.2205±0.0170,0.2626±0.0246,0.3271±0.0256
cc,0.6793±0.0190,0.6361±0.0370,0.6051±0.0350,0.5864±0.0319,0.8091±0.0134,0.7688±0.0201,0.7321±0.0189,0.6776±0.0239,0.2345±0.0215,0.1932±0.0199,0.1665±0.0206,0.1489±0.0230,0.3455±0.0325,0.2915±0.0273,0.2443±0.0197,0.1834±0.0303,2.3007±0.1578,2.5648±0.2525,2.9828±0.2298,3.7051±0.2921,0.5724±0.0180,0.5400±0.0223,0.5027±0.0204,0.4221±0.0325,0.6115±0.0340,0.6387±0.0263,0.6640±0.0263,0.7479±0.0393,0.1961±0.0128,0.2196±0.0214,0.2575±0.0195,0.3223±0.0257
clr,0.7522±0.0147,0.6944±0.0275,0.6670±0.0345,0.6230±0.0299,0.8195±0.0203,0.8108±0.0196,0.7983±0.0187,0.7513±0.0243,0.3033±0.0240,0.2433±0.0226,0.2217±0.0227,0.1839±0.0215,0.3352±0.0255,0.3368±0.0288,0.3221±0.0336,0.2694±0.0269,2.1843±0.2109,2.2790±0.2242,2.3960±0.2134,2.9297±0.2809,0.5611±0.0146,0.5617±0.0202,0.5559±0.0212,0.5039±0.0276,0.6360±0.0223,0.6356±0.0284,0.6358±0.0257,0.6838±0.0328,0.1872±0.0169,0.1945±0.0182,0.2048±0.0183,0.2526±0.0241
