Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PartialOrder__Hamming__None,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PartialOrder__Subset__2,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PartialOrder__Subset__None,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PreOrder__Hamming__2,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PreOrder__Hamming__None,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PreOrder__Subset__2,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
PreOrder__Subset__None,0.7450±0.0111,0.7259±0.0125,0.6932±0.0117,0.6435±0.0131,0.7774±0.0061,0.7592±0.0085,0.7270±0.0082,0.6743±0.0114,0.6057±0.0223,0.5831±0.0233,0.5478±0.0257,0.4975±0.0225,0.6621±0.0141,0.6385±0.0152,0.5977±0.0193,0.5337±0.0233,8.4783±0.1043,8.7251±0.1497,9.1142±0.1282,9.6849±0.1506,0.7247±0.0099,0.7094±0.0140,0.6718±0.0154,0.6187±0.0159,0.2425±0.0273,0.2525±0.0339,0.2985±0.0322,0.3779±0.0372,0.2271±0.0057,0.2436±0.0091,0.2794±0.0082,0.3338±0.0119
br,0.7450±0.0111,0.7249±0.0106,0.6934±0.0100,0.6454±0.0121,0.7774±0.0061,0.7583±0.0071,0.7268±0.0077,0.6757±0.0113,0.6057±0.0223,0.5830±0.0224,0.5477±0.0226,0.5022±0.0207,0.6621±0.0141,0.6383±0.0157,0.5985±0.0193,0.5373±0.0212,8.4783±0.1043,8.7219±0.1410,9.1511±0.1186,9.7291±0.1792,0.7247±0.0099,0.7054±0.0128,0.6713±0.0149,0.6197±0.0162,0.2425±0.0273,0.2619±0.0299,0.2934±0.0371,0.3753±0.0338,0.2271±0.0057,0.2464±0.0076,0.2808±0.0084,0.3342±0.0121
cc,0.7471±0.0122,0.7265±0.0122,0.6936±0.0073,0.6495±0.0119,0.7786±0.0074,0.7603±0.0079,0.7284±0.0053,0.6797±0.0095,0.6081±0.0212,0.5835±0.0239,0.5466±0.0195,0.5015±0.0197,0.6638±0.0137,0.6398±0.0147,0.5973±0.0137,0.5385±0.0182,8.4151±0.1089,8.6653±0.1424,9.1108±0.1820,9.6311±0.1456,0.7259±0.0144,0.7069±0.0135,0.6737±0.0123,0.6209±0.0150,0.2462±0.0331,0.2598±0.0302,0.3017±0.0242,0.3770±0.0252,0.2241±0.0080,0.2437±0.0079,0.2785±0.0092,0.3291±0.0111
