Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8014±0.0376,0.7685±0.0353,0.7085±0.0459,0.4598±0.1346,0.4388±0.1140,0.3951±0.0955,0.3553±0.0762,0.5525±0.0574,0.5111±0.0640,0.4626±0.0623,0.3796±0.0525,1.2023±0.1870,1.3338±0.2025,1.4429±0.1947,1.7492±0.2969,0.7164±0.0471,0.6844±0.0492,0.6678±0.0521,0.6119±0.0556,0.4439±0.0797,0.4893±0.0887,0.4980±0.0930,0.5756±0.0748,0.1957±0.0332,0.2195±0.0390,0.2400±0.0408,0.3007±0.0568
br,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8010±0.0390,0.7736±0.0299,0.7267±0.0493,0.4598±0.1346,0.4458±0.1242,0.4153±0.1083,0.3931±0.1225,0.5525±0.0574,0.5156±0.0718,0.4688±0.0552,0.4179±0.0652,1.2023±0.1870,1.3267±0.1852,1.4438±0.1685,1.6784±0.2796,0.7164±0.0471,0.6893±0.0425,0.6690±0.0327,0.6242±0.0596,0.4439±0.0797,0.4758±0.0770,0.5004±0.0590,0.5559±0.0934,0.1957±0.0332,0.2179±0.0348,0.2394±0.0326,0.2827±0.0542
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.8260±0.0341,0.8035±0.0331,0.7709±0.0395,0.7260±0.0378,0.4833±0.1367,0.4472±0.1141,0.3973±0.0981,0.3604±0.0811,0.5474±0.0609,0.5148±0.0531,0.4552±0.0538,0.4075±0.0490,1.1827±0.2391,1.3098±0.1842,1.4710±0.2171,1.6683±0.2291,0.7126±0.0471,0.6900±0.0373,0.6581±0.0451,0.6198±0.0392,0.4584±0.0772,0.4817±0.0631,0.5222±0.0732,0.5661±0.0525,0.1923±0.0421,0.2150±0.0344,0.2429±0.0413,0.2867±0.0424
