Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PartialOrder__Hamming__None,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PartialOrder__Subset__2,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PartialOrder__Subset__None,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PreOrder__Hamming__2,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PreOrder__Hamming__None,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PreOrder__Subset__2,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
PreOrder__Subset__None,0.7098±0.0108,0.6874±0.0097,0.6606±0.0116,0.6305±0.0124,0.8499±0.0041,0.8416±0.0048,0.8261±0.0051,0.7943±0.0046,0.5191±0.0119,0.4988±0.0067,0.4701±0.0077,0.4289±0.0081,0.7251±0.0068,0.7134±0.0084,0.6906±0.0084,0.6421±0.0083,6.2383±0.0537,6.4597±0.0667,6.8204±0.0760,7.4468±0.1100,0.7652±0.0054,0.7589±0.0050,0.7444±0.0057,0.7093±0.0059,0.2271±0.0160,0.2305±0.0138,0.2375±0.0122,0.2651±0.0157,0.1636±0.0036,0.1711±0.0042,0.1859±0.0043,0.2177±0.0042
br,0.7098±0.0108,0.6895±0.0108,0.6638±0.0116,0.6342±0.0143,0.8499±0.0041,0.8409±0.0054,0.8277±0.0056,0.7954±0.0062,0.5191±0.0119,0.4995±0.0074,0.4721±0.0088,0.4324±0.0097,0.7251±0.0068,0.7132±0.0078,0.6940±0.0089,0.6438±0.0088,6.2383±0.0537,6.4733±0.0890,6.7844±0.0789,7.4011±0.1230,0.7652±0.0054,0.7579±0.0049,0.7460±0.0069,0.7109±0.0073,0.2271±0.0160,0.2306±0.0130,0.2348±0.0129,0.2614±0.0146,0.1636±0.0036,0.1717±0.0041,0.1842±0.0041,0.2162±0.0045
cc,0.7044±0.0142,0.6790±0.0114,0.6638±0.0109,0.6232±0.0105,0.8439±0.0038,0.8366±0.0051,0.8256±0.0062,0.7950±0.0062,0.5148±0.0117,0.4937±0.0086,0.4704±0.0072,0.4302±0.0068,0.7053±0.0057,0.7013±0.0081,0.6895±0.0087,0.6426±0.0100,6.3673±0.1059,6.4958±0.0968,6.7745±0.1237,7.4165±0.1320,0.7522±0.0043,0.7535±0.0047,0.7457±0.0055,0.7111±0.0061,0.2516±0.0106,0.2448±0.0121,0.2415±0.0146,0.2632±0.0135,0.1727±0.0015,0.1761±0.0028,0.1862±0.0051,0.2162±0.0056
clr,0.7189±0.0099,0.6910±0.0067,0.6761±0.0092,0.6487±0.0131,0.8406±0.0041,0.8420±0.0050,0.8370±0.0052,0.8221±0.0067,0.5195±0.0114,0.5074±0.0097,0.4889±0.0083,0.4614±0.0097,0.6965±0.0071,0.7085±0.0071,0.7059±0.0078,0.6886±0.0108,6.1899±0.0805,6.2265±0.0789,6.3616±0.0884,6.7115±0.1257,0.7595±0.0032,0.7607±0.0040,0.7579±0.0041,0.7468±0.0064,0.2466±0.0103,0.2392±0.0098,0.2384±0.0110,0.2408±0.0151,0.1606±0.0038,0.1633±0.0045,0.1678±0.0038,0.1809±0.0053
ecc,0.7256±0.0093,0.6985±0.0116,0.6802±0.0112,0.6508±0.0111,0.8484±0.0053,0.8433±0.0044,0.8371±0.0056,0.8191±0.0056,0.5349±0.0127,0.5128±0.0099,0.4955±0.0071,0.4599±0.0098,0.7240±0.0079,0.7171±0.0077,0.7087±0.0076,0.6845±0.0103,6.0794±0.0886,6.2340±0.0735,6.3880±0.0827,6.8072±0.1127,0.7613±0.0029,0.7599±0.0040,0.7567±0.0039,0.7432±0.0070,0.2420±0.0149,0.2417±0.0117,0.2401±0.0104,0.2406±0.0121,0.1644±0.0052,0.1667±0.0045,0.1703±0.0045,0.1854±0.0050
