Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PartialOrder__Hamming__None,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PartialOrder__Subset__2,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PartialOrder__Subset__None,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PreOrder__Hamming__2,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PreOrder__Hamming__None,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PreOrder__Subset__2,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
PreOrder__Subset__None,0.5822±0.0427,0.5806±0.0319,0.5669±0.0336,0.5495±0.0436,0.7816±0.0139,0.7694±0.0142,0.7461±0.0194,0.6988±0.0202,0.5158±0.0213,0.5139±0.0223,0.5010±0.0251,0.4864±0.0283,0.6829±0.0352,0.6735±0.0318,0.6486±0.0369,0.6025±0.0322,2.7459±0.0882,2.7953±0.1170,2.9413±0.1210,3.1459±0.1465,0.7913±0.0193,0.7777±0.0247,0.7613±0.0226,0.7287±0.0250,0.2486±0.0349,0.2757±0.0477,0.2923±0.0471,0.3470±0.0548,0.2113±0.0163,0.2262±0.0212,0.2498±0.0209,0.2964±0.0236
br,0.5822±0.0427,0.5833±0.0342,0.5633±0.0332,0.5494±0.0387,0.7816±0.0139,0.7724±0.0170,0.7452±0.0160,0.6962±0.0204,0.5158±0.0213,0.5187±0.0255,0.4983±0.0260,0.4842±0.0331,0.6829±0.0352,0.6773±0.0405,0.6497±0.0377,0.6066±0.0359,2.7459±0.0882,2.7766±0.0846,2.9301±0.0872,3.1449±0.1528,0.7913±0.0193,0.7832±0.0266,0.7615±0.0238,0.7293±0.0256,0.2486±0.0349,0.2695±0.0535,0.2962±0.0449,0.3420±0.0523,0.2113±0.0163,0.2210±0.0193,0.2498±0.0189,0.2995±0.0234
cc,0.5842±0.0304,0.5741±0.0306,0.5668±0.0362,0.5568±0.0452,0.7808±0.0125,0.7627±0.0151,0.7452±0.0172,0.6995±0.0241,0.5295±0.0192,0.5142±0.0279,0.5038±0.0235,0.4904±0.0290,0.6824±0.0253,0.6659±0.0308,0.6473±0.0297,0.6104±0.0364,2.6955±0.1219,2.8043±0.1066,2.9020±0.1097,3.1477±0.1277,0.7921±0.0221,0.7784±0.0206,0.7637±0.0197,0.7312±0.0253,0.2739±0.0335,0.2886±0.0389,0.2998±0.0422,0.3427±0.0432,0.2143±0.0231,0.2332±0.0198,0.2504±0.0189,0.2984±0.0249
