Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,afrd_pa__0.0,afrd_pa__0.1,afrd_pa__0.2,afrd_pa__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,example_precision_pa__0.0,example_precision_pa__0.1,example_precision_pa__0.2,example_precision_pa__0.3,example_recall_pa__0.0,example_recall_pa__0.1,example_recall_pa__0.2,example_recall_pa__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,jaccard_pa__0.0,jaccard_pa__0.1,jaccard_pa__0.2,jaccard_pa__0.3,macro_f1_pa__0.0,macro_f1_pa__0.1,macro_f1_pa__0.2,macro_f1_pa__0.3,macro_precision_pa__0.0,macro_precision_pa__0.1,macro_precision_pa__0.2,macro_precision_pa__0.3,macro_recall_pa__0.0,macro_recall_pa__0.1,macro_recall_pa__0.2,macro_recall_pa__0.3,mfrd_pa__0.0,mfrd_pa__0.1,mfrd_pa__0.2,mfrd_pa__0.3,micro_f1_pa__0.0,micro_f1_pa__0.1,micro_f1_pa__0.2,micro_f1_pa__0.3,micro_precision_pa__0.0,micro_precision_pa__0.1,micro_precision_pa__0.2,micro_precision_pa__0.3,micro_recall_pa__0.0,micro_recall_pa__0.1,micro_recall_pa__0.2,micro_recall_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.0210±0.0033,0.0618±0.0045,0.1594±0.0130,0.3618±0.0197,0.2155±0.0181,0.4761±0.0227,0.7754±0.0277,0.9472±0.0130,0.6837±0.0148,0.6781±0.0159,0.6590±0.0174,0.6008±0.0146,0.8197±0.0053,0.8291±0.0046,0.8437±0.0054,0.8643±0.0043,0.7058±0.0086,0.7016±0.0068,0.6910±0.0094,0.6526±0.0129,0.6777±0.0111,0.6910±0.0114,0.7132±0.0122,0.7394±0.0107,0.6671±0.0063,0.6706±0.0052,0.6759±0.0079,0.6666±0.0086,0.8158±0.0052,0.8178±0.0046,0.8141±0.0051,0.7873±0.0060,0.5688±0.0079,0.5729±0.0069,0.5792±0.0092,0.5692±0.0096,0.4194±0.0121,0.4237±0.0116,0.4344±0.0115,0.4466±0.0111,0.6155±0.0505,0.5824±0.0474,0.5331±0.0342,0.4398±0.0200,0.4133±0.0095,0.4235±0.0086,0.4440±0.0088,0.4853±0.0123,1.0000±0.0000,0.9999±0.0004,0.9998±0.0006,0.9941±0.0042,0.6855±0.0074,0.6932±0.0062,0.7034±0.0079,0.7038±0.0064,0.7058±0.0105,0.7016±0.0078,0.6878±0.0105,0.6488±0.0111,0.6665±0.0121,0.6852±0.0111,0.7199±0.0106,0.7692±0.0085,0.2445±0.0202,0.2381±0.0219,0.2319±0.0187,0.2128±0.0192,0.2445±0.0202,0.2381±0.0219,0.2319±0.0188,0.2106±0.0192
PartialOrder__Hamming__None,0.0217±0.0030,0.0622±0.0045,0.1597±0.0130,0.3617±0.0196,0.2230±0.0164,0.4784±0.0216,0.7756±0.0272,0.9474±0.0130,0.6813±0.0136,0.6763±0.0146,0.6541±0.0177,0.5963±0.0148,0.8190±0.0060,0.8272±0.0050,0.8416±0.0056,0.8619±0.0046,0.6951±0.0103,0.6914±0.0088,0.6829±0.0092,0.6461±0.0129,0.7024±0.0113,0.7054±0.0112,0.7228±0.0120,0.7449±0.0103,0.6749±0.0066,0.6733±0.0066,0.6763±0.0080,0.6652±0.0088,0.8149±0.0060,0.8158±0.0052,0.8115±0.0053,0.7836±0.0067,0.5759±0.0083,0.5744±0.0087,0.5783±0.0097,0.5662±0.0100,0.4310±0.0124,0.4298±0.0108,0.4397±0.0121,0.4482±0.0125,0.6239±0.0307,0.5738±0.0418,0.5100±0.0330,0.4327±0.0212,0.4349±0.0111,0.4374±0.0085,0.4556±0.0095,0.4930±0.0133,1.0000±0.0000,1.0000±0.0000,0.9997±0.0007,0.9944±0.0042,0.6920±0.0083,0.6953±0.0070,0.7035±0.0079,0.7019±0.0072,0.6939±0.0121,0.6911±0.0095,0.6788±0.0103,0.6413±0.0115,0.6903±0.0129,0.6998±0.0109,0.7301±0.0110,0.7755±0.0084,0.2404±0.0203,0.2285±0.0230,0.2196±0.0193,0.2022±0.0181,0.2404±0.0203,0.2285±0.0230,0.2195±0.0194,0.2000±0.0180
PartialOrder__Subset__2,0.0210±0.0033,0.0617±0.0044,0.1594±0.0130,0.3618±0.0197,0.2151±0.0182,0.4756±0.0226,0.7749±0.0278,0.9471±0.0130,0.6826±0.0143,0.6778±0.0158,0.6584±0.0174,0.6002±0.0137,0.8194±0.0052,0.8291±0.0046,0.8438±0.0055,0.8641±0.0044,0.7047±0.0085,0.7016±0.0071,0.6910±0.0093,0.6520±0.0132,0.6777±0.0101,0.6911±0.0114,0.7133±0.0118,0.7393±0.0109,0.6669±0.0062,0.6707±0.0053,0.6760±0.0077,0.6663±0.0090,0.8156±0.0052,0.8178±0.0047,0.8141±0.0052,0.7869±0.0063,0.5686±0.0080,0.5730±0.0071,0.5792±0.0093,0.5687±0.0099,0.4197±0.0120,0.4241±0.0117,0.4350±0.0114,0.4466±0.0115,0.6149±0.0496,0.5862±0.0469,0.5321±0.0357,0.4397±0.0203,0.4138±0.0090,0.4237±0.0088,0.4444±0.0084,0.4854±0.0123,1.0000±0.0000,0.9999±0.0004,0.9996±0.0008,0.9941±0.0042,0.6853±0.0073,0.6933±0.0064,0.7035±0.0079,0.7034±0.0068,0.7050±0.0104,0.7017±0.0079,0.6878±0.0106,0.6482±0.0114,0.6669±0.0116,0.6853±0.0112,0.7200±0.0105,0.7691±0.0087,0.2449±0.0205,0.2386±0.0222,0.2319±0.0191,0.2118±0.0182,0.2449±0.0205,0.2386±0.0222,0.2319±0.0192,0.2095±0.0183
PartialOrder__Subset__None,0.0216±0.0029,0.0620±0.0045,0.1594±0.0129,0.3615±0.0197,0.2209±0.0171,0.4772±0.0216,0.7747±0.0271,0.9471±0.0130,0.6817±0.0128,0.6763±0.0145,0.6539±0.0179,0.5957±0.0139,0.8185±0.0059,0.8271±0.0052,0.8414±0.0056,0.8616±0.0047,0.6945±0.0100,0.6911±0.0091,0.6825±0.0092,0.6452±0.0131,0.7019±0.0108,0.7057±0.0109,0.7231±0.0119,0.7453±0.0104,0.6744±0.0061,0.6732±0.0066,0.6763±0.0080,0.6648±0.0091,0.8145±0.0058,0.8157±0.0054,0.8114±0.0053,0.7831±0.0070,0.5753±0.0076,0.5742±0.0088,0.5782±0.0098,0.5655±0.0103,0.4302±0.0120,0.4297±0.0107,0.4399±0.0119,0.4482±0.0125,0.6232±0.0312,0.5726±0.0422,0.5087±0.0320,0.4320±0.0211,0.4345±0.0105,0.4375±0.0083,0.4560±0.0094,0.4934±0.0131,1.0000±0.0000,1.0000±0.0000,0.9997±0.0007,0.9944±0.0045,0.6913±0.0079,0.6952±0.0072,0.7034±0.0081,0.7013±0.0075,0.6931±0.0117,0.6909±0.0097,0.6785±0.0103,0.6402±0.0116,0.6898±0.0123,0.6998±0.0109,0.7303±0.0111,0.7755±0.0085,0.2404±0.0193,0.2281±0.0233,0.2193±0.0197,0.2006±0.0176,0.2404±0.0193,0.2281±0.0233,0.2192±0.0197,0.1983±0.0176
PreOrder__Hamming__2,0.0001±0.0001,0.0003±0.0003,0.0006±0.0003,0.0019±0.0008,0.0008±0.0010,0.0034±0.0032,0.0077±0.0032,0.0246±0.0102,0.7457±0.0119,0.7462±0.0126,0.7250±0.0135,0.6729±0.0142,0.8130±0.0040,0.8100±0.0038,0.8037±0.0043,0.7857±0.0041,0.7330±0.0085,0.7273±0.0073,0.7097±0.0071,0.6628±0.0096,0.6002±0.0129,0.5986±0.0127,0.6048±0.0140,0.6231±0.0115,0.6319±0.0076,0.6289±0.0070,0.6270±0.0075,0.6177±0.0064,0.8130±0.0040,0.8100±0.0038,0.8036±0.0043,0.7853±0.0041,0.5295±0.0075,0.5245±0.0073,0.5200±0.0087,0.5024±0.0076,0.3792±0.0082,0.3717±0.0083,0.3740±0.0117,0.3839±0.0095,0.6453±0.0625,0.6227±0.0627,0.5639±0.0501,0.4602±0.0328,0.3516±0.0080,0.3479±0.0086,0.3559±0.0109,0.3790±0.0092,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9952±0.0053,0.6574±0.0072,0.6528±0.0066,0.6479±0.0081,0.6344±0.0057,0.7377±0.0077,0.7302±0.0075,0.7084±0.0070,0.6552±0.0092,0.5930±0.0132,0.5905±0.0125,0.5972±0.0151,0.6150±0.0113,0.2003±0.0158,0.1854±0.0200,0.1701±0.0180,0.1247±0.0176,0.2003±0.0158,0.1854±0.0200,0.1701±0.0180,0.1247±0.0176
PreOrder__Hamming__None,0.0005±0.0003,0.0011±0.0004,0.0021±0.0006,0.0051±0.0011,0.0070±0.0048,0.0136±0.0049,0.0270±0.0076,0.0661±0.0143,0.6905±0.0142,0.6768±0.0147,0.6327±0.0186,0.5428±0.0248,0.8045±0.0050,0.7973±0.0069,0.7748±0.0064,0.7102±0.0072,0.6767±0.0085,0.6601±0.0124,0.6172±0.0096,0.5240±0.0105,0.7001±0.0115,0.7127±0.0105,0.7412±0.0104,0.7877±0.0096,0.6664±0.0052,0.6631±0.0084,0.6507±0.0070,0.6073±0.0073,0.8044±0.0050,0.7971±0.0069,0.7743±0.0064,0.7087±0.0072,0.5636±0.0059,0.5559±0.0098,0.5327±0.0092,0.4701±0.0088,0.4251±0.0092,0.4282±0.0113,0.4388±0.0095,0.4423±0.0070,0.5842±0.0321,0.5450±0.0350,0.4520±0.0209,0.3701±0.0095,0.4375±0.0093,0.4516±0.0086,0.4896±0.0098,0.5631±0.0104,1.0000±0.0000,0.9999±0.0004,0.9998±0.0007,0.9982±0.0024,0.6806±0.0060,0.6767±0.0087,0.6625±0.0073,0.6192±0.0071,0.6728±0.0091,0.6537±0.0131,0.6057±0.0098,0.5133±0.0102,0.6887±0.0115,0.7016±0.0102,0.7311±0.0120,0.7805±0.0095,0.2131±0.0197,0.1777±0.0200,0.1076±0.0154,0.0210±0.0087,0.2131±0.0197,0.1777±0.0200,0.1076±0.0154,0.0210±0.0087
PreOrder__Subset__2,0.0001±0.0001,0.0003±0.0003,0.0007±0.0003,0.0020±0.0009,0.0017±0.0015,0.0041±0.0033,0.0089±0.0036,0.0264±0.0108,0.7760±0.0117,0.7728±0.0122,0.7495±0.0133,0.6842±0.0146,0.8102±0.0045,0.8078±0.0037,0.8024±0.0045,0.7847±0.0044,0.7407±0.0067,0.7355±0.0083,0.7178±0.0067,0.6682±0.0091,0.5714±0.0146,0.5731±0.0133,0.5819±0.0141,0.6022±0.0128,0.6164±0.0091,0.6156±0.0079,0.6159±0.0081,0.6084±0.0068,0.8102±0.0044,0.8078±0.0037,0.8022±0.0045,0.7842±0.0044,0.5127±0.0096,0.5089±0.0076,0.5071±0.0090,0.4922±0.0078,0.3604±0.0093,0.3555±0.0075,0.3606±0.0114,0.3745±0.0096,0.6264±0.0681,0.6166±0.0611,0.5675±0.0474,0.4588±0.0293,0.3289±0.0085,0.3273±0.0079,0.3369±0.0105,0.3627±0.0102,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9949±0.0064,0.6438±0.0085,0.6406±0.0068,0.6375±0.0084,0.6254±0.0063,0.7453±0.0060,0.7378±0.0081,0.7159±0.0063,0.6597±0.0087,0.5669±0.0142,0.5662±0.0119,0.5748±0.0146,0.5947±0.0126,0.1796±0.0146,0.1627±0.0156,0.1532±0.0175,0.1177±0.0150,0.1796±0.0146,0.1627±0.0156,0.1532±0.0175,0.1177±0.0150
PreOrder__Subset__None,0.0005±0.0004,0.0012±0.0005,0.0022±0.0006,0.0056±0.0012,0.0075±0.0053,0.0151±0.0057,0.0282±0.0072,0.0709±0.0159,0.6908±0.0157,0.6772±0.0147,0.6322±0.0189,0.5414±0.0242,0.8050±0.0051,0.7972±0.0069,0.7750±0.0065,0.7106±0.0072,0.6777±0.0082,0.6601±0.0120,0.6177±0.0096,0.5244±0.0102,0.6993±0.0121,0.7116±0.0102,0.7406±0.0101,0.7864±0.0098,0.6666±0.0055,0.6626±0.0081,0.6507±0.0071,0.6072±0.0072,0.8049±0.0051,0.7969±0.0069,0.7745±0.0065,0.7090±0.0072,0.5637±0.0060,0.5553±0.0096,0.5329±0.0092,0.4701±0.0086,0.4260±0.0098,0.4275±0.0111,0.4390±0.0100,0.4427±0.0082,0.5868±0.0329,0.5418±0.0328,0.4522±0.0206,0.3710±0.0104,0.4372±0.0097,0.4506±0.0084,0.4892±0.0101,0.5623±0.0113,1.0000±0.0000,0.9999±0.0004,0.9998±0.0007,0.9982±0.0024,0.6809±0.0061,0.6762±0.0086,0.6625±0.0076,0.6191±0.0070,0.6742±0.0088,0.6537±0.0129,0.6061±0.0101,0.5137±0.0101,0.6880±0.0117,0.7006±0.0101,0.7306±0.0120,0.7792±0.0091,0.2139±0.0209,0.1768±0.0204,0.1087±0.0158,0.0215±0.0090,0.2139±0.0209,0.1768±0.0204,0.1087±0.0158,0.0215±0.0090
