Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1417±0.0243,0.1785±0.0318,0.2976±0.0525,0.4666±0.0564,0.6387±0.0147,0.5958±0.0146,0.5067±0.0195,0.4261±0.0204,0.7777±0.0430,0.8203±0.0272,0.8434±0.0330,0.8749±0.0226,0.6722±0.0246,0.6556±0.0132,0.5962±0.0161,0.5430±0.0147,0.7675±0.0193,0.7300±0.0175,0.6396±0.0235,0.5470±0.0253,0.5775±0.0271,0.5496±0.0146,0.4742±0.0177,0.4045±0.0179,0.6594±0.0277,0.6402±0.0147,0.5819±0.0169,0.5367±0.0124,0.5863±0.0143,0.5373±0.0147,0.4534±0.0194,0.3949±0.0150,0.7694±0.0427,0.8094±0.0234,0.8343±0.0345,0.8662±0.0222,0.3096±0.0914,0.3273±0.0519,0.5033±0.0790,0.6501±0.0816,0.6758±0.0245,0.6537±0.0140,0.5928±0.0173,0.5444±0.0134,0.5972±0.0155,0.5448±0.0162,0.4580±0.0199,0.3968±0.0158,0.7787±0.0414,0.8177±0.0223,0.8423±0.0320,0.8688±0.0223,0.2951±0.0391,0.2442±0.0227,0.1349±0.0273,0.0479±0.0187
PartialOrder__Hamming__None,0.1428±0.0207,0.1842±0.0310,0.3107±0.0487,0.4815±0.0577,0.6310±0.0171,0.5889±0.0133,0.5017±0.0199,0.4238±0.0193,0.7836±0.0470,0.8267±0.0270,0.8510±0.0309,0.8834±0.0236,0.6701±0.0260,0.6538±0.0134,0.5957±0.0168,0.5444±0.0142,0.7642±0.0214,0.7265±0.0173,0.6370±0.0229,0.5453±0.0245,0.5744±0.0277,0.5463±0.0151,0.4722±0.0187,0.4055±0.0171,0.6581±0.0285,0.6395±0.0150,0.5826±0.0171,0.5382±0.0121,0.5811±0.0154,0.5330±0.0140,0.4519±0.0191,0.3946±0.0144,0.7753±0.0450,0.8163±0.0250,0.8417±0.0322,0.8745±0.0239,0.3250±0.0793,0.3471±0.0577,0.5171±0.0764,0.6679±0.0806,0.6745±0.0263,0.6526±0.0141,0.5931±0.0175,0.5460±0.0132,0.5915±0.0176,0.5403±0.0152,0.4561±0.0196,0.3966±0.0153,0.7851±0.0439,0.8245±0.0234,0.8494±0.0298,0.8776±0.0237,0.2883±0.0369,0.2351±0.0229,0.1285±0.0301,0.0479±0.0200
PartialOrder__Subset__2,0.1414±0.0241,0.1784±0.0335,0.2964±0.0536,0.4666±0.0562,0.6379±0.0146,0.5954±0.0146,0.5066±0.0195,0.4256±0.0208,0.7777±0.0430,0.8181±0.0264,0.8429±0.0336,0.8739±0.0226,0.6718±0.0246,0.6547±0.0127,0.5960±0.0158,0.5423±0.0152,0.7675±0.0197,0.7293±0.0169,0.6393±0.0232,0.5465±0.0260,0.5771±0.0271,0.5492±0.0142,0.4740±0.0172,0.4040±0.0185,0.6594±0.0280,0.6391±0.0142,0.5815±0.0166,0.5362±0.0128,0.5865±0.0143,0.5365±0.0145,0.4532±0.0191,0.3945±0.0153,0.7694±0.0427,0.8078±0.0232,0.8335±0.0351,0.8657±0.0223,0.3064±0.0917,0.3249±0.0496,0.5016±0.0794,0.6520±0.0804,0.6758±0.0248,0.6526±0.0133,0.5924±0.0168,0.5439±0.0138,0.5972±0.0155,0.5440±0.0158,0.4577±0.0196,0.3965±0.0161,0.7787±0.0414,0.8160±0.0216,0.8415±0.0324,0.8681±0.0223,0.2951±0.0408,0.2462±0.0217,0.1349±0.0269,0.0476±0.0187
PartialOrder__Subset__None,0.1447±0.0191,0.1850±0.0320,0.3105±0.0489,0.4818±0.0575,0.6299±0.0165,0.5888±0.0135,0.5016±0.0200,0.4236±0.0196,0.7827±0.0460,0.8256±0.0268,0.8510±0.0315,0.8835±0.0233,0.6693±0.0252,0.6534±0.0135,0.5956±0.0170,0.5442±0.0146,0.7636±0.0209,0.7260±0.0176,0.6369±0.0228,0.5451±0.0246,0.5733±0.0269,0.5461±0.0154,0.4721±0.0189,0.4053±0.0176,0.6571±0.0276,0.6388±0.0150,0.5824±0.0173,0.5380±0.0123,0.5803±0.0147,0.5324±0.0142,0.4518±0.0192,0.3944±0.0146,0.7741±0.0438,0.8154±0.0251,0.8414±0.0326,0.8744±0.0234,0.3250±0.0793,0.3469±0.0564,0.5165±0.0769,0.6696±0.0785,0.6737±0.0256,0.6519±0.0141,0.5930±0.0176,0.5458±0.0134,0.5908±0.0168,0.5398±0.0155,0.4560±0.0196,0.3965±0.0155,0.7841±0.0431,0.8236±0.0231,0.8492±0.0301,0.8776±0.0232,0.2866±0.0370,0.2357±0.0229,0.1285±0.0301,0.0476±0.0202
PreOrder__Hamming__2,0.1840±0.0259,0.1824±0.0300,0.1871±0.0383,0.1739±0.0462,0.6747±0.0137,0.6725±0.0187,0.6409±0.0268,0.5727±0.0374,0.7133±0.0367,0.7123±0.0332,0.7026±0.0345,0.6744±0.0432,0.6622±0.0208,0.6581±0.0241,0.6343±0.0213,0.5837±0.0348,0.7830±0.0173,0.7758±0.0221,0.7560±0.0209,0.7106±0.0321,0.5760±0.0232,0.5675±0.0285,0.5352±0.0241,0.4745±0.0371,0.6491±0.0305,0.6430±0.0293,0.6194±0.0230,0.5738±0.0374,0.6176±0.0190,0.6114±0.0299,0.5802±0.0297,0.5223±0.0413,0.6993±0.0412,0.6951±0.0312,0.6820±0.0315,0.6548±0.0411,0.4376±0.1117,0.4313±0.1315,0.4132±0.0952,0.3506±0.0848,0.6712±0.0270,0.6629±0.0270,0.6403±0.0230,0.5892±0.0354,0.6349±0.0193,0.6240±0.0278,0.5931±0.0291,0.5298±0.0387,0.7126±0.0404,0.7075±0.0327,0.6971±0.0314,0.6652±0.0404,0.3238±0.0289,0.3019±0.0421,0.2482±0.0390,0.1694±0.0418
PreOrder__Hamming__None,0.1594±0.0173,0.1668±0.0330,0.1642±0.0342,0.1900±0.0358,0.6523±0.0100,0.6378±0.0188,0.5952±0.0173,0.5145±0.0215,0.7628±0.0324,0.7730±0.0312,0.7867±0.0299,0.7862±0.0331,0.6729±0.0160,0.6667±0.0228,0.6461±0.0170,0.5928±0.0199,0.7771±0.0129,0.7677±0.0224,0.7409±0.0177,0.6785±0.0210,0.5814±0.0210,0.5686±0.0247,0.5383±0.0190,0.4718±0.0221,0.6598±0.0228,0.6570±0.0275,0.6380±0.0205,0.5921±0.0215,0.5992±0.0111,0.5878±0.0256,0.5508±0.0206,0.4853±0.0213,0.7474±0.0346,0.7600±0.0292,0.7718±0.0283,0.7753±0.0326,0.3568±0.1144,0.3682±0.0866,0.3553±0.0775,0.4032±0.0882,0.6799±0.0198,0.6746±0.0247,0.6538±0.0187,0.6035±0.0211,0.6147±0.0128,0.5989±0.0238,0.5602±0.0201,0.4903±0.0215,0.7611±0.0355,0.7726±0.0300,0.7856±0.0270,0.7858±0.0316,0.3103±0.0434,0.2762±0.0340,0.2162±0.0322,0.1228±0.0294
PreOrder__Subset__2,0.1832±0.0289,0.1920±0.0353,0.1960±0.0375,0.1805±0.0470,0.6871±0.0189,0.6788±0.0188,0.6449±0.0305,0.5742±0.0364,0.6874±0.0347,0.6837±0.0356,0.6776±0.0365,0.6517±0.0396,0.6553±0.0171,0.6463±0.0254,0.6231±0.0240,0.5732±0.0333,0.7819±0.0158,0.7717±0.0218,0.7516±0.0222,0.7068±0.0302,0.5693±0.0164,0.5555±0.0293,0.5234±0.0269,0.4640±0.0375,0.6410±0.0281,0.6289±0.0316,0.6056±0.0255,0.5610±0.0335,0.6230±0.0218,0.6106±0.0301,0.5761±0.0330,0.5184±0.0392,0.6722±0.0384,0.6649±0.0356,0.6549±0.0349,0.6298±0.0373,0.4311±0.0981,0.4504±0.1308,0.4312±0.0863,0.3777±0.0900,0.6607±0.0246,0.6485±0.0283,0.6267±0.0248,0.5765±0.0326,0.6405±0.0193,0.6237±0.0283,0.5906±0.0323,0.5258±0.0374,0.6830±0.0383,0.6761±0.0367,0.6692±0.0338,0.6397±0.0377,0.3204±0.0187,0.2894±0.0405,0.2381±0.0420,0.1630±0.0497
PreOrder__Subset__None,0.1609±0.0197,0.1654±0.0332,0.1628±0.0314,0.1922±0.0363,0.6516±0.0094,0.6367±0.0187,0.5952±0.0159,0.5147±0.0217,0.7634±0.0320,0.7724±0.0325,0.7883±0.0308,0.7888±0.0327,0.6725±0.0152,0.6660±0.0228,0.6466±0.0168,0.5938±0.0201,0.7765±0.0154,0.7667±0.0225,0.7406±0.0180,0.6790±0.0202,0.5812±0.0187,0.5680±0.0238,0.5386±0.0190,0.4727±0.0227,0.6598±0.0241,0.6563±0.0272,0.6385±0.0199,0.5935±0.0213,0.5982±0.0150,0.5870±0.0255,0.5504±0.0194,0.4860±0.0211,0.7481±0.0349,0.7596±0.0294,0.7736±0.0299,0.7779±0.0322,0.3489±0.1135,0.3647±0.0823,0.3511±0.0806,0.4071±0.0945,0.6797±0.0206,0.6735±0.0246,0.6540±0.0183,0.6046±0.0208,0.6138±0.0149,0.5976±0.0232,0.5598±0.0195,0.4908±0.0209,0.7621±0.0349,0.7719±0.0304,0.7871±0.0280,0.7883±0.0314,0.3103±0.0390,0.2759±0.0299,0.2162±0.0322,0.1235±0.0311
br,0.3310±0.0252,0.3295±0.0337,0.2945±0.0389,0.2880±0.0486,0.6756±0.0260,0.6614±0.0267,0.6452±0.0379,0.5760±0.0358,0.6217±0.0234,0.6016±0.0352,0.6130±0.0413,0.5736±0.0469,0.6194±0.0250,0.6001±0.0280,0.5960±0.0361,0.5400±0.0351,0.8198±0.0133,0.8078±0.0126,0.7943±0.0154,0.7532±0.0138,0.5475±0.0278,0.5236±0.0312,0.5120±0.0374,0.4479±0.0306,0.6525±0.0317,0.6282±0.0303,0.6242±0.0289,0.5694±0.0274,0.7676±0.0278,0.7335±0.0309,0.6870±0.0335,0.6010±0.0280,0.6030±0.0333,0.5806±0.0374,0.5925±0.0353,0.5574±0.0359,0.6978±0.0896,0.7096±0.0675,0.6094±0.0807,0.5381±0.0959,0.6824±0.0295,0.6599±0.0266,0.6475±0.0310,0.5887±0.0280,0.7545±0.0279,0.7341±0.0271,0.6940±0.0333,0.6121±0.0272,0.6234±0.0345,0.6005±0.0365,0.6082±0.0398,0.5689±0.0425,0.3305±0.0367,0.2897±0.0477,0.2560±0.0457,0.1801±0.0329
cc,0.3290±0.0158,0.3095±0.0318,0.3176±0.0529,0.2907±0.0616,0.6863±0.0297,0.6693±0.0282,0.6387±0.0317,0.5818±0.0315,0.6248±0.0123,0.6191±0.0284,0.6002±0.0528,0.5781±0.0450,0.6239±0.0200,0.6129±0.0263,0.5877±0.0404,0.5463±0.0342,0.8139±0.0120,0.8102±0.0123,0.7938±0.0165,0.7568±0.0167,0.5467±0.0235,0.5356±0.0292,0.5052±0.0401,0.4577±0.0328,0.6406±0.0294,0.6405±0.0272,0.6164±0.0376,0.5741±0.0368,0.7471±0.0318,0.7291±0.0349,0.6883±0.0301,0.6095±0.0386,0.6011±0.0288,0.6002±0.0305,0.5795±0.0528,0.5636±0.0525,0.7331±0.0681,0.6732±0.0849,0.6238±0.1026,0.5719±0.1257,0.6762±0.0262,0.6697±0.0242,0.6425±0.0338,0.5948±0.0337,0.7367±0.0310,0.7306±0.0280,0.6976±0.0277,0.6182±0.0300,0.6253±0.0265,0.6190±0.0295,0.5979±0.0521,0.5758±0.0523,0.3153±0.0420,0.3002±0.0447,0.2560±0.0412,0.1957±0.0367
