Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.4391±0.0409,0.4955±0.0757,0.5885±0.1068,0.6433±0.1060,0.3758±0.0454,0.3220±0.0419,0.2678±0.0345,0.2421±0.0213,0.7731±0.0703,0.8217±0.0490,0.8613±0.0679,0.8898±0.0473,0.4634±0.0404,0.4289±0.0388,0.3897±0.0344,0.3672±0.0242,0.5782±0.0251,0.5082±0.0567,0.4326±0.0797,0.3747±0.0465,0.3593±0.0429,0.3108±0.0390,0.2640±0.0332,0.2400±0.0210,0.3516±0.0360,0.3349±0.0312,0.3225±0.0243,0.3178±0.0220,0.2550±0.0221,0.2358±0.0208,0.2228±0.0181,0.2161±0.0143,0.6697±0.0985,0.7076±0.0966,0.7414±0.0819,0.7838±0.0872,0.7736±0.0406,0.8472±0.0889,0.8821±0.0836,0.8884±0.0723,0.4256±0.0242,0.4060±0.0321,0.3832±0.0288,0.3673±0.0196,0.2942±0.0165,0.2700±0.0263,0.2474±0.0244,0.2315±0.0153,0.7719±0.0636,0.8241±0.0483,0.8618±0.0668,0.8934±0.0456,0.1308±0.0571,0.0638±0.0400,0.0184±0.0240,0.0087±0.0135
PartialOrder__Hamming__None,0.4501±0.0359,0.5018±0.0725,0.5898±0.1047,0.6480±0.1027,0.3730±0.0471,0.3194±0.0406,0.2668±0.0333,0.2428±0.0203,0.7803±0.0774,0.8251±0.0456,0.8628±0.0664,0.8965±0.0393,0.4646±0.0464,0.4278±0.0389,0.3891±0.0337,0.3691±0.0225,0.5773±0.0275,0.5061±0.0568,0.4315±0.0783,0.3751±0.0466,0.3590±0.0480,0.3083±0.0382,0.2630±0.0322,0.2408±0.0198,0.3532±0.0393,0.3345±0.0317,0.3221±0.0242,0.3191±0.0211,0.2560±0.0249,0.2349±0.0214,0.2219±0.0171,0.2167±0.0140,0.6743±0.1036,0.7094±0.0961,0.7423±0.0815,0.7891±0.0857,0.8126±0.0405,0.8603±0.0754,0.8920±0.0767,0.8973±0.0606,0.4277±0.0281,0.4061±0.0322,0.3831±0.0286,0.3689±0.0189,0.2950±0.0188,0.2696±0.0264,0.2472±0.0242,0.2325±0.0152,0.7803±0.0719,0.8274±0.0448,0.8634±0.0643,0.8989±0.0394,0.1259±0.0606,0.0580±0.0343,0.0164±0.0213,0.0077±0.0132
PartialOrder__Subset__2,0.4348±0.0433,0.4946±0.0763,0.5873±0.1090,0.6424±0.1066,0.3733±0.0490,0.3217±0.0420,0.2667±0.0340,0.2411±0.0208,0.7682±0.0777,0.8208±0.0508,0.8575±0.0690,0.8878±0.0493,0.4601±0.0456,0.4285±0.0392,0.3880±0.0338,0.3660±0.0238,0.5774±0.0259,0.5081±0.0567,0.4312±0.0790,0.3740±0.0459,0.3568±0.0460,0.3106±0.0392,0.2629±0.0328,0.2390±0.0206,0.3509±0.0366,0.3347±0.0314,0.3214±0.0238,0.3173±0.0217,0.2548±0.0224,0.2357±0.0209,0.2220±0.0179,0.2158±0.0140,0.6677±0.0991,0.7071±0.0970,0.7391±0.0806,0.7820±0.0890,0.7531±0.0305,0.8444±0.0930,0.8815±0.0814,0.8898±0.0727,0.4238±0.0275,0.4057±0.0326,0.3816±0.0285,0.3666±0.0194,0.2930±0.0184,0.2698±0.0265,0.2464±0.0241,0.2310±0.0151,0.7680±0.0702,0.8232±0.0498,0.8586±0.0684,0.8918±0.0475,0.1308±0.0571,0.0638±0.0400,0.0184±0.0240,0.0077±0.0132
PartialOrder__Subset__None,0.4501±0.0359,0.5008±0.0714,0.5898±0.1046,0.6481±0.1027,0.3730±0.0471,0.3194±0.0408,0.2663±0.0331,0.2428±0.0203,0.7803±0.0774,0.8251±0.0456,0.8609±0.0656,0.8965±0.0393,0.4646±0.0464,0.4277±0.0390,0.3883±0.0333,0.3691±0.0226,0.5773±0.0275,0.5060±0.0570,0.4306±0.0783,0.3750±0.0465,0.3590±0.0480,0.3083±0.0383,0.2625±0.0319,0.2408±0.0199,0.3532±0.0393,0.3346±0.0316,0.3215±0.0238,0.3192±0.0210,0.2560±0.0249,0.2350±0.0214,0.2215±0.0169,0.2168±0.0139,0.6743±0.1036,0.7094±0.0961,0.7414±0.0810,0.7891±0.0857,0.8126±0.0405,0.8586±0.0765,0.8915±0.0753,0.8973±0.0606,0.4277±0.0281,0.4060±0.0324,0.3823±0.0282,0.3689±0.0190,0.2950±0.0188,0.2696±0.0265,0.2466±0.0241,0.2324±0.0152,0.7803±0.0719,0.8274±0.0448,0.8619±0.0635,0.8989±0.0394,0.1259±0.0606,0.0580±0.0343,0.0164±0.0213,0.0077±0.0132
PreOrder__Hamming__2,0.3651±0.0646,0.3999±0.0633,0.4426±0.0985,0.3577±0.0772,0.4012±0.0526,0.3696±0.0633,0.3562±0.0467,0.3191±0.0498,0.6804±0.0413,0.6907±0.0552,0.6902±0.0838,0.6870±0.0767,0.4554±0.0464,0.4362±0.0537,0.4303±0.0390,0.4106±0.0524,0.6008±0.0364,0.5852±0.0605,0.5939±0.0716,0.5811±0.0688,0.3749±0.0453,0.3419±0.0554,0.3327±0.0460,0.3051±0.0483,0.3379±0.0437,0.3269±0.0444,0.3133±0.0403,0.3193±0.0506,0.2577±0.0285,0.2465±0.0347,0.2416±0.0376,0.2422±0.0400,0.5981±0.1136,0.6015±0.0954,0.5450±0.1107,0.5727±0.1328,0.6059±0.0890,0.6832±0.0917,0.7657±0.1121,0.6794±0.1296,0.4094±0.0284,0.4046±0.0418,0.4084±0.0348,0.4002±0.0540,0.2931±0.0233,0.2878±0.0373,0.2944±0.0384,0.2853±0.0474,0.6802±0.0390,0.6886±0.0560,0.6845±0.0834,0.6809±0.0742,0.2033±0.0460,0.1295±0.0610,0.1092±0.0658,0.0657±0.0440
PreOrder__Hamming__None,0.4134±0.0607,0.4371±0.0604,0.4775±0.0964,0.3732±0.0621,0.3876±0.0449,0.3611±0.0527,0.3522±0.0449,0.3083±0.0442,0.7100±0.0557,0.7260±0.0562,0.7299±0.0703,0.7415±0.0693,0.4555±0.0427,0.4431±0.0467,0.4409±0.0416,0.4154±0.0506,0.6007±0.0324,0.5833±0.0535,0.5874±0.0696,0.5624±0.0648,0.3617±0.0403,0.3419±0.0469,0.3360±0.0441,0.2981±0.0444,0.3397±0.0515,0.3296±0.0422,0.3217±0.0472,0.3283±0.0448,0.2572±0.0365,0.2455±0.0321,0.2444±0.0419,0.2416±0.0352,0.6057±0.1197,0.6113±0.0939,0.5687±0.1124,0.6281±0.1187,0.6466±0.0606,0.7517±0.0895,0.7951±0.1031,0.7166±0.1169,0.4173±0.0302,0.4144±0.0401,0.4199±0.0387,0.4081±0.0515,0.2967±0.0219,0.2916±0.0347,0.2973±0.0385,0.2834±0.0432,0.7046±0.0578,0.7225±0.0591,0.7279±0.0673,0.7359±0.0645,0.1499±0.0425,0.1103±0.0474,0.0948±0.0472,0.0339±0.0290
PreOrder__Subset__2,0.3586±0.0644,0.3887±0.0647,0.4297±0.0985,0.3584±0.0813,0.4039±0.0533,0.3703±0.0655,0.3620±0.0493,0.3210±0.0480,0.6707±0.0399,0.6757±0.0529,0.6815±0.0829,0.6807±0.0823,0.4520±0.0472,0.4320±0.0549,0.4311±0.0384,0.4102±0.0508,0.6000±0.0368,0.5855±0.0609,0.5946±0.0737,0.5821±0.0676,0.3724±0.0502,0.3420±0.0580,0.3371±0.0472,0.3066±0.0468,0.3363±0.0438,0.3253±0.0419,0.3136±0.0401,0.3150±0.0448,0.2582±0.0285,0.2467±0.0334,0.2430±0.0398,0.2391±0.0327,0.5925±0.1137,0.5952±0.0914,0.5419±0.1065,0.5640±0.1299,0.5836±0.0916,0.6661±0.0999,0.7467±0.1226,0.6838±0.1318,0.4047±0.0287,0.4003±0.0419,0.4059±0.0352,0.3981±0.0513,0.2905±0.0236,0.2857±0.0379,0.2938±0.0399,0.2844±0.0449,0.6685±0.0407,0.6757±0.0542,0.6757±0.0830,0.6746±0.0776,0.2033±0.0630,0.1403±0.0636,0.1247±0.0716,0.0715±0.0465
PreOrder__Subset__None,0.4161±0.0579,0.4325±0.0605,0.4769±0.0983,0.3772±0.0668,0.3846±0.0470,0.3577±0.0542,0.3514±0.0443,0.3074±0.0436,0.7196±0.0497,0.7247±0.0528,0.7343±0.0717,0.7401±0.0627,0.4563±0.0415,0.4404±0.0481,0.4406±0.0412,0.4140±0.0486,0.6015±0.0316,0.5800±0.0563,0.5867±0.0678,0.5602±0.0638,0.3602±0.0416,0.3393±0.0482,0.3351±0.0438,0.2969±0.0432,0.3408±0.0526,0.3297±0.0408,0.3224±0.0449,0.3259±0.0406,0.2578±0.0376,0.2448±0.0309,0.2445±0.0394,0.2395±0.0314,0.6094±0.1184,0.6148±0.0920,0.5721±0.1117,0.6198±0.1072,0.6561±0.0515,0.7494±0.0963,0.7917±0.1008,0.7077±0.1183,0.4204±0.0270,0.4131±0.0405,0.4209±0.0375,0.4063±0.0500,0.2984±0.0193,0.2902±0.0353,0.2975±0.0376,0.2820±0.0424,0.7123±0.0523,0.7235±0.0543,0.7327±0.0686,0.7342±0.0590,0.1452±0.0468,0.1074±0.0462,0.0929±0.0481,0.0339±0.0290
br,0.6610±0.0282,0.6552±0.0463,0.5969±0.0744,0.5640±0.0816,0.3216±0.0598,0.3103±0.0759,0.3297±0.0761,0.3336±0.0763,0.2927±0.0673,0.2913±0.0807,0.3465±0.0895,0.3793±0.1069,0.2999±0.0619,0.2912±0.0761,0.3231±0.0768,0.3348±0.0819,0.8221±0.0193,0.8163±0.0189,0.8032±0.0184,0.7762±0.0212,0.2854±0.0601,0.2727±0.0745,0.2943±0.0710,0.2929±0.0713,0.2495±0.0935,0.2468±0.0919,0.2706±0.0981,0.2730±0.0971,0.3096±0.0656,0.3209±0.0718,0.3279±0.1017,0.3153±0.1216,0.2208±0.1007,0.2188±0.1013,0.2487±0.1073,0.2900±0.1271,1.0000±0.0000,0.9990±0.0050,0.9948±0.0150,0.9706±0.0465,0.3832±0.0752,0.3800±0.0822,0.4007±0.0781,0.3994±0.0730,0.6438±0.0884,0.6042±0.0940,0.5246±0.0652,0.4416±0.0668,0.2761±0.0690,0.2832±0.0780,0.3327±0.0941,0.3760±0.1031,0.2419±0.0563,0.2177±0.0725,0.2106±0.0641,0.1722±0.0576
cc,0.6627±0.0327,0.6562±0.0503,0.6441±0.0711,0.5664±0.0993,0.3075±0.0760,0.2970±0.0680,0.2992±0.0840,0.3328±0.0680,0.2808±0.0755,0.2770±0.0650,0.3009±0.0881,0.3774±0.0842,0.2857±0.0727,0.2770±0.0648,0.2861±0.0805,0.3358±0.0684,0.8181±0.0164,0.8109±0.0161,0.7979±0.0189,0.7702±0.0272,0.2688±0.0685,0.2573±0.0645,0.2591±0.0749,0.2997±0.0618,0.2414±0.0996,0.2368±0.0924,0.2357±0.0739,0.2553±0.0777,0.2954±0.0837,0.3075±0.1039,0.3063±0.1003,0.2968±0.1032,0.2149±0.1033,0.2117±0.0971,0.2105±0.0778,0.2584±0.0905,1.0000±0.0000,0.9990±0.0050,0.9958±0.0096,0.9681±0.0404,0.3659±0.0783,0.3616±0.0672,0.3647±0.0781,0.3945±0.0714,0.6169±0.0555,0.5782±0.0813,0.5107±0.0904,0.4268±0.0738,0.2636±0.0702,0.2684±0.0653,0.2931±0.0865,0.3730±0.0867,0.2179±0.0567,0.1989±0.0692,0.1800±0.0694,0.1962±0.0549
