Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.7853±0.0118,0.8171±0.0305,0.8681±0.0241,0.8805±0.0224,0.1254±0.0066,0.1052±0.0055,0.0917±0.0022,0.0885±0.0015,0.9333±0.0036,0.9514±0.0086,0.9669±0.0097,0.9659±0.0073,0.1932±0.0066,0.1774±0.0050,0.1646±0.0027,0.1604±0.0025,0.2029±0.0090,0.1814±0.0106,0.1562±0.0077,0.1466±0.0086,0.1231±0.0063,0.1042±0.0049,0.0915±0.0022,0.0884±0.0015,0.1477±0.0019,0.1466±0.0018,0.1455±0.0017,0.1442±0.0020,0.0886±0.0012,0.0876±0.0011,0.0866±0.0010,0.0857±0.0011,0.9191±0.0095,0.9253±0.0201,0.9476±0.0202,0.9493±0.0175,0.9735±0.0065,0.9785±0.0082,0.9754±0.0116,0.9743±0.0116,0.1650±0.0019,0.1641±0.0019,0.1623±0.0018,0.1609±0.0023,0.0905±0.0011,0.0898±0.0011,0.0886±0.0011,0.0878±0.0014,0.9304±0.0044,0.9494±0.0087,0.9659±0.0089,0.9665±0.0070,0.0319±0.0065,0.0097±0.0048,0.0007±0.0012,0.0000±0.0000
PartialOrder__Hamming__None,0.7854±0.0118,0.8173±0.0304,0.8685±0.0239,0.8812±0.0221,0.1255±0.0065,0.1052±0.0055,0.0917±0.0022,0.0884±0.0015,0.9336±0.0034,0.9517±0.0085,0.9673±0.0096,0.9663±0.0072,0.1934±0.0065,0.1774±0.0049,0.1646±0.0026,0.1604±0.0024,0.2029±0.0090,0.1814±0.0106,0.1561±0.0076,0.1464±0.0085,0.1232±0.0063,0.1042±0.0048,0.0915±0.0022,0.0884±0.0015,0.1478±0.0019,0.1467±0.0018,0.1455±0.0017,0.1442±0.0020,0.0886±0.0012,0.0876±0.0010,0.0866±0.0010,0.0857±0.0011,0.9192±0.0095,0.9255±0.0200,0.9478±0.0200,0.9497±0.0171,0.9745±0.0074,0.9786±0.0079,0.9760±0.0112,0.9749±0.0110,0.1651±0.0019,0.1642±0.0018,0.1624±0.0018,0.1609±0.0022,0.0906±0.0011,0.0899±0.0011,0.0886±0.0011,0.0878±0.0013,0.9307±0.0042,0.9497±0.0085,0.9663±0.0088,0.9670±0.0069,0.0319±0.0065,0.0096±0.0047,0.0007±0.0012,0.0000±0.0000
PartialOrder__Subset__2,0.7853±0.0118,0.8170±0.0305,0.8680±0.0240,0.8802±0.0225,0.1254±0.0066,0.1052±0.0056,0.0916±0.0022,0.0884±0.0015,0.9333±0.0036,0.9512±0.0088,0.9664±0.0095,0.9655±0.0076,0.1932±0.0066,0.1773±0.0050,0.1645±0.0026,0.1603±0.0025,0.2029±0.0090,0.1813±0.0106,0.1562±0.0077,0.1466±0.0086,0.1231±0.0063,0.1042±0.0049,0.0915±0.0022,0.0883±0.0015,0.1477±0.0019,0.1466±0.0018,0.1454±0.0017,0.1441±0.0020,0.0886±0.0012,0.0876±0.0010,0.0866±0.0010,0.0857±0.0011,0.9191±0.0095,0.9252±0.0202,0.9474±0.0200,0.9490±0.0176,0.9735±0.0065,0.9784±0.0081,0.9751±0.0122,0.9742±0.0112,0.1650±0.0019,0.1641±0.0019,0.1623±0.0017,0.1608±0.0023,0.0905±0.0011,0.0898±0.0011,0.0886±0.0011,0.0877±0.0013,0.9304±0.0044,0.9492±0.0088,0.9655±0.0088,0.9662±0.0073,0.0319±0.0065,0.0097±0.0048,0.0007±0.0012,0.0000±0.0000
PartialOrder__Subset__None,0.7854±0.0118,0.8172±0.0304,0.8684±0.0238,0.8810±0.0222,0.1255±0.0065,0.1052±0.0055,0.0917±0.0022,0.0884±0.0015,0.9336±0.0034,0.9515±0.0086,0.9670±0.0096,0.9661±0.0074,0.1934±0.0065,0.1774±0.0050,0.1645±0.0026,0.1603±0.0024,0.2029±0.0090,0.1813±0.0106,0.1560±0.0077,0.1463±0.0085,0.1232±0.0063,0.1042±0.0048,0.0915±0.0022,0.0883±0.0015,0.1478±0.0019,0.1467±0.0018,0.1455±0.0017,0.1442±0.0020,0.0886±0.0012,0.0876±0.0010,0.0866±0.0010,0.0857±0.0011,0.9192±0.0095,0.9254±0.0200,0.9477±0.0198,0.9495±0.0172,0.9745±0.0074,0.9786±0.0079,0.9757±0.0118,0.9747±0.0106,0.1651±0.0019,0.1641±0.0018,0.1623±0.0018,0.1609±0.0022,0.0906±0.0011,0.0898±0.0011,0.0886±0.0011,0.0877±0.0013,0.9307±0.0042,0.9495±0.0085,0.9660±0.0087,0.9667±0.0071,0.0319±0.0065,0.0096±0.0047,0.0007±0.0012,0.0000±0.0000
PreOrder__Hamming__2,0.7490±0.0197,0.7044±0.0334,0.5889±0.0432,0.3582±0.0454,0.1234±0.0066,0.1185±0.0076,0.1120±0.0059,0.1175±0.0060,0.9083±0.0063,0.8946±0.0118,0.8663±0.0160,0.8002±0.0216,0.1896±0.0062,0.1869±0.0067,0.1846±0.0055,0.1966±0.0067,0.2103±0.0085,0.2322±0.0134,0.2789±0.0147,0.4035±0.0221,0.1207±0.0057,0.1161±0.0068,0.1102±0.0053,0.1162±0.0057,0.1464±0.0014,0.1464±0.0026,0.1472±0.0022,0.1495±0.0036,0.0882±0.0007,0.0884±0.0014,0.0895±0.0013,0.0922±0.0021,0.8942±0.0162,0.8742±0.0225,0.8108±0.0347,0.6952±0.0391,0.9633±0.0108,0.9461±0.0165,0.8927±0.0314,0.8105±0.0506,0.1624±0.0012,0.1639±0.0025,0.1684±0.0025,0.1847±0.0051,0.0892±0.0007,0.0903±0.0014,0.0933±0.0016,0.1045±0.0033,0.9047±0.0040,0.8892±0.0122,0.8624±0.0148,0.7978±0.0199,0.0306±0.0043,0.0223±0.0065,0.0099±0.0055,0.0035±0.0038
PreOrder__Hamming__None,0.7461±0.0229,0.6999±0.0330,0.5854±0.0412,0.3617±0.0421,0.1245±0.0064,0.1190±0.0074,0.1134±0.0059,0.1172±0.0051,0.9096±0.0052,0.8944±0.0112,0.8712±0.0159,0.8156±0.0160,0.1907±0.0061,0.1877±0.0066,0.1870±0.0057,0.1983±0.0063,0.2123±0.0084,0.2348±0.0133,0.2841±0.0150,0.4050±0.0206,0.1218±0.0056,0.1166±0.0067,0.1116±0.0055,0.1162±0.0049,0.1467±0.0014,0.1465±0.0026,0.1479±0.0025,0.1507±0.0034,0.0884±0.0007,0.0885±0.0015,0.0898±0.0015,0.0926±0.0020,0.8933±0.0174,0.8723±0.0226,0.8105±0.0353,0.6998±0.0391,0.9652±0.0111,0.9479±0.0170,0.9013±0.0275,0.8416±0.0422,0.1630±0.0012,0.1645±0.0024,0.1703±0.0028,0.1881±0.0053,0.0895±0.0007,0.0906±0.0014,0.0944±0.0017,0.1064±0.0034,0.9057±0.0034,0.8895±0.0114,0.8679±0.0148,0.8138±0.0150,0.0316±0.0039,0.0220±0.0064,0.0094±0.0054,0.0015±0.0017
PreOrder__Subset__2,0.7495±0.0200,0.7070±0.0338,0.5910±0.0412,0.3555±0.0476,0.1230±0.0065,0.1183±0.0077,0.1118±0.0063,0.1170±0.0061,0.9079±0.0072,0.8947±0.0121,0.8644±0.0154,0.7965±0.0208,0.1892±0.0062,0.1867±0.0068,0.1840±0.0060,0.1957±0.0068,0.2096±0.0086,0.2309±0.0133,0.2777±0.0149,0.4026±0.0223,0.1204±0.0056,0.1160±0.0069,0.1099±0.0058,0.1157±0.0058,0.1463±0.0014,0.1463±0.0026,0.1469±0.0023,0.1492±0.0033,0.0881±0.0007,0.0883±0.0015,0.0893±0.0014,0.0921±0.0020,0.8941±0.0163,0.8755±0.0230,0.8119±0.0331,0.6939±0.0389,0.9633±0.0108,0.9456±0.0178,0.8903±0.0328,0.8066±0.0521,0.1622±0.0012,0.1637±0.0024,0.1679±0.0027,0.1838±0.0049,0.0891±0.0007,0.0902±0.0014,0.0930±0.0016,0.1040±0.0032,0.9041±0.0045,0.8894±0.0123,0.8604±0.0144,0.7944±0.0191,0.0303±0.0039,0.0224±0.0066,0.0103±0.0058,0.0037±0.0038
PreOrder__Subset__None,0.7487±0.0213,0.7000±0.0348,0.5831±0.0412,0.3591±0.0430,0.1242±0.0065,0.1188±0.0074,0.1131±0.0060,0.1172±0.0052,0.9083±0.0059,0.8950±0.0120,0.8705±0.0146,0.8150±0.0172,0.1904±0.0062,0.1877±0.0065,0.1866±0.0058,0.1981±0.0064,0.2121±0.0082,0.2348±0.0135,0.2838±0.0155,0.4041±0.0208,0.1216±0.0057,0.1165±0.0066,0.1113±0.0056,0.1161±0.0050,0.1465±0.0015,0.1466±0.0026,0.1479±0.0023,0.1505±0.0034,0.0883±0.0007,0.0885±0.0015,0.0898±0.0014,0.0925±0.0020,0.8958±0.0164,0.8724±0.0240,0.8094±0.0329,0.6974±0.0376,0.9652±0.0111,0.9482±0.0175,0.9011±0.0285,0.8408±0.0422,0.1628±0.0012,0.1645±0.0025,0.1701±0.0029,0.1878±0.0052,0.0894±0.0007,0.0906±0.0014,0.0943±0.0018,0.1062±0.0034,0.9047±0.0039,0.8899±0.0120,0.8671±0.0132,0.8131±0.0157,0.0312±0.0042,0.0219±0.0064,0.0091±0.0055,0.0017±0.0019
br,0.9772±0.0021,0.9728±0.0049,0.9632±0.0076,0.9327±0.0105,0.0763±0.0099,0.0831±0.0151,0.0974±0.0184,0.1252±0.0229,0.0716±0.0087,0.0768±0.0139,0.0909±0.0180,0.1250±0.0224,0.0732±0.0091,0.0786±0.0142,0.0920±0.0175,0.1204±0.0216,0.9181±0.0015,0.9176±0.0019,0.9161±0.0017,0.9090±0.0024,0.0716±0.0087,0.0761±0.0137,0.0882±0.0165,0.1119±0.0199,0.0302±0.0040,0.0351±0.0076,0.0438±0.0086,0.0672±0.0105,0.1531±0.0498,0.1895±0.0486,0.1724±0.0416,0.1537±0.0296,0.0188±0.0025,0.0219±0.0050,0.0279±0.0062,0.0461±0.0084,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9993±0.0010,0.1174±0.0148,0.1268±0.0224,0.1455±0.0258,0.1812±0.0286,0.6636±0.0581,0.6150±0.0658,0.5269±0.0423,0.3793±0.0382,0.0644±0.0084,0.0708±0.0133,0.0848±0.0174,0.1195±0.0220,0.0670±0.0081,0.0689±0.0126,0.0772±0.0141,0.0876±0.0161
cc,0.9707±0.0027,0.9715±0.0034,0.9601±0.0065,0.9285±0.0085,0.0937±0.0087,0.0874±0.0111,0.1051±0.0159,0.1322±0.0216,0.0857±0.0070,0.0817±0.0104,0.0985±0.0144,0.1314±0.0203,0.0883±0.0075,0.0833±0.0106,0.0996±0.0147,0.1268±0.0202,0.9184±0.0013,0.9178±0.0016,0.9165±0.0019,0.9082±0.0025,0.0857±0.0070,0.0808±0.0104,0.0955±0.0140,0.1176±0.0190,0.0369±0.0037,0.0364±0.0048,0.0485±0.0083,0.0692±0.0099,0.1914±0.0277,0.1957±0.0449,0.1952±0.0508,0.1581±0.0339,0.0239±0.0026,0.0229±0.0032,0.0309±0.0056,0.0485±0.0076,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9990±0.0010,0.1413±0.0127,0.1332±0.0164,0.1562±0.0214,0.1879±0.0264,0.6477±0.0405,0.6187±0.0488,0.5414±0.0441,0.3730±0.0346,0.0794±0.0077,0.0747±0.0099,0.0916±0.0140,0.1259±0.0203,0.0782±0.0058,0.0736±0.0103,0.0837±0.0126,0.0920±0.0159
