Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PartialOrder__Hamming__None,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PartialOrder__Subset__2,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PartialOrder__Subset__None,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PreOrder__Hamming__2,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PreOrder__Hamming__None,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PreOrder__Subset__2,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
PreOrder__Subset__None,0.6396±0.0265,0.5901±0.0216,0.5744±0.0224,0.5528±0.0263,0.8464±0.0082,0.8115±0.0083,0.7838±0.0098,0.7370±0.0121,0.1897±0.0169,0.1633±0.0116,0.1489±0.0090,0.1304±0.0063,0.3926±0.0182,0.3534±0.0155,0.3052±0.0156,0.2372±0.0148,2.3668±0.1233,2.6351±0.1339,3.0419±0.1521,3.8683±0.1835,0.6014±0.0156,0.5838±0.0118,0.5505±0.0167,0.4773±0.0148,0.5715±0.0216,0.5823±0.0165,0.6057±0.0210,0.6712±0.0178,0.1558±0.0074,0.1754±0.0081,0.2047±0.0102,0.2655±0.0128
br,0.6396±0.0265,0.5963±0.0204,0.5757±0.0223,0.5485±0.0270,0.8464±0.0082,0.8127±0.0093,0.7824±0.0095,0.7338±0.0113,0.1897±0.0169,0.1611±0.0102,0.1459±0.0073,0.1286±0.0073,0.3926±0.0182,0.3527±0.0175,0.3020±0.0121,0.2310±0.0163,2.3668±0.1233,2.6066±0.1384,3.0651±0.1550,3.8832±0.1399,0.6014±0.0156,0.5843±0.0129,0.5466±0.0116,0.4731±0.0097,0.5715±0.0216,0.5817±0.0174,0.6105±0.0138,0.6756±0.0144,0.1558±0.0074,0.1731±0.0091,0.2069±0.0100,0.2666±0.0101
cc,0.6459±0.0084,0.5896±0.0238,0.5830±0.0249,0.5586±0.0226,0.8478±0.0070,0.8124±0.0094,0.7863±0.0118,0.7371±0.0133,0.1924±0.0163,0.1626±0.0114,0.1496±0.0091,0.1295±0.0063,0.3952±0.0160,0.3548±0.0168,0.3086±0.0188,0.2331±0.0170,2.3555±0.1018,2.6123±0.1458,3.0259±0.1631,3.8467±0.1866,0.6037±0.0121,0.5865±0.0144,0.5517±0.0147,0.4761±0.0173,0.5634±0.0156,0.5773±0.0199,0.6046±0.0177,0.6724±0.0230,0.1551±0.0066,0.1740±0.0092,0.2036±0.0105,0.2645±0.0128
