Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5935±0.0187,0.6033±0.0292,0.5576±0.0544,0.4894±0.0533,0.6434±0.0195,0.6197±0.0248,0.5820±0.0260,0.5223±0.0216,0.7468±0.0244,0.7519±0.0272,0.7657±0.0379,0.7873±0.0307,0.6658±0.0157,0.6535±0.0211,0.6326±0.0245,0.6009±0.0201,0.7051±0.0119,0.6880±0.0176,0.6485±0.0206,0.5858±0.0204,0.5600±0.0182,0.5423±0.0238,0.5123±0.0267,0.4690±0.0192,0.5305±0.0101,0.5244±0.0191,0.5233±0.0251,0.5258±0.0182,0.4975±0.0051,0.4851±0.0202,0.4591±0.0208,0.4451±0.0199,0.5885±0.0198,0.5956±0.0236,0.6305±0.0667,0.6935±0.0659,0.9981±0.0037,0.9916±0.0149,0.9555±0.0362,0.8547±0.0897,0.6898±0.0155,0.6794±0.0203,0.6560±0.0238,0.6236±0.0198,0.6294±0.0170,0.6086±0.0247,0.5662±0.0246,0.5121±0.0237,0.7637±0.0250,0.7698±0.0261,0.7812±0.0378,0.7987±0.0281,0.2000±0.0209,0.1654±0.0324,0.1146±0.0298,0.0494±0.0179
PartialOrder__Hamming__None,0.5962±0.0104,0.6131±0.0370,0.5668±0.0499,0.5002±0.0502,0.6403±0.0223,0.6146±0.0242,0.5786±0.0245,0.5208±0.0231,0.7699±0.0275,0.7685±0.0278,0.7822±0.0354,0.7928±0.0296,0.6727±0.0191,0.6573±0.0210,0.6372±0.0231,0.6021±0.0214,0.7057±0.0119,0.6866±0.0168,0.6484±0.0193,0.5843±0.0216,0.5644±0.0229,0.5450±0.0233,0.5157±0.0256,0.4701±0.0210,0.5385±0.0122,0.5306±0.0189,0.5287±0.0230,0.5268±0.0187,0.4967±0.0087,0.4818±0.0181,0.4587±0.0192,0.4442±0.0207,0.6076±0.0213,0.6130±0.0250,0.6453±0.0650,0.6979±0.0647,0.9981±0.0037,0.9932±0.0097,0.9622±0.0333,0.8623±0.0889,0.6955±0.0184,0.6831±0.0202,0.6605±0.0223,0.6246±0.0208,0.6260±0.0202,0.6042±0.0240,0.5647±0.0231,0.5108±0.0246,0.7830±0.0278,0.7868±0.0269,0.7967±0.0360,0.8049±0.0265,0.1928±0.0265,0.1622±0.0348,0.1132±0.0322,0.0494±0.0169
PartialOrder__Subset__2,0.5906±0.0171,0.6023±0.0325,0.5569±0.0532,0.4895±0.0537,0.6433±0.0188,0.6199±0.0247,0.5824±0.0265,0.5223±0.0220,0.7472±0.0241,0.7527±0.0280,0.7663±0.0371,0.7870±0.0303,0.6660±0.0146,0.6539±0.0211,0.6332±0.0248,0.6009±0.0202,0.7051±0.0115,0.6883±0.0178,0.6493±0.0205,0.5858±0.0206,0.5604±0.0171,0.5427±0.0238,0.5129±0.0272,0.4689±0.0194,0.5307±0.0098,0.5252±0.0198,0.5240±0.0247,0.5259±0.0182,0.4974±0.0032,0.4859±0.0201,0.4598±0.0211,0.4451±0.0201,0.5889±0.0202,0.5965±0.0245,0.6312±0.0657,0.6937±0.0655,0.9963±0.0046,0.9916±0.0149,0.9550±0.0377,0.8528±0.0889,0.6898±0.0147,0.6798±0.0205,0.6568±0.0240,0.6235±0.0200,0.6294±0.0164,0.6089±0.0246,0.5669±0.0253,0.5121±0.0239,0.7638±0.0247,0.7703±0.0267,0.7819±0.0368,0.7985±0.0283,0.2036±0.0246,0.1658±0.0332,0.1150±0.0315,0.0494±0.0187
PartialOrder__Subset__None,0.5969±0.0094,0.6122±0.0388,0.5654±0.0487,0.5002±0.0503,0.6400±0.0214,0.6147±0.0247,0.5786±0.0247,0.5209±0.0228,0.7704±0.0270,0.7697±0.0288,0.7835±0.0345,0.7929±0.0295,0.6727±0.0179,0.6578±0.0217,0.6375±0.0231,0.6022±0.0211,0.7054±0.0113,0.6868±0.0175,0.6486±0.0191,0.5844±0.0212,0.5644±0.0216,0.5453±0.0239,0.5157±0.0259,0.4702±0.0206,0.5384±0.0116,0.5313±0.0195,0.5291±0.0228,0.5270±0.0182,0.4968±0.0071,0.4822±0.0186,0.4588±0.0191,0.4443±0.0205,0.6077±0.0212,0.6140±0.0257,0.6460±0.0647,0.6983±0.0641,0.9981±0.0037,0.9932±0.0097,0.9626±0.0328,0.8618±0.0882,0.6953±0.0173,0.6835±0.0210,0.6608±0.0222,0.6247±0.0205,0.6257±0.0193,0.6043±0.0247,0.5648±0.0230,0.5109±0.0243,0.7831±0.0272,0.7875±0.0276,0.7974±0.0356,0.8052±0.0262,0.1928±0.0265,0.1618±0.0354,0.1124±0.0341,0.0494±0.0167
PreOrder__Hamming__2,0.6343±0.0406,0.6167±0.0545,0.5797±0.0649,0.4389±0.0760,0.6851±0.0405,0.6672±0.0252,0.6497±0.0297,0.6019±0.0262,0.6577±0.0341,0.6225±0.0388,0.5876±0.0302,0.5676±0.0320,0.6451±0.0308,0.6180±0.0271,0.5891±0.0228,0.5558±0.0211,0.7177±0.0251,0.7002±0.0211,0.6813±0.0174,0.6456±0.0183,0.5354±0.0333,0.5055±0.0286,0.4738±0.0242,0.4348±0.0221,0.4861±0.0260,0.4649±0.0252,0.4485±0.0255,0.4495±0.0266,0.5267±0.0242,0.5063±0.0177,0.4891±0.0248,0.4679±0.0253,0.4856±0.0231,0.4610±0.0254,0.4398±0.0272,0.4445±0.0291,1.0000±0.0000,0.9963±0.0053,0.9696±0.0543,0.8964±0.0868,0.6664±0.0303,0.6415±0.0260,0.6157±0.0216,0.5815±0.0198,0.6780±0.0393,0.6601±0.0255,0.6397±0.0276,0.5912±0.0254,0.6564±0.0335,0.6249±0.0346,0.5947±0.0303,0.5731±0.0274,0.1784±0.0270,0.1488±0.0311,0.1207±0.0252,0.0768±0.0250
PreOrder__Hamming__None,0.5575±0.0261,0.5553±0.0462,0.5383±0.0523,0.4711±0.0516,0.6469±0.0232,0.6226±0.0244,0.6000±0.0257,0.5620±0.0225,0.7657±0.0265,0.7573±0.0322,0.7592±0.0314,0.7482±0.0248,0.6751±0.0180,0.6566±0.0232,0.6427±0.0202,0.6133±0.0158,0.7117±0.0102,0.6915±0.0175,0.6727±0.0149,0.6327±0.0150,0.5671±0.0220,0.5424±0.0248,0.5229±0.0214,0.4865±0.0179,0.5420±0.0087,0.5309±0.0189,0.5250±0.0169,0.5182±0.0180,0.5016±0.0097,0.4874±0.0299,0.4698±0.0186,0.4554±0.0210,0.6028±0.0186,0.5993±0.0248,0.6060±0.0262,0.6154±0.0314,0.9981±0.0037,0.9922±0.0089,0.9664±0.0270,0.8571±0.0780,0.6978±0.0166,0.6814±0.0229,0.6684±0.0184,0.6390±0.0150,0.6349±0.0220,0.6125±0.0260,0.5922±0.0234,0.5537±0.0213,0.7755±0.0260,0.7688±0.0304,0.7684±0.0287,0.7566±0.0236,0.1910±0.0454,0.1564±0.0329,0.1196±0.0308,0.0760±0.0250
PreOrder__Subset__2,0.6526±0.0532,0.6337±0.0439,0.5759±0.0575,0.4292±0.0700,0.6836±0.0432,0.6728±0.0279,0.6528±0.0344,0.5984±0.0241,0.6090±0.0350,0.5821±0.0394,0.5532±0.0316,0.5399±0.0328,0.6193±0.0353,0.5973±0.0293,0.5699±0.0259,0.5383±0.0218,0.7051±0.0246,0.6932±0.0228,0.6757±0.0176,0.6381±0.0173,0.5063±0.0374,0.4838±0.0311,0.4539±0.0269,0.4168±0.0214,0.4525±0.0328,0.4405±0.0252,0.4313±0.0257,0.4353±0.0250,0.5189±0.0325,0.5059±0.0202,0.4878±0.0264,0.4648±0.0236,0.4430±0.0223,0.4243±0.0237,0.4111±0.0261,0.4207±0.0279,1.0000±0.0000,0.9963±0.0065,0.9703±0.0473,0.8947±0.0848,0.6378±0.0334,0.6195±0.0288,0.5962±0.0233,0.5631±0.0197,0.6755±0.0420,0.6633±0.0270,0.6418±0.0297,0.5858±0.0245,0.6049±0.0327,0.5819±0.0358,0.5577±0.0299,0.5431±0.0277,0.1550±0.0319,0.1380±0.0325,0.1092±0.0325,0.0692±0.0216
PreOrder__Subset__None,0.5552±0.0262,0.5571±0.0469,0.5352±0.0495,0.4697±0.0520,0.6481±0.0254,0.6215±0.0241,0.6004±0.0260,0.5606±0.0214,0.7666±0.0254,0.7562±0.0315,0.7605±0.0322,0.7449±0.0240,0.6762±0.0197,0.6554±0.0233,0.6435±0.0208,0.6115±0.0148,0.7132±0.0124,0.6901±0.0167,0.6730±0.0158,0.6316±0.0143,0.5684±0.0239,0.5412±0.0250,0.5239±0.0223,0.4845±0.0170,0.5439±0.0110,0.5298±0.0193,0.5277±0.0182,0.5170±0.0176,0.5044±0.0136,0.4858±0.0306,0.4722±0.0205,0.4549±0.0203,0.6038±0.0181,0.5988±0.0255,0.6090±0.0281,0.6131±0.0321,0.9958±0.0052,0.9933±0.0089,0.9674±0.0252,0.8567±0.0783,0.6991±0.0180,0.6803±0.0231,0.6691±0.0193,0.6374±0.0139,0.6366±0.0238,0.6109±0.0260,0.5923±0.0240,0.5528±0.0203,0.7761±0.0251,0.7685±0.0313,0.7700±0.0294,0.7538±0.0232,0.1928±0.0465,0.1546±0.0331,0.1214±0.0311,0.0753±0.0250
br,0.6260±0.0387,0.5948±0.0417,0.5469±0.0497,0.4326±0.0613,0.6776±0.0226,0.6676±0.0280,0.6387±0.0330,0.5971±0.0305,0.6462±0.0313,0.6315±0.0392,0.6134±0.0415,0.5733±0.0445,0.6321±0.0170,0.6156±0.0240,0.5884±0.0262,0.5468±0.0273,0.7117±0.0147,0.7008±0.0160,0.6789±0.0156,0.6464±0.0157,0.5222±0.0148,0.5030±0.0252,0.4712±0.0257,0.4290±0.0249,0.4766±0.0172,0.4686±0.0199,0.4591±0.0265,0.4486±0.0252,0.5177±0.0135,0.5020±0.0210,0.4763±0.0285,0.4628±0.0333,0.4794±0.0258,0.4708±0.0293,0.4642±0.0349,0.4532±0.0487,1.0000±0.0000,1.0000±0.0000,0.9915±0.0136,0.8953±0.1514,0.6616±0.0174,0.6474±0.0232,0.6245±0.0236,0.5832±0.0250,0.6680±0.0203,0.6568±0.0312,0.6284±0.0299,0.5918±0.0313,0.6566±0.0314,0.6403±0.0379,0.6226±0.0386,0.5772±0.0399,0.1640±0.0175,0.1434±0.0280,0.1016±0.0282,0.0807±0.0270
cc,0.5378±0.0242,0.5410±0.0518,0.5223±0.0487,0.4565±0.0585,0.6622±0.0320,0.6473±0.0302,0.6326±0.0302,0.5970±0.0350,0.6929±0.0139,0.6534±0.0351,0.6215±0.0409,0.5819±0.0491,0.6508±0.0163,0.6196±0.0243,0.5940±0.0285,0.5524±0.0325,0.7147±0.0140,0.6917±0.0172,0.6791±0.0196,0.6465±0.0208,0.5461±0.0183,0.5105±0.0274,0.4818±0.0279,0.4352±0.0328,0.5179±0.0085,0.4846±0.0216,0.4735±0.0240,0.4520±0.0276,0.5135±0.0202,0.4908±0.0228,0.4899±0.0361,0.4644±0.0271,0.5374±0.0127,0.4974±0.0281,0.4774±0.0316,0.4560±0.0438,1.0000±0.0000,0.9996±0.0018,0.9839±0.0385,0.9449±0.0351,0.6794±0.0154,0.6469±0.0234,0.6273±0.0277,0.5882±0.0308,0.6581±0.0322,0.6374±0.0294,0.6263±0.0267,0.5900±0.0359,0.7036±0.0161,0.6584±0.0358,0.6299±0.0416,0.5894±0.0487,0.1946±0.0271,0.1578±0.0348,0.1265±0.0254,0.0836±0.0314
