Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,afrd_pa__0.0,afrd_pa__0.1,afrd_pa__0.2,afrd_pa__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,example_precision_pa__0.0,example_precision_pa__0.1,example_precision_pa__0.2,example_precision_pa__0.3,example_recall_pa__0.0,example_recall_pa__0.1,example_recall_pa__0.2,example_recall_pa__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,jaccard_pa__0.0,jaccard_pa__0.1,jaccard_pa__0.2,jaccard_pa__0.3,macro_f1_pa__0.0,macro_f1_pa__0.1,macro_f1_pa__0.2,macro_f1_pa__0.3,macro_precision_pa__0.0,macro_precision_pa__0.1,macro_precision_pa__0.2,macro_precision_pa__0.3,macro_recall_pa__0.0,macro_recall_pa__0.1,macro_recall_pa__0.2,macro_recall_pa__0.3,mfrd_pa__0.0,mfrd_pa__0.1,mfrd_pa__0.2,mfrd_pa__0.3,micro_f1_pa__0.0,micro_f1_pa__0.1,micro_f1_pa__0.2,micro_f1_pa__0.3,micro_precision_pa__0.0,micro_precision_pa__0.1,micro_precision_pa__0.2,micro_precision_pa__0.3,micro_recall_pa__0.0,micro_recall_pa__0.1,micro_recall_pa__0.2,micro_recall_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.8429±0.0104,0.8638±0.0132,0.8852±0.0105,0.8811±0.0144,0.9565±0.0076,0.9859±0.0070,0.9981±0.0017,0.9986±0.0013,0.5148±0.0559,0.5105±0.0737,0.4383±0.1031,0.4310±0.0662,0.9823±0.0009,0.9810±0.0018,0.9766±0.0027,0.9620±0.0050,0.5645±0.0294,0.5360±0.0269,0.4783±0.0273,0.3578±0.0234,0.5551±0.0242,0.5503±0.0245,0.5310±0.0318,0.4549±0.0256,0.5560±0.0266,0.5370±0.0255,0.4927±0.0275,0.3842±0.0229,0.8868±0.0094,0.8597±0.0122,0.7965±0.0142,0.6802±0.0153,0.5482±0.0265,0.5253±0.0254,0.4729±0.0261,0.3552±0.0235,0.1959±0.0161,0.2166±0.0191,0.2169±0.0232,0.1935±0.0205,0.2078±0.0357,0.2015±0.0305,0.1753±0.0235,0.1355±0.0151,0.2092±0.0077,0.2563±0.0209,0.3076±0.0320,0.3836±0.0545,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9329±0.0346,0.6329±0.0230,0.6299±0.0215,0.5932±0.0263,0.4593±0.0257,0.5640±0.0306,0.5235±0.0256,0.4544±0.0257,0.3149±0.0220,0.7219±0.0147,0.7921±0.0241,0.8556±0.0327,0.8506±0.0262,0.8242±0.0087,0.7960±0.0184,0.7469±0.0237,0.6551±0.0370,0.5252±0.0266,0.4911±0.0267,0.4177±0.0256,0.2807±0.0287
PartialOrder__Hamming__None,0.8429±0.0104,0.8637±0.0132,0.8851±0.0105,0.8810±0.0144,0.9565±0.0076,0.9859±0.0070,0.9981±0.0017,0.9986±0.0013,0.5148±0.0557,0.5085±0.0741,0.4394±0.1030,0.4320±0.0660,0.9823±0.0009,0.9809±0.0018,0.9765±0.0027,0.9617±0.0050,0.5645±0.0294,0.5359±0.0273,0.4775±0.0262,0.3570±0.0236,0.5560±0.0241,0.5510±0.0249,0.5318±0.0317,0.4559±0.0251,0.5564±0.0265,0.5372±0.0259,0.4923±0.0267,0.3837±0.0229,0.8868±0.0093,0.8596±0.0122,0.7954±0.0140,0.6779±0.0155,0.5483±0.0265,0.5253±0.0258,0.4722±0.0251,0.3544±0.0236,0.1958±0.0159,0.2187±0.0213,0.2163±0.0227,0.1931±0.0200,0.2076±0.0357,0.2043±0.0339,0.1743±0.0230,0.1349±0.0148,0.2093±0.0076,0.2583±0.0211,0.3081±0.0315,0.3852±0.0535,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9320±0.0333,0.6333±0.0228,0.6300±0.0216,0.5922±0.0258,0.4581±0.0256,0.5639±0.0307,0.5231±0.0257,0.4528±0.0251,0.3135±0.0219,0.7230±0.0134,0.7931±0.0236,0.8573±0.0328,0.8526±0.0254,0.8239±0.0090,0.7957±0.0184,0.7463±0.0233,0.6545±0.0369,0.5243±0.0268,0.4904±0.0268,0.4161±0.0246,0.2795±0.0285
PartialOrder__Subset__2,0.8429±0.0104,0.8638±0.0132,0.8852±0.0105,0.8811±0.0144,0.9565±0.0076,0.9859±0.0070,0.9981±0.0017,0.9986±0.0013,0.5148±0.0559,0.5113±0.0744,0.4387±0.1026,0.4307±0.0656,0.9823±0.0009,0.9809±0.0018,0.9766±0.0028,0.9619±0.0050,0.5645±0.0294,0.5358±0.0273,0.4781±0.0274,0.3580±0.0235,0.5551±0.0242,0.5497±0.0247,0.5302±0.0319,0.4547±0.0262,0.5560±0.0266,0.5367±0.0258,0.4923±0.0277,0.3843±0.0231,0.8868±0.0094,0.8595±0.0124,0.7963±0.0144,0.6801±0.0154,0.5482±0.0265,0.5251±0.0258,0.4727±0.0262,0.3553±0.0236,0.1959±0.0161,0.2163±0.0193,0.2165±0.0230,0.1933±0.0205,0.2078±0.0357,0.2014±0.0305,0.1752±0.0235,0.1353±0.0151,0.2092±0.0077,0.2556±0.0213,0.3065±0.0313,0.3853±0.0584,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9325±0.0352,0.6329±0.0230,0.6295±0.0219,0.5926±0.0265,0.4591±0.0259,0.5640±0.0306,0.5232±0.0260,0.4542±0.0260,0.3149±0.0220,0.7219±0.0147,0.7912±0.0246,0.8540±0.0321,0.8491±0.0275,0.8242±0.0087,0.7961±0.0187,0.7471±0.0236,0.6552±0.0370,0.5252±0.0266,0.4913±0.0272,0.4180±0.0256,0.2810±0.0286
PartialOrder__Subset__None,0.8429±0.0104,0.8637±0.0132,0.8852±0.0105,0.8810±0.0144,0.9565±0.0076,0.9859±0.0070,0.9981±0.0017,0.9986±0.0013,0.5148±0.0557,0.5092±0.0746,0.4396±0.1032,0.4319±0.0652,0.9823±0.0009,0.9809±0.0018,0.9765±0.0028,0.9616±0.0050,0.5645±0.0294,0.5356±0.0276,0.4774±0.0264,0.3572±0.0236,0.5560±0.0241,0.5505±0.0250,0.5313±0.0317,0.4561±0.0256,0.5564±0.0265,0.5368±0.0261,0.4921±0.0269,0.3839±0.0231,0.8868±0.0093,0.8594±0.0123,0.7951±0.0143,0.6777±0.0154,0.5483±0.0265,0.5250±0.0260,0.4721±0.0253,0.3545±0.0238,0.1958±0.0159,0.2184±0.0215,0.2163±0.0231,0.1929±0.0199,0.2076±0.0357,0.2041±0.0339,0.1747±0.0236,0.1346±0.0147,0.2093±0.0076,0.2577±0.0214,0.3075±0.0320,0.3872±0.0572,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9315±0.0337,0.6333±0.0228,0.6296±0.0220,0.5917±0.0262,0.4580±0.0256,0.5639±0.0307,0.5227±0.0260,0.4525±0.0255,0.3135±0.0218,0.7230±0.0134,0.7925±0.0239,0.8561±0.0325,0.8516±0.0264,0.8239±0.0090,0.7957±0.0186,0.7464±0.0233,0.6545±0.0370,0.5243±0.0268,0.4903±0.0271,0.4164±0.0248,0.2795±0.0287
PreOrder__Hamming__2,0.8279±0.0097,0.7903±0.0164,0.7085±0.0206,0.4792±0.0286,0.9533±0.0037,0.9657±0.0105,0.9825±0.0085,0.9836±0.0097,0.5644±0.0686,0.5584±0.0835,0.6052±0.0626,0.5758±0.0624,0.9782±0.0011,0.9687±0.0021,0.9451±0.0049,0.8594±0.0079,0.5508±0.0270,0.5077±0.0178,0.4423±0.0191,0.3044±0.0135,0.5360±0.0287,0.5185±0.0181,0.5217±0.0256,0.5629±0.0222,0.5382±0.0270,0.5040±0.0172,0.4620±0.0203,0.3710±0.0145,0.8731±0.0088,0.8505±0.0093,0.8119±0.0098,0.7297±0.0115,0.5278±0.0259,0.4858±0.0171,0.4264±0.0192,0.2950±0.0137,0.1968±0.0253,0.2056±0.0202,0.2123±0.0186,0.1793±0.0130,0.2339±0.0534,0.2082±0.0369,0.1902±0.0263,0.1251±0.0094,0.2027±0.0168,0.2300±0.0211,0.2733±0.0177,0.3400±0.0359,1.0000±0.0000,1.0000±0.0000,0.9992±0.0021,0.9433±0.0235,0.6038±0.0228,0.5789±0.0157,0.5292±0.0174,0.3864±0.0154,0.5479±0.0233,0.4956±0.0167,0.4167±0.0168,0.2640±0.0124,0.6726±0.0220,0.6965±0.0229,0.7256±0.0235,0.7211±0.0237,0.7930±0.0123,0.6902±0.0200,0.4872±0.0339,0.1263±0.0212,0.4965±0.0245,0.4318±0.0204,0.3258±0.0203,0.1087±0.0168
PreOrder__Hamming__None,0.8256±0.0103,0.7862±0.0163,0.6995±0.0212,0.4636±0.0276,0.9527±0.0028,0.9647±0.0104,0.9808±0.0089,0.9818±0.0097,0.5741±0.0840,0.5592±0.0825,0.6031±0.0595,0.5619±0.0614,0.9782±0.0011,0.9677±0.0021,0.9424±0.0051,0.8466±0.0087,0.5531±0.0250,0.5030±0.0170,0.4373±0.0176,0.2902±0.0133,0.5401±0.0251,0.5226±0.0185,0.5365±0.0246,0.5910±0.0212,0.5412±0.0244,0.5024±0.0168,0.4637±0.0184,0.3660±0.0141,0.8745±0.0072,0.8484±0.0084,0.8083±0.0095,0.7138±0.0118,0.5302±0.0240,0.4817±0.0166,0.4231±0.0173,0.2834±0.0131,0.2005±0.0211,0.2070±0.0202,0.2140±0.0173,0.1792±0.0106,0.2325±0.0500,0.2114±0.0405,0.1859±0.0238,0.1224±0.0080,0.2070±0.0138,0.2334±0.0204,0.2827±0.0179,0.3635±0.0353,1.0000±0.0000,1.0000±0.0000,0.9993±0.0020,0.9306±0.0284,0.6071±0.0193,0.5762±0.0149,0.5285±0.0157,0.3793±0.0148,0.5492±0.0210,0.4891±0.0160,0.4104±0.0151,0.2541±0.0122,0.6788±0.0167,0.7018±0.0223,0.7428±0.0229,0.7481±0.0176,0.7914±0.0140,0.6795±0.0198,0.4661±0.0364,0.1021±0.0174,0.4975±0.0244,0.4207±0.0205,0.3090±0.0203,0.0869±0.0140
PreOrder__Subset__2,0.8287±0.0100,0.7922±0.0162,0.7099±0.0206,0.4806±0.0284,0.9543±0.0040,0.9658±0.0106,0.9822±0.0090,0.9836±0.0093,0.5657±0.0681,0.5569±0.0791,0.6039±0.0641,0.5748±0.0633,0.9783±0.0011,0.9691±0.0021,0.9454±0.0049,0.8599±0.0076,0.5511±0.0274,0.5086±0.0182,0.4423±0.0191,0.3052±0.0137,0.5358±0.0292,0.5177±0.0183,0.5189±0.0249,0.5590±0.0218,0.5382±0.0274,0.5044±0.0173,0.4611±0.0200,0.3707±0.0144,0.8729±0.0088,0.8509±0.0094,0.8118±0.0098,0.7300±0.0117,0.5275±0.0263,0.4865±0.0168,0.4261±0.0190,0.2955±0.0136,0.1950±0.0255,0.2057±0.0215,0.2123±0.0187,0.1794±0.0131,0.2321±0.0528,0.2093±0.0379,0.1907±0.0264,0.1255±0.0095,0.2009±0.0174,0.2289±0.0210,0.2723±0.0176,0.3381±0.0357,1.0000±0.0000,1.0000±0.0000,0.9995±0.0017,0.9412±0.0248,0.6025±0.0239,0.5792±0.0164,0.5285±0.0172,0.3858±0.0154,0.5478±0.0236,0.4969±0.0177,0.4173±0.0166,0.2641±0.0127,0.6694±0.0242,0.6947±0.0233,0.7211±0.0231,0.7164±0.0223,0.7943±0.0123,0.6936±0.0196,0.4890±0.0344,0.1288±0.0207,0.4957±0.0246,0.4336±0.0188,0.3270±0.0202,0.1110±0.0165
PreOrder__Subset__None,0.8255±0.0099,0.7862±0.0169,0.6997±0.0216,0.4649±0.0279,0.9530±0.0031,0.9653±0.0104,0.9812±0.0089,0.9819±0.0101,0.5619±0.0837,0.5590±0.0823,0.6109±0.0648,0.5607±0.0593,0.9779±0.0011,0.9677±0.0022,0.9423±0.0051,0.8469±0.0089,0.5506±0.0251,0.5031±0.0184,0.4363±0.0179,0.2905±0.0136,0.5376±0.0254,0.5228±0.0193,0.5349±0.0255,0.5902±0.0210,0.5387±0.0247,0.5026±0.0179,0.4624±0.0188,0.3662±0.0140,0.8733±0.0074,0.8485±0.0080,0.8079±0.0094,0.7138±0.0121,0.5278±0.0244,0.4820±0.0182,0.4217±0.0176,0.2837±0.0133,0.1990±0.0218,0.2078±0.0212,0.2138±0.0174,0.1797±0.0115,0.2319±0.0502,0.2121±0.0419,0.1860±0.0239,0.1229±0.0086,0.2053±0.0139,0.2342±0.0210,0.2818±0.0159,0.3634±0.0355,1.0000±0.0000,1.0000±0.0000,0.9990±0.0023,0.9297±0.0290,0.6045±0.0203,0.5767±0.0160,0.5277±0.0160,0.3796±0.0151,0.5468±0.0210,0.4892±0.0172,0.4100±0.0157,0.2545±0.0124,0.6760±0.0197,0.7029±0.0226,0.7410±0.0215,0.7473±0.0188,0.7898±0.0138,0.6794±0.0209,0.4647±0.0366,0.1028±0.0176,0.4951±0.0251,0.4213±0.0231,0.3074±0.0214,0.0875±0.0145
