Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.8304±0.0025,0.8745±0.0058,0.9071±0.0053,0.9062±0.0024,0.9704±0.0015,0.9896±0.0017,0.9963±0.0008,0.9977±0.0011,0.9691±0.0008,0.9750±0.0008,0.9764±0.0012,0.9669±0.0013,0.4684±0.0103,0.4784±0.0086,0.4352±0.0131,0.3225±0.0121,0.8181±0.0022,0.8011±0.0046,0.7453±0.0076,0.6473±0.0071,0.7977±0.0049,0.8326±0.0054,0.8445±0.0073,0.8029±0.0068,0.3776±0.0118,0.3976±0.0108,0.3532±0.0144,0.2420±0.0149
PartialOrder__Hamming__None,0.8303±0.0024,0.8745±0.0058,0.9071±0.0053,0.9062±0.0024,0.9705±0.0014,0.9895±0.0018,0.9963±0.0008,0.9977±0.0010,0.9690±0.0008,0.9749±0.0008,0.9761±0.0013,0.9666±0.0014,0.4692±0.0104,0.4785±0.0087,0.4343±0.0133,0.3224±0.0122,0.8175±0.0023,0.8000±0.0051,0.7429±0.0082,0.6441±0.0084,0.7975±0.0051,0.8322±0.0055,0.8438±0.0075,0.8027±0.0068,0.3770±0.0117,0.3961±0.0116,0.3504±0.0159,0.2411±0.0147
PartialOrder__Subset__2,0.8304±0.0025,0.8745±0.0058,0.9071±0.0053,0.9062±0.0023,0.9704±0.0015,0.9896±0.0017,0.9964±0.0008,0.9977±0.0011,0.9692±0.0008,0.9751±0.0008,0.9764±0.0012,0.9669±0.0013,0.4685±0.0106,0.4784±0.0086,0.4354±0.0130,0.3223±0.0120,0.8182±0.0023,0.8012±0.0047,0.7455±0.0075,0.6473±0.0071,0.7977±0.0050,0.8326±0.0053,0.8447±0.0074,0.8029±0.0069,0.3776±0.0121,0.3975±0.0108,0.3540±0.0144,0.2419±0.0148
PartialOrder__Subset__None,0.8304±0.0025,0.8745±0.0058,0.9071±0.0053,0.9062±0.0023,0.9705±0.0015,0.9896±0.0018,0.9964±0.0008,0.9977±0.0011,0.9691±0.0008,0.9749±0.0008,0.9761±0.0013,0.9666±0.0014,0.4695±0.0106,0.4784±0.0088,0.4342±0.0133,0.3223±0.0120,0.8176±0.0023,0.8000±0.0051,0.7429±0.0082,0.6440±0.0081,0.7976±0.0052,0.8321±0.0055,0.8438±0.0075,0.8026±0.0068,0.3773±0.0119,0.3959±0.0115,0.3504±0.0159,0.2408±0.0144
PreOrder__Hamming__2,0.7991±0.0045,0.8041±0.0092,0.7801±0.0088,0.6492±0.0053,0.9456±0.0043,0.9594±0.0050,0.9734±0.0042,0.9599±0.0036,0.9615±0.0013,0.9606±0.0020,0.9460±0.0016,0.8885±0.0017,0.4449±0.0116,0.4420±0.0120,0.3929±0.0081,0.3035±0.0029,0.8083±0.0031,0.7990±0.0051,0.7542±0.0064,0.6821±0.0027,0.7595±0.0065,0.7512±0.0107,0.6748±0.0070,0.4354±0.0073,0.3327±0.0105,0.3328±0.0125,0.2794±0.0076,0.1657±0.0031
PreOrder__Hamming__None,0.7973±0.0046,0.8035±0.0093,0.7799±0.0089,0.6482±0.0052,0.9446±0.0043,0.9596±0.0050,0.9734±0.0039,0.9610±0.0033,0.9607±0.0016,0.9598±0.0022,0.9445±0.0019,0.8828±0.0017,0.4457±0.0135,0.4429±0.0124,0.3935±0.0073,0.3033±0.0036,0.8060±0.0046,0.7954±0.0053,0.7478±0.0068,0.6669±0.0032,0.7565±0.0070,0.7485±0.0115,0.6719±0.0076,0.4275±0.0082,0.3274±0.0124,0.3272±0.0128,0.2739±0.0075,0.1548±0.0026
PreOrder__Subset__2,0.8008±0.0044,0.8047±0.0093,0.7806±0.0089,0.6500±0.0053,0.9466±0.0041,0.9597±0.0049,0.9737±0.0042,0.9600±0.0035,0.9619±0.0012,0.9609±0.0020,0.9461±0.0016,0.8891±0.0016,0.4451±0.0113,0.4420±0.0122,0.3919±0.0082,0.3027±0.0031,0.8089±0.0028,0.7998±0.0053,0.7542±0.0062,0.6831±0.0024,0.7614±0.0062,0.7525±0.0111,0.6753±0.0072,0.4362±0.0072,0.3346±0.0103,0.3350±0.0128,0.2799±0.0074,0.1664±0.0034
PreOrder__Subset__None,0.7986±0.0044,0.8040±0.0092,0.7802±0.0088,0.6490±0.0052,0.9453±0.0040,0.9601±0.0050,0.9736±0.0039,0.9615±0.0031,0.9609±0.0015,0.9599±0.0022,0.9445±0.0019,0.8830±0.0018,0.4461±0.0129,0.4433±0.0125,0.3932±0.0076,0.3028±0.0037,0.8057±0.0043,0.7955±0.0053,0.7474±0.0065,0.6667±0.0033,0.7577±0.0066,0.7492±0.0115,0.6721±0.0079,0.4278±0.0082,0.3280±0.0118,0.3282±0.0129,0.2740±0.0079,0.1549±0.0027
