Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.7842±0.0048,0.8495±0.0089,0.8990±0.0096,0.9052±0.0036,0.1395±0.0020,0.1243±0.0024,0.1142±0.0012,0.1098±0.0018,0.5172±0.0032,0.5268±0.0032,0.5328±0.0040,0.5307±0.0046,0.1993±0.0020,0.1885±0.0025,0.1801±0.0017,0.1755±0.0025,0.2145±0.0021,0.1816±0.0037,0.1557±0.0028,0.1495±0.0027,0.1327±0.0014,0.1213±0.0022,0.1130±0.0011,0.1090±0.0018,0.1880±0.0017,0.1866±0.0018,0.1854±0.0018,0.1846±0.0025,0.1090±0.0014,0.1078±0.0014,0.1068±0.0014,0.1064±0.0018,0.9117±0.0039,0.9381±0.0061,0.9578±0.0058,0.9578±0.0033,0.8831±0.0055,0.9270±0.0074,0.9500±0.0055,0.9421±0.0028,0.1998±0.0022,0.1971±0.0022,0.1945±0.0022,0.1930±0.0030,0.1119±0.0014,0.1099±0.0014,0.1081±0.0013,0.1072±0.0018,0.9330±0.0028,0.9558±0.0033,0.9699±0.0020,0.9678±0.0025,0.0129±0.0003,0.0050±0.0013,0.0011±0.0003,0.0001±0.0001
PartialOrder__Hamming__None,0.7865±0.0046,0.8506±0.0090,0.8998±0.0092,0.9062±0.0034,0.1393±0.0019,0.1242±0.0024,0.1141±0.0013,0.1097±0.0018,0.5181±0.0033,0.5272±0.0031,0.5329±0.0040,0.5311±0.0045,0.1995±0.0020,0.1886±0.0025,0.1800±0.0018,0.1756±0.0025,0.2144±0.0021,0.1815±0.0037,0.1555±0.0028,0.1492±0.0027,0.1329±0.0013,0.1213±0.0021,0.1129±0.0011,0.1090±0.0018,0.1883±0.0017,0.1867±0.0018,0.1854±0.0019,0.1846±0.0025,0.1092±0.0014,0.1078±0.0014,0.1069±0.0014,0.1064±0.0018,0.9136±0.0036,0.9390±0.0062,0.9583±0.0054,0.9583±0.0032,0.8848±0.0054,0.9284±0.0079,0.9504±0.0055,0.9435±0.0030,0.2001±0.0022,0.1972±0.0021,0.1945±0.0022,0.1931±0.0030,0.1120±0.0014,0.1100±0.0013,0.1081±0.0013,0.1072±0.0018,0.9348±0.0028,0.9568±0.0034,0.9703±0.0017,0.9686±0.0024,0.0127±0.0006,0.0049±0.0012,0.0010±0.0002,0.0001±0.0001
PartialOrder__Subset__2,0.7845±0.0048,0.8494±0.0089,0.8990±0.0096,0.9052±0.0036,0.1395±0.0020,0.1243±0.0025,0.1143±0.0012,0.1098±0.0018,0.5173±0.0033,0.5268±0.0032,0.5328±0.0040,0.5307±0.0047,0.1993±0.0021,0.1885±0.0025,0.1801±0.0017,0.1756±0.0025,0.2145±0.0021,0.1816±0.0037,0.1557±0.0028,0.1495±0.0027,0.1327±0.0014,0.1213±0.0022,0.1130±0.0010,0.1090±0.0018,0.1880±0.0018,0.1866±0.0018,0.1854±0.0018,0.1845±0.0025,0.1090±0.0014,0.1078±0.0014,0.1069±0.0014,0.1064±0.0018,0.9119±0.0036,0.9380±0.0061,0.9578±0.0058,0.9578±0.0033,0.8829±0.0054,0.9271±0.0074,0.9499±0.0055,0.9422±0.0027,0.1998±0.0022,0.1971±0.0022,0.1945±0.0022,0.1930±0.0030,0.1119±0.0014,0.1099±0.0014,0.1081±0.0013,0.1072±0.0018,0.9330±0.0027,0.9557±0.0033,0.9699±0.0020,0.9678±0.0026,0.0128±0.0003,0.0050±0.0013,0.0011±0.0002,0.0001±0.0001
PartialOrder__Subset__None,0.7868±0.0046,0.8506±0.0090,0.8998±0.0092,0.9061±0.0034,0.1393±0.0019,0.1242±0.0024,0.1141±0.0013,0.1097±0.0018,0.5181±0.0032,0.5272±0.0031,0.5329±0.0040,0.5310±0.0045,0.1995±0.0020,0.1886±0.0025,0.1800±0.0018,0.1756±0.0025,0.2144±0.0021,0.1815±0.0037,0.1555±0.0028,0.1492±0.0027,0.1328±0.0013,0.1213±0.0021,0.1129±0.0011,0.1090±0.0018,0.1883±0.0017,0.1867±0.0018,0.1854±0.0019,0.1846±0.0025,0.1092±0.0014,0.1078±0.0014,0.1069±0.0014,0.1064±0.0018,0.9139±0.0034,0.9390±0.0062,0.9583±0.0054,0.9583±0.0031,0.8848±0.0054,0.9285±0.0080,0.9503±0.0054,0.9436±0.0028,0.2001±0.0022,0.1972±0.0021,0.1945±0.0022,0.1931±0.0030,0.1120±0.0014,0.1100±0.0013,0.1081±0.0013,0.1072±0.0018,0.9349±0.0029,0.9568±0.0034,0.9703±0.0017,0.9685±0.0024,0.0127±0.0006,0.0049±0.0012,0.0010±0.0002,0.0001±0.0001
PreOrder__Hamming__2,0.7207±0.0047,0.7317±0.0191,0.7142±0.0204,0.5815±0.0104,0.1469±0.0016,0.1387±0.0039,0.1309±0.0018,0.1318±0.0020,0.4984±0.0034,0.5012±0.0057,0.4941±0.0047,0.4659±0.0053,0.2000±0.0017,0.1955±0.0034,0.1901±0.0017,0.1909±0.0026,0.2317±0.0034,0.2259±0.0056,0.2311±0.0062,0.2898±0.0044,0.1347±0.0013,0.1295±0.0030,0.1238±0.0012,0.1250±0.0019,0.1852±0.0016,0.1850±0.0024,0.1841±0.0018,0.1854±0.0024,0.1080±0.0013,0.1077±0.0017,0.1073±0.0013,0.1092±0.0017,0.8730±0.0043,0.8763±0.0119,0.8660±0.0123,0.8042±0.0084,0.8079±0.0114,0.8322±0.0128,0.8223±0.0109,0.7272±0.0118,0.1960±0.0021,0.1962±0.0026,0.1953±0.0019,0.1986±0.0031,0.1101±0.0013,0.1101±0.0016,0.1097±0.0012,0.1127±0.0019,0.8912±0.0038,0.8988±0.0081,0.8877±0.0053,0.8375±0.0085,0.0179±0.0007,0.0120±0.0028,0.0065±0.0009,0.0049±0.0003
PreOrder__Hamming__None,0.7223±0.0054,0.7357±0.0188,0.7230±0.0203,0.6011±0.0093,0.1467±0.0021,0.1379±0.0038,0.1297±0.0020,0.1298±0.0023,0.4996±0.0038,0.5030±0.0059,0.4972±0.0044,0.4723±0.0054,0.2006±0.0023,0.1957±0.0033,0.1904±0.0016,0.1909±0.0028,0.2323±0.0033,0.2254±0.0054,0.2298±0.0060,0.2849±0.0044,0.1352±0.0018,0.1294±0.0028,0.1238±0.0012,0.1244±0.0022,0.1856±0.0018,0.1855±0.0025,0.1849±0.0017,0.1867±0.0024,0.1083±0.0014,0.1080±0.0018,0.1077±0.0013,0.1098±0.0018,0.8748±0.0048,0.8793±0.0120,0.8724±0.0123,0.8165±0.0083,0.8116±0.0111,0.8385±0.0138,0.8336±0.0092,0.7538±0.0087,0.1967±0.0023,0.1968±0.0028,0.1962±0.0019,0.2001±0.0031,0.1105±0.0015,0.1104±0.0017,0.1102±0.0011,0.1134±0.0020,0.8941±0.0038,0.9027±0.0081,0.8946±0.0054,0.8512±0.0080,0.0175±0.0007,0.0109±0.0018,0.0058±0.0007,0.0034±0.0007
PreOrder__Subset__2,0.7221±0.0046,0.7308±0.0189,0.7130±0.0208,0.5793±0.0107,0.1467±0.0013,0.1388±0.0038,0.1306±0.0019,0.1316±0.0021,0.4984±0.0033,0.5006±0.0059,0.4931±0.0049,0.4646±0.0052,0.1996±0.0016,0.1952±0.0034,0.1896±0.0018,0.1904±0.0026,0.2307±0.0034,0.2256±0.0056,0.2308±0.0062,0.2897±0.0044,0.1345±0.0012,0.1293±0.0031,0.1233±0.0013,0.1247±0.0020,0.1851±0.0017,0.1848±0.0025,0.1838±0.0019,0.1851±0.0024,0.1079±0.0013,0.1076±0.0018,0.1072±0.0014,0.1091±0.0017,0.8734±0.0046,0.8754±0.0117,0.8647±0.0126,0.8023±0.0085,0.8089±0.0113,0.8297±0.0132,0.8196±0.0118,0.7243±0.0116,0.1958±0.0021,0.1959±0.0027,0.1949±0.0020,0.1982±0.0030,0.1100±0.0014,0.1099±0.0016,0.1095±0.0012,0.1124±0.0019,0.8912±0.0040,0.8975±0.0081,0.8860±0.0056,0.8353±0.0085,0.0181±0.0009,0.0123±0.0027,0.0064±0.0010,0.0050±0.0003
PreOrder__Subset__None,0.7241±0.0051,0.7361±0.0186,0.7231±0.0207,0.6014±0.0091,0.1464±0.0020,0.1377±0.0038,0.1296±0.0019,0.1296±0.0023,0.5000±0.0036,0.5030±0.0060,0.4970±0.0045,0.4722±0.0053,0.2003±0.0022,0.1955±0.0033,0.1903±0.0016,0.1907±0.0028,0.2313±0.0032,0.2251±0.0054,0.2294±0.0060,0.2844±0.0045,0.1349±0.0017,0.1292±0.0028,0.1236±0.0012,0.1242±0.0022,0.1856±0.0018,0.1854±0.0025,0.1848±0.0018,0.1866±0.0024,0.1082±0.0014,0.1079±0.0018,0.1077±0.0013,0.1097±0.0018,0.8755±0.0051,0.8793±0.0118,0.8722±0.0127,0.8164±0.0080,0.8138±0.0109,0.8387±0.0144,0.8332±0.0093,0.7535±0.0084,0.1966±0.0022,0.1967±0.0028,0.1961±0.0019,0.2000±0.0031,0.1104±0.0014,0.1104±0.0017,0.1101±0.0012,0.1133±0.0020,0.8951±0.0038,0.9028±0.0080,0.8943±0.0058,0.8510±0.0077,0.0173±0.0006,0.0108±0.0018,0.0057±0.0007,0.0033±0.0007
br,0.3147±0.0075,0.1745±0.0103,0.1033±0.0061,0.0626±0.0035,0.4153±0.0065,0.3134±0.0083,0.2339±0.0047,0.1806±0.0028,0.4986±0.0060,0.4507±0.0098,0.3994±0.0053,0.3665±0.0047,0.4304±0.0061,0.3451±0.0090,0.2730±0.0047,0.2235±0.0031,0.8188±0.0018,0.7527±0.0032,0.6966±0.0034,0.6357±0.0042,0.3810±0.0059,0.2886±0.0087,0.2140±0.0044,0.1643±0.0027,0.3482±0.0058,0.3059±0.0063,0.2749±0.0030,0.2429±0.0028,0.2626±0.0051,0.2158±0.0048,0.1896±0.0026,0.1628±0.0027,0.5231±0.0079,0.5890±0.0117,0.6017±0.0089,0.6022±0.0029,0.8702±0.0348,0.5157±0.0551,0.3514±0.0291,0.2135±0.0408,0.4102±0.0056,0.3490±0.0059,0.3054±0.0048,0.2655±0.0033,0.3117±0.0056,0.2413±0.0046,0.2011±0.0037,0.1685±0.0026,0.5995±0.0044,0.6307±0.0073,0.6347±0.0077,0.6265±0.0027,0.2461±0.0063,0.1464±0.0081,0.0743±0.0053,0.0339±0.0028
cc,0.3037±0.0069,0.1719±0.0120,0.1035±0.0112,0.0703±0.0088,0.4108±0.0075,0.3136±0.0040,0.2392±0.0046,0.1811±0.0048,0.5189±0.0072,0.4639±0.0036,0.4089±0.0059,0.3660±0.0047,0.4332±0.0073,0.3484±0.0035,0.2792±0.0049,0.2240±0.0043,0.8044±0.0023,0.7461±0.0024,0.6952±0.0035,0.6372±0.0037,0.3823±0.0071,0.2912±0.0036,0.2200±0.0046,0.1650±0.0040,0.3425±0.0077,0.3046±0.0022,0.2756±0.0044,0.2440±0.0025,0.2515±0.0060,0.2118±0.0022,0.1888±0.0037,0.1644±0.0020,0.5402±0.0111,0.5968±0.0098,0.6063±0.0119,0.6009±0.0073,0.8508±0.0493,0.5291±0.0473,0.3411±0.0293,0.2012±0.0525,0.4034±0.0071,0.3505±0.0040,0.3075±0.0046,0.2653±0.0047,0.2969±0.0059,0.2397±0.0035,0.2020±0.0035,0.1685±0.0035,0.6291±0.0082,0.6520±0.0052,0.6441±0.0057,0.6233±0.0086,0.2455±0.0074,0.1476±0.0049,0.0792±0.0044,0.0357±0.0035
