Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PartialOrder__Hamming__None,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PartialOrder__Subset__2,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PartialOrder__Subset__None,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PreOrder__Hamming__2,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PreOrder__Hamming__None,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PreOrder__Subset__2,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
PreOrder__Subset__None,0.7702±0.0075,0.7353±0.0104,0.7012±0.0031,0.6590±0.0041,0.8195±0.0045,0.7623±0.0047,0.7250±0.0033,0.6799±0.0033,0.3070±0.0089,0.2846±0.0050,0.2591±0.0042,0.2116±0.0025,0.3512±0.0081,0.3211±0.0063,0.2877±0.0050,0.2311±0.0059,0.6069±0.0131,0.8874±0.0151,1.0306±0.0303,1.1914±0.0226,0.8346±0.0021,0.8081±0.0022,0.7887±0.0034,0.7627±0.0025,0.6888±0.0049,0.7093±0.0048,0.7328±0.0036,0.7682±0.0032,0.0962±0.0015,0.1312±0.0012,0.1508±0.0036,0.1730±0.0016
br,0.7702±0.0075,0.7316±0.0071,0.7005±0.0058,0.6618±0.0026,0.8195±0.0045,0.7617±0.0057,0.7238±0.0056,0.6805±0.0056,0.3070±0.0089,0.2854±0.0071,0.2583±0.0048,0.2139±0.0024,0.3512±0.0081,0.3192±0.0084,0.2867±0.0061,0.2327±0.0045,0.6069±0.0131,0.8842±0.0226,1.0506±0.0333,1.2103±0.0417,0.8346±0.0021,0.8074±0.0033,0.7874±0.0035,0.7598±0.0049,0.6888±0.0049,0.7107±0.0039,0.7317±0.0043,0.7710±0.0034,0.0962±0.0015,0.1308±0.0028,0.1525±0.0041,0.1761±0.0047
cc,0.7683±0.0064,0.7316±0.0057,0.7013±0.0089,0.6620±0.0022,0.8185±0.0048,0.7676±0.0028,0.7295±0.0044,0.6799±0.0047,0.3007±0.0104,0.2834±0.0041,0.2578±0.0044,0.2108±0.0039,0.3493±0.0103,0.3260±0.0078,0.2887±0.0040,0.2307±0.0061,0.6003±0.0119,0.8488±0.0176,1.0166±0.0193,1.1986±0.0300,0.8354±0.0020,0.8114±0.0016,0.7901±0.0010,0.7633±0.0036,0.6884±0.0028,0.7073±0.0049,0.7303±0.0049,0.7655±0.0064,0.0957±0.0012,0.1267±0.0012,0.1488±0.0021,0.1743±0.0033
clr,0.7508±0.0057,0.7266±0.0054,0.7095±0.0061,0.6820±0.0020,0.8079±0.0037,0.7715±0.0030,0.7427±0.0045,0.7071±0.0033,0.2870±0.0067,0.2898±0.0047,0.2698±0.0073,0.2327±0.0054,0.3334±0.0067,0.3380±0.0059,0.3100±0.0081,0.2618±0.0028,0.5438±0.0143,0.7465±0.0284,0.8758±0.0224,1.0193±0.0292,0.8472±0.0026,0.8285±0.0026,0.8142±0.0023,0.7907±0.0040,0.6700±0.0051,0.6841±0.0044,0.6976±0.0048,0.7291±0.0076,0.0874±0.0017,0.1119±0.0025,0.1287±0.0027,0.1492±0.0027
