Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,34.27,43.62,52.78,59.06,74.83,81.9,91.8,93.0,85.82,87.41,87.56,86.52,51.47,56.08,50.83,41.07,78.41,77.41,73.31,66.52,41.57,50.51,48.56,45.92,36.34,41.47,37.19,25.63
PartialOrder__Hamming__None,34.11,43.54,52.74,58.98,74.83,81.9,91.8,92.76,85.66,87.24,87.44,86.4,51.66,55.74,50.92,41.07,78.22,77.16,73.07,66.32,40.1,49.55,48.32,45.92,34.76,40.35,36.92,25.63
PartialOrder__Subset__2,34.27,43.62,52.78,59.06,74.83,81.9,91.8,93.0,85.82,87.45,87.56,86.52,51.65,56.16,50.83,41.07,78.41,77.47,73.31,66.52,42.04,50.75,48.56,45.92,36.85,41.73,37.19,25.63
PartialOrder__Subset__None,34.11,43.54,52.74,59.06,74.83,81.9,91.8,93.0,85.66,87.24,87.44,86.36,51.66,55.74,50.92,40.94,78.22,77.16,73.07,66.2,40.1,49.55,48.32,45.92,34.76,40.35,36.92,25.63
PreOrder__Hamming__2,29.05,28.41,25.15,20.09,64.23,63.75,65.72,55.79,84.86,83.71,81.63,76.82,51.9,52.71,50.02,46.67,78.54,77.06,75.12,70.84,43.48,39.91,33.32,19.11,39.16,36.71,30.19,16.83
PreOrder__Hamming__None,28.0,28.05,24.88,19.52,63.26,63.26,65.25,55.53,84.06,83.26,80.06,74.72,51.76,53.84,49.83,47.16,77.77,76.56,73.21,68.46,36.23,36.03,26.56,13.3,31.83,32.81,23.27,11.29
PreOrder__Subset__2,29.05,28.74,25.28,20.37,64.23,63.98,66.93,56.74,84.78,83.59,81.55,76.98,51.78,51.48,49.55,46.02,78.42,76.77,75.0,70.87,43.96,40.15,33.32,20.57,39.29,36.98,30.41,18.28
PreOrder__Subset__None,28.01,28.41,24.76,19.57,64.72,63.26,64.76,55.78,84.22,83.38,80.1,74.68,52.74,53.63,50.0,47.03,78.01,76.62,73.34,68.38,36.23,36.28,26.32,13.06,32.23,32.9,23.26,10.8
