Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,14.17,18.04,29.2,43.9,67.22,65.67,61.1,54.68,76.75,72.88,65.67,55.85,30.96,34.31,51.59,65.72,29.51,24.11,13.49,4.89
PartialOrder__Hamming__None,14.28,18.9,30.57,45.41,67.01,65.44,61.14,54.92,76.42,72.56,65.41,55.75,32.5,36.09,52.94,66.94,28.83,23.27,13.4,4.97
PartialOrder__Subset__2,14.14,17.9,29.13,43.94,67.18,65.55,60.94,54.68,76.75,72.82,65.54,55.83,30.64,33.92,51.55,65.83,29.51,23.86,13.32,4.89
PartialOrder__Subset__None,14.47,18.9,30.65,45.49,66.93,65.4,61.13,54.9,76.36,72.54,65.41,55.72,32.5,36.09,52.94,67.06,28.66,23.27,13.32,4.97
PreOrder__Hamming__2,18.4,18.5,19.83,16.63,66.22,66.97,64.08,59.95,78.3,78.34,76.11,72.57,43.76,40.74,45.51,38.33,32.38,31.36,25.89,18.81
PreOrder__Hamming__None,15.94,15.79,17.86,19.69,67.29,67.42,65.28,59.43,77.71,77.36,74.32,68.07,35.68,32.14,37.44,35.54,31.03,28.41,21.24,11.46
PreOrder__Subset__2,18.32,18.68,20.47,17.72,65.53,65.48,62.83,59.19,78.19,77.75,75.74,72.49,43.11,43.17,46.21,39.31,32.04,29.18,24.45,18.72
PreOrder__Subset__None,16.09,15.64,17.4,20.02,67.25,67.46,65.43,59.25,77.65,77.39,74.38,67.9,34.89,32.35,37.13,36.06,31.03,28.75,21.49,10.79
br,33.1,31.03,30.59,28.63,61.94,61.7,58.53,52.74,81.98,81.21,79.1,74.96,69.78,62.94,64.14,53.58,33.05,29.0,25.98,18.05
cc,32.9,29.6,33.09,30.29,62.39,62.47,57.44,51.28,81.39,81.14,79.26,74.6,73.31,66.61,65.42,53.22,31.53,31.28,24.87,17.03
clr,68.98,66.03,65.46,71.41,31.54,33.44,33.08,28.73,76.06,76.35,75.94,74.51,93.95,93.18,93.47,93.53,13.33,13.92,12.99,10.96
