Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,89.07,90.35,89.8,86.18,98.16,99.64,99.85,99.59,98.38,98.38,97.53,94.96,52.92,50.78,44.0,29.17,85.31,82.98,75.7,63.62,87.63,85.94,79.19,63.24,52.7,48.84,37.85,18.18
PartialOrder__Hamming__None,89.07,90.35,89.79,86.18,98.16,99.64,99.85,99.59,98.39,98.36,97.52,94.94,53.22,50.65,44.06,29.22,85.38,82.83,75.63,63.45,87.63,85.84,79.09,63.19,52.7,48.47,37.58,18.08
PartialOrder__Subset__2,89.07,90.35,89.8,86.17,98.16,99.64,99.85,99.59,98.38,98.38,97.53,94.95,52.92,50.78,44.09,29.06,85.31,82.97,75.72,63.51,87.63,85.94,79.19,63.24,52.7,48.84,37.84,18.18
PartialOrder__Subset__None,89.07,90.35,89.79,86.17,98.16,99.64,99.85,99.59,98.39,98.36,97.53,94.93,53.22,50.65,44.27,29.13,85.38,82.82,75.74,63.36,87.63,85.84,79.14,63.19,52.7,48.47,37.72,18.08
PreOrder__Hamming__2,88.9,86.39,78.56,53.29,98.06,98.82,98.82,97.24,98.42,97.65,94.72,84.45,52.61,48.52,40.83,30.6,85.94,82.68,75.24,66.75,87.42,80.27,58.33,14.92,52.61,46.53,31.6,8.97
PreOrder__Hamming__None,88.49,85.97,77.59,51.55,97.95,98.82,98.82,97.08,98.31,97.53,94.41,83.08,51.8,48.2,40.96,29.97,85.56,82.35,74.95,65.11,86.5,79.35,56.44,12.47,51.27,45.29,30.18,7.44
PreOrder__Subset__2,88.74,86.35,78.47,53.38,98.06,98.82,98.82,97.44,98.38,97.63,94.74,84.43,52.12,48.37,41.16,30.24,85.8,82.57,75.48,66.65,87.02,80.22,58.58,14.87,52.12,46.27,32.2,8.98
PreOrder__Subset__None,88.46,86.05,77.6,51.74,97.85,98.77,98.82,97.24,98.3,97.55,94.42,83.14,51.52,48.19,40.86,30.1,85.47,82.44,75.02,65.12,86.4,79.45,56.28,12.78,51.0,45.55,30.18,7.61
