Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,84.29,87.06,88.75,87.7,95.65,98.68,99.73,99.86,98.23,98.19,97.74,96.14,55.6,54.47,48.34,38.88,88.68,85.96,79.8,68.56,82.42,80.5,74.98,64.6,52.52,49.93,40.52,27.66
PartialOrder__Hamming__None,84.29,87.06,88.75,87.7,95.65,98.68,99.73,99.86,98.23,98.19,97.73,96.12,55.64,54.52,48.34,38.84,88.68,85.97,79.75,68.41,82.39,80.49,74.92,64.58,52.43,49.89,40.39,27.63
PartialOrder__Subset__2,84.29,87.06,88.75,87.71,95.65,98.68,99.73,99.86,98.23,98.19,97.74,96.14,55.6,54.47,48.37,38.91,88.68,85.96,79.8,68.56,82.42,80.5,74.95,64.65,52.52,49.93,40.44,27.76
PartialOrder__Subset__None,84.29,87.06,88.74,87.71,95.65,98.68,99.73,99.86,98.23,98.19,97.73,96.12,55.64,54.55,48.36,38.86,88.68,85.97,79.74,68.41,82.39,80.49,74.89,64.62,52.43,49.89,40.31,27.7
PreOrder__Hamming__2,82.79,80.08,70.87,47.15,95.33,96.83,98.08,98.04,97.82,96.95,94.5,86.13,53.82,50.88,45.86,37.48,87.31,84.61,81.08,73.73,79.3,70.09,48.6,12.17,49.65,44.08,32.35,10.43
PreOrder__Hamming__None,82.56,79.64,69.97,45.42,95.27,96.67,98.0,98.02,97.82,96.86,94.17,84.68,54.12,50.91,45.29,36.51,87.45,84.52,80.52,71.91,79.14,69.22,45.72,9.03,49.75,43.31,29.73,7.53
PreOrder__Subset__2,82.87,80.24,71.0,47.29,95.43,96.81,98.12,98.12,97.83,96.98,94.51,86.17,53.82,50.97,45.76,37.39,87.29,84.63,81.02,73.74,79.43,70.46,48.66,12.38,49.57,44.34,32.38,10.61
PreOrder__Subset__None,82.55,79.7,69.97,45.67,95.3,96.68,98.04,98.2,97.79,96.86,94.16,84.73,53.87,50.87,45.41,36.5,87.33,84.45,80.52,71.88,78.98,69.16,45.72,9.16,49.51,43.43,29.9,7.7
