Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,59.35,59.95,55.17,48.22,66.58,65.14,63.49,59.49,70.51,68.63,65.2,58.32,99.81,98.37,97.31,84.23,20.0,17.03,10.63,5.05
PartialOrder__Hamming__None,59.62,60.75,55.64,49.32,67.27,65.47,63.9,59.83,70.57,68.41,65.12,58.38,99.81,98.74,97.55,85.22,19.28,16.22,10.36,4.95
PartialOrder__Subset__2,59.06,59.69,54.92,48.03,66.6,65.2,63.31,59.4,70.51,68.72,65.06,58.21,99.63,98.37,97.19,84.23,20.36,16.94,10.63,4.86
PartialOrder__Subset__None,59.69,60.65,55.36,49.3,67.27,65.46,63.88,59.8,70.54,68.42,65.08,58.33,99.81,98.74,97.44,85.34,19.28,16.22,10.18,4.95
PreOrder__Hamming__2,63.43,62.26,58.07,44.69,64.51,61.72,59.62,54.59,71.77,69.73,68.8,63.87,100.0,98.98,98.0,90.23,17.84,15.14,12.7,7.66
PreOrder__Hamming__None,55.75,56.76,55.54,46.1,67.51,65.75,64.67,60.73,71.17,69.13,67.48,62.72,99.81,98.86,97.55,88.31,19.1,16.49,12.16,6.31
PreOrder__Subset__2,65.26,62.0,57.75,44.16,61.93,59.49,57.97,53.2,70.51,68.87,68.27,63.66,100.0,98.89,97.3,87.6,15.5,13.42,11.71,7.39
PreOrder__Subset__None,55.52,56.49,55.43,46.51,67.62,65.73,64.61,60.55,71.32,69.07,67.4,62.51,99.58,98.86,97.58,88.31,19.28,16.58,11.89,6.49
br,62.6,61.38,55.48,45.34,63.21,61.78,60.18,53.96,71.17,70.21,68.74,64.11,100.0,99.91,99.17,92.61,16.4,14.41,11.89,6.67
cc,53.78,53.19,50.69,41.19,65.08,63.29,59.48,53.37,71.47,70.26,68.24,63.95,100.0,99.91,99.44,88.43,19.46,17.12,11.8,6.94
clr,80.83,77.25,73.52,69.17,51.31,46.16,43.84,31.61,68.77,67.46,66.44,62.61,100.0,100.0,99.91,99.44,8.47,6.94,7.39,3.96
