Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,8.38,16.34,27.33,40.85,28.84,46.46,67.87,86.09,83.05,85.01,86.07,85.41,69.32,70.85,69.34,62.92,81.5,82.07,80.84,75.27,38.78,43.33,44.94,42.99,38.78,42.22,41.99,36.34
PartialOrder__Hamming__None,8.38,16.33,27.29,40.89,28.67,46.38,67.7,86.17,82.71,84.68,85.76,85.36,69.15,70.59,69.23,63.25,81.13,81.68,80.43,75.16,37.77,42.32,44.09,42.83,37.77,41.18,41.11,36.16
PartialOrder__Subset__2,8.4,16.37,27.35,40.86,28.84,46.46,67.87,86.09,83.08,84.98,85.96,85.41,69.35,70.77,69.2,62.9,81.52,82.03,80.68,75.27,38.95,43.25,44.6,43.16,38.95,42.13,41.63,36.53
PartialOrder__Subset__None,8.38,16.36,27.25,40.89,28.67,46.38,67.61,86.17,82.66,84.7,85.73,85.33,69.08,70.61,69.26,63.17,81.07,81.69,80.41,75.12,37.77,42.49,44.01,42.83,37.77,41.35,41.02,36.16
PreOrder__Hamming__2,4.33,4.89,5.13,4.21,17.2,17.7,18.55,17.02,81.84,82.16,80.17,76.08,67.58,67.97,65.55,61.53,81.02,81.25,79.09,75.02,36.25,36.75,30.27,22.34,36.25,36.71,30.21,22.34
PreOrder__Hamming__None,4.36,4.62,5.23,4.4,17.37,17.12,20.07,18.29,81.28,81.04,78.5,71.71,68.67,68.52,66.94,61.04,80.43,80.12,77.32,70.41,34.74,32.8,25.96,14.75,34.74,32.74,25.9,14.75
PreOrder__Subset__2,4.38,5.0,5.22,4.28,17.2,18.13,19.14,17.45,81.78,81.65,79.92,76.04,66.93,66.44,64.41,60.8,80.95,80.68,78.81,74.96,35.92,34.4,29.18,22.43,35.92,34.35,29.18,22.43
PreOrder__Subset__None,4.5,4.65,5.3,4.51,17.87,17.12,20.07,19.14,81.36,81.07,78.6,71.62,68.73,68.54,67.16,60.89,80.49,80.15,77.41,70.29,34.74,33.22,26.13,14.5,34.74,33.17,26.01,14.5
