Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,6.89,8.66,10.04,12.14,42.08,54.1,59.72,65.09,75.19,73.82,71.33,67.15,60.95,59.26,56.57,51.4,73.36,71.34,68.14,62.62,3.87,1.98,1.46,0.85,3.69,1.98,1.46,0.8
PartialOrder__Hamming__None,6.97,8.79,10.2,12.27,42.45,54.72,60.61,66.04,74.89,73.27,70.3,66.1,61.61,59.93,56.81,51.54,73.01,70.7,66.93,61.36,3.11,1.7,1.42,0.85,2.93,1.7,1.42,0.8
PartialOrder__Subset__2,6.89,8.67,10.06,12.19,42.17,54.1,59.72,65.09,75.19,73.81,71.23,67.1,60.86,59.23,56.42,51.3,73.35,71.33,68.02,62.54,3.77,1.84,1.37,0.9,3.59,1.84,1.37,0.85
PartialOrder__Subset__None,6.94,8.79,10.15,12.26,42.36,54.62,60.38,65.8,74.87,73.24,70.22,66.04,61.59,59.92,56.72,51.56,72.99,70.66,66.85,61.3,3.11,1.65,1.42,0.85,2.93,1.65,1.42,0.8
PreOrder__Hamming__2,1.33,0.89,0.58,0.23,6.04,6.32,4.29,2.08,73.61,72.3,69.77,64.78,57.17,56.16,53.81,49.19,73.26,72.05,69.6,64.7,2.64,1.32,1.37,0.28,2.64,1.32,1.37,0.28
PreOrder__Hamming__None,1.55,1.09,0.73,0.48,8.02,8.77,6.23,5.09,72.23,69.35,65.57,59.12,60.94,59.58,57.43,53.65,71.79,69.01,65.31,58.93,1.6,0.9,0.52,0.05,1.6,0.9,0.52,0.05
PreOrder__Subset__2,1.37,0.92,0.61,0.25,6.23,6.51,4.48,2.26,73.07,71.91,69.72,64.83,54.74,54.15,52.52,48.08,72.69,71.65,69.53,64.75,2.36,1.23,1.27,0.38,2.36,1.23,1.27,0.38
PreOrder__Subset__None,1.55,1.12,0.77,0.49,7.92,9.15,6.51,5.28,72.32,69.37,65.55,59.16,61.02,59.57,57.35,53.72,71.88,69.02,65.28,58.97,1.6,0.94,0.47,0.05,1.6,0.94,0.47,0.05
