Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,32.9,28.12,23.78,17.87,59.8,58.12,55.57,51.2,70.51,67.99,64.66,59.26,64.54,54.6,50.09,43.25,1.98,0.85,0.38,0.09
PartialOrder__Hamming__None,30.46,26.5,24.13,18.83,60.44,58.72,55.76,51.34,70.19,67.35,63.51,58.11,58.45,57.43,54.84,48.05,1.42,0.75,0.19,0.14
PartialOrder__Subset__2,32.84,28.08,23.58,17.84,59.72,58.07,55.47,51.1,70.51,67.97,64.54,59.17,64.34,54.7,49.76,42.72,1.89,0.8,0.33,0.14
PartialOrder__Subset__None,30.47,26.45,24.04,18.92,60.41,58.69,55.74,51.35,70.17,67.31,63.46,58.06,58.57,57.74,55.18,48.13,1.42,0.71,0.24,0.14
PreOrder__Hamming__2,44.5,41.09,36.65,29.36,56.85,55.85,53.61,49.15,72.53,71.56,69.28,64.59,85.56,81.22,74.44,58.92,2.45,1.18,1.32,0.28
PreOrder__Hamming__None,29.7,26.88,24.2,24.58,60.53,59.16,57.23,53.56,70.96,68.43,64.97,58.75,58.34,54.58,57.38,59.13,1.42,0.66,0.42,0.05
PreOrder__Subset__2,49.29,44.8,39.37,31.34,54.45,53.85,52.31,48.04,71.96,71.15,69.21,64.63,87.5,83.82,77.29,61.04,2.17,1.04,1.23,0.38
PreOrder__Subset__None,29.71,26.91,24.07,24.49,60.62,59.12,57.15,53.6,71.05,68.43,64.93,58.78,59.55,54.8,57.13,59.52,1.42,0.71,0.38,0.05
br,43.7,41.32,37.29,29.59,55.08,54.16,51.83,48.1,73.18,72.22,70.0,65.45,84.73,78.24,77.23,58.12,2.74,1.84,1.23,0.61
cc,44.74,42.29,38.9,31.69,54.39,53.67,51.69,48.0,73.34,72.19,70.17,65.96,84.98,82.49,76.35,62.18,2.92,1.84,0.99,0.33
clr,55.45,54.73,53.25,51.95,49.38,48.33,46.59,42.54,73.07,72.27,71.28,68.77,96.1,94.68,91.31,87.99,2.08,2.12,1.56,1.08
