Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,17.32,26.22,44.72,65.52,68.26,63.48,53.5,40.76,74.12,68.3,57.37,42.17,29.85,36.98,52.81,73.12,50.98,40.05,20.83,3.86
PartialOrder__Hamming__None,17.86,27.27,45.2,65.95,68.42,63.47,53.29,40.53,74.06,68.17,57.17,41.92,30.75,37.22,52.96,73.46,50.06,39.32,20.36,3.53
PartialOrder__Subset__2,17.17,26.11,44.69,65.55,68.13,63.41,53.46,40.75,73.97,68.24,57.34,42.16,30.15,37.03,52.84,73.26,51.02,40.09,20.79,3.8
PartialOrder__Subset__None,17.88,27.27,45.18,65.96,68.34,63.46,53.27,40.52,73.96,68.15,57.14,41.91,30.85,37.22,52.93,73.51,50.06,39.32,20.36,3.53
PreOrder__Hamming__2,16.58,17.24,17.74,17.87,68.8,68.15,65.83,60.79,74.99,74.48,73.61,71.67,28.71,27.89,27.91,29.75,51.77,49.17,42.52,30.54
PreOrder__Hamming__None,16.67,17.64,19.98,24.74,69.02,68.32,64.78,56.8,74.88,74.37,72.76,68.47,29.25,28.53,30.13,34.76,50.89,47.65,37.99,19.17
PreOrder__Subset__2,16.64,17.1,17.45,17.48,68.66,67.97,65.67,60.67,74.93,74.36,73.5,71.62,28.36,27.83,27.72,29.65,51.64,49.15,42.71,30.72
PreOrder__Subset__None,16.6,17.66,20.16,24.76,68.92,68.29,64.64,56.81,74.82,74.31,72.6,68.44,29.2,28.91,30.32,34.94,50.81,47.51,37.83,19.28
br,37.43,37.19,36.94,35.05,61.08,60.65,59.83,56.29,91.63,91.37,90.76,88.25,62.68,64.55,62.1,58.33,57.62,56.56,54.82,46.78
cc,35.51,36.51,37.94,36.0,63.22,61.38,58.82,55.74,91.76,91.46,90.62,88.39,61.31,63.79,64.34,56.21,60.16,57.35,53.76,46.43
clr,83.07,72.67,69.91,75.5,16.33,26.54,29.13,23.98,84.91,86.56,86.98,86.06,99.83,98.19,97.2,95.93,15.25,25.01,27.44,22.75
