Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,43.91,47.26,54.62,64.65,46.34,42.47,38.74,36.85,57.82,50.38,43.76,38.74,77.36,82.78,87.72,92.63,13.08,7.5,2.65,0.73
PartialOrder__Hamming__None,45.01,47.57,55.6,65.17,46.46,42.28,38.75,36.86,57.73,50.3,43.68,38.7,81.26,83.63,88.07,92.99,12.59,6.78,2.42,0.73
PartialOrder__Subset__2,43.48,47.17,54.62,64.65,46.01,42.55,38.74,36.85,57.74,50.42,43.76,38.74,75.31,82.78,87.72,92.63,13.08,7.75,2.65,0.73
PartialOrder__Subset__None,45.01,47.57,55.6,64.99,46.46,42.28,38.75,36.74,57.73,50.3,43.68,38.58,81.26,83.63,88.07,92.99,12.59,6.78,2.42,0.73
PreOrder__Hamming__2,36.51,38.3,39.18,39.79,45.54,43.93,43.03,40.97,60.08,58.55,60.1,59.38,60.59,66.07,68.43,76.26,20.33,16.44,10.15,6.3
PreOrder__Hamming__None,41.34,42.05,43.93,41.77,45.55,44.58,42.99,41.92,60.07,58.39,58.68,57.74,64.66,71.12,76.04,82.3,14.99,13.53,6.28,3.4
PreOrder__Subset__2,35.86,37.94,38.39,39.49,45.2,43.11,42.56,40.73,60.0,58.15,59.9,59.35,58.36,64.76,68.42,75.23,20.33,17.4,10.15,7.27
PreOrder__Subset__None,41.61,42.13,44.42,41.42,45.63,44.43,43.2,41.8,60.15,58.23,58.85,57.66,65.61,70.87,76.23,82.56,14.52,13.53,6.28,3.4
br,66.1,61.49,60.29,54.95,29.99,31.19,28.77,27.9,82.21,80.96,80.24,75.49,100.0,100.0,98.57,96.39,24.19,22.25,19.81,14.23
cc,66.27,64.47,62.99,57.56,28.57,29.31,30.26,24.93,81.81,81.04,80.76,74.54,100.0,100.0,99.49,93.49,21.79,21.52,20.75,13.29
clr,92.87,88.36,86.6,83.02,0.81,2.82,5.87,8.45,79.87,80.03,80.39,80.03,100.0,100.0,100.0,100.0,0.49,2.18,5.07,6.51
