Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,29.12,24.17,50.05,73.35,66.29,63.63,54.85,45.8,75.14,67.7,53.44,39.19,40.39,48.05,64.97,85.81,52.98,37.48,16.66,2.99
PartialOrder__Hamming__None,28.47,24.45,50.13,73.48,66.35,63.6,54.9,45.83,74.99,67.61,53.49,39.19,40.39,48.45,64.77,85.96,52.59,37.38,16.66,2.89
PartialOrder__Subset__2,28.8,24.24,50.02,73.35,66.38,63.56,54.8,45.8,75.14,67.63,53.39,39.19,40.06,48.22,64.97,85.81,52.98,37.48,16.66,2.99
PartialOrder__Subset__None,28.01,24.46,50.13,73.48,66.35,63.58,54.9,45.83,74.9,67.56,53.49,39.19,40.06,48.61,64.77,85.96,52.4,37.38,16.66,2.89
PreOrder__Hamming__2,28.93,27.85,23.79,26.41,66.85,65.95,64.46,58.43,75.86,73.86,70.78,65.06,39.05,46.62,46.17,52.37,53.94,50.09,40.17,26.7
PreOrder__Hamming__None,28.93,26.58,26.72,28.72,67.32,66.39,63.9,57.65,76.3,73.93,70.28,63.4,39.8,47.35,50.47,56.43,54.13,49.42,36.99,21.39
PreOrder__Subset__2,29.33,27.48,23.43,25.65,67.01,65.91,64.47,58.47,76.01,73.72,70.83,65.18,40.07,46.42,45.6,50.58,54.71,50.19,40.36,27.18
PreOrder__Subset__None,28.48,26.34,25.77,29.24,67.46,66.47,63.77,57.53,76.3,73.98,70.11,63.33,39.73,46.86,50.11,55.73,54.33,49.61,36.99,21.2
br,59.95,56.89,54.65,51.82,51.7,53.69,53.3,48.62,85.6,85.28,84.66,81.07,100.0,100.0,99.6,91.84,51.44,52.98,51.82,43.83
cc,55.77,59.12,57.59,51.47,56.33,51.7,51.58,49.98,85.69,85.04,84.41,81.48,100.0,100.0,99.7,93.08,56.07,51.44,50.56,45.47
clr,97.88,93.56,95.95,96.5,2.7,8.57,5.2,4.33,75.48,76.95,76.08,75.84,100.0,100.0,100.0,100.0,2.7,8.57,5.2,4.33
