Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,12.87,27.17,48.99,70.82,35.46,57.03,80.84,94.8,86.85,90.27,93.54,94.15,72.57,74.38,77.99,65.98,84.87,86.54,87.34,79.61,72.64,76.3,82.18,82.08,72.04,73.54,75.55,62.4
PartialOrder__Hamming__None,12.87,27.17,48.92,70.8,35.65,57.03,80.74,94.8,86.75,90.2,93.52,94.12,72.83,74.46,77.99,66.0,84.76,86.45,87.32,79.61,72.26,76.11,81.98,81.89,71.65,73.33,75.32,62.03
PartialOrder__Subset__2,12.96,27.19,48.99,70.82,35.65,57.03,80.84,94.8,86.95,90.22,93.5,94.15,72.77,74.28,77.87,65.98,84.97,86.47,87.27,79.61,72.83,76.2,82.08,82.08,72.24,73.43,75.43,62.4
PartialOrder__Subset__None,13.01,27.19,48.92,70.8,36.04,57.13,80.74,94.8,86.8,90.17,93.52,94.12,72.96,74.42,77.99,66.0,84.8,86.42,87.32,79.61,72.26,76.01,81.98,81.89,71.65,73.23,75.32,62.03
PreOrder__Hamming__2,11.95,14.99,19.85,21.79,34.31,38.45,47.99,53.46,86.75,87.09,87.84,83.12,72.39,71.91,73.02,64.45,84.94,84.78,84.84,78.45,72.25,71.67,70.23,55.69,71.87,70.79,68.91,53.36
PreOrder__Hamming__None,11.47,14.5,18.6,20.88,33.34,37.68,46.45,52.69,86.75,86.7,86.37,80.76,72.86,71.99,71.93,63.24,85.01,84.43,83.3,75.77,71.87,69.36,64.45,46.72,71.42,68.51,63.14,44.38
PreOrder__Subset__2,11.71,15.18,19.82,21.79,33.34,38.54,47.99,53.37,86.66,87.11,87.88,83.24,72.2,71.95,73.12,64.48,84.87,84.79,84.91,78.58,72.06,71.87,70.52,56.56,71.68,70.96,69.22,54.33
PreOrder__Subset__None,11.37,14.36,18.62,21.05,33.15,37.48,46.16,52.88,86.66,86.68,86.22,80.86,72.78,72.12,71.81,63.52,84.92,84.43,83.12,75.83,71.48,69.46,64.16,47.4,71.1,68.64,62.82,45.09
