Algorithm,aabs__0.0__mean,aabs__0.1__mean,aabs__0.2__mean,aabs__0.3__mean,abs__0.0__mean,abs__0.1__mean,abs__0.2__mean,abs__0.3__mean,arec__0.0__mean,arec__0.1__mean,arec__0.2__mean,arec__0.3__mean,f1_pa__0.0__mean,f1_pa__0.1__mean,f1_pa__0.2__mean,f1_pa__0.3__mean,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.3__mean,rec__0.0__mean,rec__0.1__mean,rec__0.2__mean,rec__0.3__mean,subset0_1_pa__0.0__mean,subset0_1_pa__0.1__mean,subset0_1_pa__0.2__mean,subset0_1_pa__0.3__mean
PartialOrder__Hamming__2,22.91,30.65,43.89,60.51,42.25,55.05,76.57,93.23,94.84,95.72,96.23,95.11,83.03,84.85,84.11,77.45,93.3,93.83,93.27,87.65,80.89,83.09,82.26,77.32,79.03,80.42,77.61,66.82
PartialOrder__Hamming__None,22.88,30.63,43.86,60.48,42.29,55.03,76.57,93.21,94.74,95.56,95.99,94.84,83.27,84.76,83.65,76.84,93.18,93.6,92.85,86.97,79.44,81.49,80.95,76.11,77.44,78.56,75.96,65.05
PartialOrder__Subset__2,23.0,30.69,43.92,60.51,42.29,55.05,76.59,93.25,94.78,95.7,96.22,95.11,82.81,84.75,84.09,77.42,93.22,93.79,93.26,87.64,80.76,83.09,82.3,77.23,78.9,80.42,77.66,66.69
PartialOrder__Subset__None,22.93,30.62,43.86,60.47,42.29,54.96,76.57,93.23,94.69,95.54,95.97,94.82,83.09,84.73,83.66,76.77,93.11,93.57,92.83,86.91,79.27,81.41,80.93,76.03,77.26,78.47,75.93,64.93
PreOrder__Hamming__2,21.6,22.22,21.66,18.88,40.42,42.96,47.94,53.12,94.62,94.64,93.35,89.07,82.41,82.72,79.92,72.77,93.13,93.11,91.51,86.53,79.93,79.21,72.75,54.94,78.32,77.42,71.13,53.88
PreOrder__Hamming__None,21.42,21.86,21.2,18.34,40.22,42.77,47.44,52.31,94.36,94.24,92.11,85.44,82.39,82.62,78.34,67.95,92.82,92.63,89.99,82.17,77.73,75.8,65.41,38.31,75.98,73.8,63.48,36.97
PreOrder__Subset__2,21.63,22.28,21.78,18.99,40.42,43.12,48.21,53.39,94.59,94.58,93.36,89.15,82.3,82.44,79.8,72.82,93.1,93.02,91.51,86.6,79.89,79.1,73.12,55.73,78.27,77.33,71.54,54.68
PreOrder__Subset__None,21.38,21.91,21.33,18.39,40.09,43.02,47.82,52.2,94.28,94.23,92.09,85.45,82.14,82.64,78.27,67.89,92.72,92.62,89.94,82.17,77.48,75.7,65.31,38.22,75.75,73.7,63.41,36.84
