Algorithm,afrd__0.0__mean,afrd__0.1__mean,afrd__0.2__mean,afrd__0.3__mean,f1__0.0__mean,f1__0.1__mean,f1__0.2__mean,f1__0.3__mean,hamming_accuracy__0.0__mean,hamming_accuracy__0.1__mean,hamming_accuracy__0.2__mean,hamming_accuracy__0.3__mean,mfrd__0.0__mean,mfrd__0.1__mean,mfrd__0.2__mean,mfrd__0.3__mean,subset0_1__0.0__mean,subset0_1__0.1__mean,subset0_1__0.2__mean,subset0_1__0.3__mean
PartialOrder__Hamming__2,78.53,84.06,87.76,87.34,19.32,17.66,16.55,16.08,20.29,17.63,15.57,14.91,97.35,98.36,97.95,97.49,3.19,0.98,0.11,0.0
PartialOrder__Hamming__None,78.54,84.07,87.79,87.38,19.34,17.67,16.56,16.08,20.29,17.63,15.57,14.89,97.45,98.39,97.98,97.51,3.19,0.98,0.11,0.0
PartialOrder__Subset__2,78.53,84.06,87.77,87.36,19.32,17.66,16.55,16.08,20.29,17.63,15.57,14.91,97.35,98.36,97.95,97.56,3.19,0.98,0.11,0.0
PartialOrder__Subset__None,78.54,84.07,87.8,87.4,19.34,17.67,16.56,16.09,20.29,17.63,15.56,14.89,97.45,98.39,97.98,97.58,3.19,0.98,0.11,0.0
PreOrder__Hamming__2,74.9,72.77,61.3,35.85,18.96,18.45,18.69,20.1,21.03,22.32,27.95,41.27,96.33,94.45,90.65,82.88,3.06,2.17,1.18,0.45
PreOrder__Hamming__None,74.61,72.3,60.72,36.4,19.07,18.59,18.92,20.27,21.23,22.62,28.44,41.45,96.52,94.77,91.77,85.96,3.16,2.24,1.11,0.18
PreOrder__Subset__2,74.95,72.86,61.48,35.83,18.92,18.44,18.64,20.02,20.96,22.2,27.84,41.17,96.33,94.44,90.33,82.52,3.03,2.21,1.18,0.45
PreOrder__Subset__None,74.87,72.53,60.74,36.2,19.04,18.58,18.87,20.17,21.21,22.56,28.42,41.25,96.52,94.79,91.5,85.38,3.12,2.29,1.06,0.18
br,97.72,97.34,96.43,93.13,7.32,7.61,9.15,12.43,91.81,91.73,91.67,90.83,100.0,100.0,100.0,99.89,6.7,6.65,7.65,9.18
cc,97.07,97.1,96.12,93.21,8.83,8.29,9.38,12.7,91.84,91.77,91.63,90.93,100.0,100.0,100.0,99.92,7.82,7.23,7.86,9.58
clr,100.0,99.68,99.48,99.42,0.0,1.2,1.9,1.9,91.53,91.6,91.62,91.58,100.0,100.0,100.0,100.0,0.0,1.08,1.71,1.71
