Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7999535423925669,0.012828681542497741
RF,CLR,subset0_1,0.011637630662020906,0.016949451794801163
RF,CLR,f1,0.018776616337591943,0.019670559160361995
XGBoost,CLR,hamming_accuracy,0.8054781262098335,0.01943148786315234
XGBoost,CLR,subset0_1,0.1354239256678281,0.05517537702799128
XGBoost,CLR,f1,0.18387921022067363,0.06599626976658182
ETC,CLR,hamming_accuracy,0.8031784746418893,0.014191319472265049
ETC,CLR,subset0_1,0.0348664343786295,0.02829315970449751
ETC,CLR,f1,0.045876887340301965,0.034426335777245735
LightGBM,CLR,hamming_accuracy,0.8065543941153696,0.015282460070242764
LightGBM,CLR,subset0_1,0.09080139372822299,0.05674033654704782
LightGBM,CLR,f1,0.1341037553232675,0.06539174177842308
