Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.2986±0.0440,0.2113±0.0593,0.3754±0.0469,0.4967±0.0871,0.6749±0.0351,0.5805±0.0512,0.4575±0.0243,0.3433±0.0153,0.7735±0.0385,0.8082±0.0258,0.8680±0.0223,0.8496±0.0388,0.7024±0.0347,0.6426±0.0457,0.5672±0.0208,0.4730±0.0146,0.7924±0.0227,0.7076±0.0517,0.5963±0.0221,0.4880±0.0135,0.6728±0.0351,0.5789±0.0500,0.4566±0.0241,0.3427±0.0146,0.5534±0.0441,0.5091±0.0491,0.4557±0.0162,0.4098±0.0205,0.5140±0.0377,0.4221±0.0498,0.3395±0.0173,0.2940±0.0110,0.6542±0.1015,0.7300±0.0896,0.8286±0.0486,0.8087±0.1153,0.5822±0.1607,0.4076±0.0796,0.5796±0.0396,0.6177±0.0329,0.6518±0.0333,0.5844±0.0488,0.5203±0.0144,0.4550±0.0124,0.5655±0.0335,0.4595±0.0527,0.3716±0.0131,0.3110±0.0080,0.7706±0.0410,0.8069±0.0246,0.8682±0.0216,0.8491±0.0402,0.5972±0.0391,0.4238±0.0543,0.1907±0.0326,0.0502±0.0242
PartialOrder__Hamming__None,0.2609±0.0569,0.2191±0.0684,0.3813±0.0353,0.5102±0.0882,0.6685±0.0411,0.5741±0.0548,0.4511±0.0220,0.3420±0.0157,0.7812±0.0403,0.8178±0.0314,0.8737±0.0260,0.8554±0.0395,0.6992±0.0400,0.6410±0.0491,0.5640±0.0203,0.4733±0.0140,0.7856±0.0284,0.7023±0.0536,0.5905±0.0209,0.4856±0.0139,0.6664±0.0410,0.5725±0.0534,0.4502±0.0217,0.3414±0.0150,0.5520±0.0456,0.5073±0.0523,0.4552±0.0173,0.4089±0.0208,0.5017±0.0434,0.4160±0.0529,0.3372±0.0174,0.2923±0.0113,0.6848±0.0879,0.7387±0.0927,0.8408±0.0423,0.8127±0.1146,0.4802±0.1392,0.4206±0.0791,0.5952±0.0506,0.6394±0.0229,0.6471±0.0398,0.5830±0.0513,0.5183±0.0152,0.4555±0.0120,0.5545±0.0405,0.4547±0.0541,0.3685±0.0126,0.3107±0.0077,0.7782±0.0423,0.8164±0.0304,0.8739±0.0253,0.8548±0.0411,0.5856±0.0449,0.4046±0.0596,0.1772±0.0285,0.0463±0.0271
PartialOrder__Subset__2,0.2993±0.0451,0.1837±0.0371,0.3760±0.0475,0.4947±0.0868,0.6759±0.0341,0.5844±0.0484,0.4575±0.0243,0.3430±0.0166,0.7735±0.0385,0.8102±0.0197,0.8680±0.0223,0.8477±0.0401,0.7030±0.0342,0.6458±0.0417,0.5672±0.0208,0.4723±0.0165,0.7928±0.0220,0.7090±0.0488,0.5958±0.0228,0.4870±0.0153,0.6738±0.0342,0.5828±0.0472,0.4566±0.0241,0.3424±0.0159,0.5539±0.0436,0.5112±0.0441,0.4554±0.0167,0.4093±0.0214,0.5149±0.0368,0.4239±0.0469,0.3393±0.0177,0.2939±0.0118,0.6542±0.1015,0.7541±0.0585,0.8286±0.0486,0.8075±0.1172,0.5822±0.1607,0.3894±0.0659,0.5796±0.0396,0.6197±0.0345,0.6523±0.0328,0.5860±0.0447,0.5200±0.0149,0.4540±0.0140,0.5661±0.0324,0.4608±0.0496,0.3713±0.0135,0.3103±0.0093,0.7706±0.0410,0.8088±0.0183,0.8682±0.0216,0.8472±0.0415,0.5991±0.0368,0.4296±0.0556,0.1907±0.0326,0.0502±0.0242
PartialOrder__Subset__None,0.2609±0.0569,0.1956±0.0495,0.3829±0.0343,0.5085±0.0877,0.6685±0.0411,0.5748±0.0524,0.4518±0.0223,0.3414±0.0168,0.7812±0.0403,0.8198±0.0253,0.8756±0.0264,0.8535±0.0406,0.6992±0.0400,0.6419±0.0456,0.5649±0.0207,0.4723±0.0159,0.7856±0.0284,0.7023±0.0511,0.5905±0.0209,0.4846±0.0156,0.6664±0.0410,0.5731±0.0509,0.4508±0.0221,0.3408±0.0161,0.5520±0.0456,0.5083±0.0479,0.4561±0.0173,0.4083±0.0216,0.5017±0.0434,0.4162±0.0506,0.3377±0.0173,0.2919±0.0119,0.6848±0.0879,0.7628±0.0594,0.8429±0.0395,0.8115±0.1164,0.4802±0.1392,0.4086±0.0596,0.5952±0.0506,0.6394±0.0229,0.6471±0.0398,0.5834±0.0475,0.5189±0.0156,0.4545±0.0136,0.5545±0.0405,0.4546±0.0514,0.3687±0.0127,0.3100±0.0090,0.7782±0.0423,0.8183±0.0242,0.8759±0.0257,0.8529±0.0422,0.5856±0.0449,0.4046±0.0596,0.1772±0.0285,0.0463±0.0271
PreOrder__Hamming__2,0.3118±0.0465,0.2265±0.0479,0.2178±0.0618,0.2831±0.0751,0.6661±0.0363,0.6351±0.0514,0.5712±0.0200,0.4521±0.0358,0.7619±0.0339,0.8072±0.0272,0.8092±0.0355,0.7821±0.0649,0.6930±0.0343,0.6845±0.0430,0.6392±0.0218,0.5473±0.0390,0.7890±0.0226,0.7606±0.0405,0.7114±0.0241,0.6276±0.0306,0.6640±0.0364,0.6334±0.0508,0.5688±0.0208,0.4515±0.0359,0.5427±0.0401,0.5409±0.0420,0.5074±0.0294,0.4421±0.0434,0.5049±0.0341,0.4730±0.0445,0.4135±0.0316,0.3406±0.0300,0.6367±0.0985,0.7062±0.0783,0.7777±0.0441,0.7087±0.1023,0.6145±0.1542,0.4074±0.1425,0.4758±0.0806,0.5057±0.1097,0.6449±0.0314,0.6308±0.0453,0.5852±0.0267,0.5141±0.0366,0.5612±0.0336,0.5199±0.0517,0.4596±0.0258,0.3833±0.0275,0.7591±0.0365,0.8050±0.0279,0.8069±0.0363,0.7823±0.0657,0.5895±0.0450,0.5028±0.0709,0.3872±0.0241,0.2043±0.0474
PreOrder__Hamming__None,0.2784±0.0421,0.2182±0.0560,0.2352±0.0214,0.3406±0.0970,0.6638±0.0389,0.6223±0.0483,0.5352±0.0134,0.4309±0.0365,0.7735±0.0371,0.8285±0.0228,0.8314±0.0302,0.8226±0.0490,0.6942±0.0368,0.6819±0.0398,0.6205±0.0162,0.5430±0.0331,0.7846±0.0251,0.7533±0.0385,0.6893±0.0167,0.6079±0.0310,0.6618±0.0390,0.6205±0.0474,0.5331±0.0134,0.4304±0.0367,0.5448±0.0382,0.5426±0.0410,0.4982±0.0207,0.4401±0.0359,0.4976±0.0378,0.4632±0.0417,0.3921±0.0191,0.3308±0.0284,0.6697±0.0812,0.7276±0.0845,0.8038±0.0377,0.7387±0.0852,0.5125±0.1519,0.4135±0.1347,0.5297±0.0586,0.5772±0.0864,0.6437±0.0338,0.6296±0.0416,0.5738±0.0195,0.5140±0.0287,0.5536±0.0361,0.5098±0.0471,0.4387±0.0173,0.3743±0.0237,0.7706±0.0396,0.8260±0.0230,0.8298±0.0305,0.8224±0.0504,0.5799±0.0486,0.4624±0.0674,0.3063±0.0109,0.1445±0.0535
PreOrder__Subset__2,0.3125±0.0473,0.2289±0.0361,0.2230±0.0583,0.2689±0.0738,0.6671±0.0352,0.6281±0.0505,0.5699±0.0222,0.4594±0.0249,0.7619±0.0339,0.7899±0.0325,0.8034±0.0379,0.7725±0.0529,0.6936±0.0337,0.6742±0.0441,0.6366±0.0243,0.5487±0.0278,0.7895±0.0218,0.7558±0.0405,0.7105±0.0239,0.6305±0.0249,0.6650±0.0354,0.6263±0.0498,0.5675±0.0233,0.4587±0.0250,0.5432±0.0397,0.5344±0.0437,0.5020±0.0351,0.4428±0.0373,0.5059±0.0332,0.4711±0.0450,0.4126±0.0362,0.3433±0.0255,0.6367±0.0985,0.6933±0.0814,0.7501±0.0483,0.7036±0.0938,0.6145±0.1542,0.3928±0.1451,0.4693±0.0799,0.4877±0.1195,0.6453±0.0308,0.6209±0.0465,0.5826±0.0270,0.5129±0.0294,0.5619±0.0324,0.5136±0.0518,0.4582±0.0256,0.3843±0.0225,0.7591±0.0365,0.7878±0.0328,0.8012±0.0387,0.7726±0.0541,0.5914±0.0425,0.5047±0.0645,0.3892±0.0270,0.2294±0.0352
PreOrder__Subset__None,0.2770±0.0427,0.2182±0.0539,0.2350±0.0206,0.3403±0.0931,0.6648±0.0399,0.6223±0.0494,0.5348±0.0131,0.4309±0.0354,0.7754±0.0381,0.8265±0.0248,0.8314±0.0302,0.8245±0.0497,0.6955±0.0379,0.6813±0.0414,0.6202±0.0159,0.5433±0.0320,0.7856±0.0258,0.7529±0.0399,0.6888±0.0160,0.6069±0.0305,0.6627±0.0400,0.6205±0.0485,0.5327±0.0130,0.4304±0.0357,0.5468±0.0408,0.5418±0.0422,0.4982±0.0205,0.4407±0.0350,0.4994±0.0399,0.4630±0.0423,0.3923±0.0197,0.3313±0.0276,0.6718±0.0850,0.7260±0.0868,0.8038±0.0377,0.7399±0.0839,0.5125±0.1519,0.4135±0.1347,0.5265±0.0527,0.5713±0.0787,0.6453±0.0350,0.6287±0.0435,0.5734±0.0190,0.5140±0.0282,0.5550±0.0372,0.5093±0.0485,0.4382±0.0168,0.3739±0.0232,0.7725±0.0404,0.8241±0.0248,0.8298±0.0305,0.8243±0.0511,0.5799±0.0486,0.4643±0.0668,0.3063±0.0109,0.1445±0.0535
br,0.4816±0.0240,0.4721±0.0255,0.4088±0.0491,0.3571±0.0605,0.6088±0.0533,0.5804±0.0554,0.5035±0.0451,0.4161±0.0250,0.6165±0.0503,0.5923±0.0553,0.5654±0.0675,0.5279±0.0334,0.6107±0.0520,0.5833±0.0548,0.5230±0.0513,0.4504±0.0263,0.8545±0.0211,0.8439±0.0162,0.8039±0.0065,0.7374±0.0190,0.6068±0.0528,0.5775±0.0542,0.5025±0.0460,0.4142±0.0242,0.4986±0.0351,0.5083±0.0372,0.4982±0.0222,0.4191±0.0312,0.5727±0.0378,0.5902±0.0754,0.5413±0.0356,0.4204±0.0113,0.4537±0.0379,0.4582±0.0279,0.4903±0.0341,0.4453±0.0668,0.9900±0.0089,0.9152±0.1598,0.7167±0.1717,0.6599±0.1580,0.6796±0.0477,0.6548±0.0439,0.5907±0.0236,0.5024±0.0288,0.7624±0.0488,0.7365±0.0295,0.6272±0.0313,0.4817±0.0306,0.6136±0.0490,0.5907±0.0559,0.5658±0.0693,0.5260±0.0359,0.5953±0.0557,0.5605±0.0536,0.4431±0.0429,0.3121±0.0225
cc,0.3906±0.0665,0.4031±0.0616,0.4208±0.0583,0.3797±0.0696,0.7186±0.0407,0.6483±0.0437,0.5725±0.0430,0.4481±0.0238,0.7157±0.0406,0.6656±0.0465,0.6078±0.0467,0.5665±0.0356,0.7166±0.0406,0.6537±0.0444,0.5837±0.0439,0.4847±0.0258,0.8573±0.0211,0.8487±0.0262,0.8198±0.0148,0.7495±0.0096,0.7157±0.0406,0.6473±0.0434,0.5715±0.0424,0.4462±0.0241,0.5684±0.0276,0.5482±0.0749,0.4921±0.0579,0.4229±0.0277,0.6212±0.0859,0.6075±0.1072,0.5354±0.0647,0.4135±0.0191,0.5709±0.0256,0.5221±0.0647,0.4702±0.0632,0.4450±0.0510,0.8587±0.1993,0.8754±0.1425,0.8562±0.1170,0.7921±0.1150,0.7159±0.0415,0.6881±0.0513,0.6275±0.0359,0.5312±0.0214,0.7186±0.0407,0.7172±0.0573,0.6540±0.0291,0.5030±0.0214,0.7132±0.0425,0.6617±0.0494,0.6043±0.0493,0.5641±0.0360,0.7128±0.0408,0.6280±0.0415,0.5355±0.0387,0.3371±0.0279
