Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PartialOrder__Hamming__None,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PartialOrder__Subset__2,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PartialOrder__Subset__None,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PreOrder__Hamming__2,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PreOrder__Hamming__None,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PreOrder__Subset__2,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
PreOrder__Subset__None,0.8501±0.0150,0.7869±0.0299,0.7673±0.0454,0.6779±0.0385,0.8950±0.0120,0.8686±0.0156,0.8376±0.0183,0.7578±0.0354,0.6232±0.0065,0.5912±0.0225,0.5748±0.0599,0.4534±0.0589,0.7799±0.0317,0.7468±0.0311,0.6863±0.0276,0.5487±0.0769,0.4374±0.0367,0.4702±0.0358,0.5589±0.0650,0.7266±0.1076,0.8359±0.0110,0.8283±0.0172,0.8002±0.0191,0.7429±0.0332,0.2832±0.0177,0.2929±0.0334,0.3353±0.0351,0.4317±0.0522,0.1427±0.0130,0.1538±0.0136,0.1839±0.0191,0.2399±0.0368
br,0.8501±0.0150,0.8039±0.0224,0.7691±0.0318,0.7234±0.0241,0.8950±0.0120,0.8735±0.0142,0.8256±0.0116,0.7553±0.0157,0.6232±0.0065,0.6043±0.0307,0.5496±0.0251,0.4853±0.0234,0.7799±0.0317,0.7451±0.0396,0.6614±0.0160,0.5558±0.0400,0.4374±0.0367,0.4645±0.0517,0.5916±0.0146,0.7651±0.0863,0.8359±0.0110,0.8262±0.0227,0.7948±0.0070,0.7252±0.0244,0.2832±0.0177,0.3007±0.0436,0.3391±0.0196,0.4644±0.0410,0.1427±0.0130,0.1528±0.0173,0.1948±0.0022,0.2525±0.0268
cc,0.8475±0.0224,0.8068±0.0201,0.7869±0.0247,0.6608±0.0265,0.8821±0.0193,0.8785±0.0174,0.8322±0.0198,0.7615±0.0142,0.6371±0.0273,0.6125±0.0378,0.5501±0.0240,0.4652±0.0234,0.7341±0.0438,0.7621±0.0343,0.6942±0.0247,0.5679±0.0174,0.4587±0.0594,0.4858±0.0605,0.6014±0.0735,0.7456±0.0380,0.8342±0.0219,0.8238±0.0249,0.7952±0.0232,0.7407±0.0173,0.2814±0.0407,0.3007±0.0486,0.3373±0.0377,0.4335±0.0295,0.1502±0.0193,0.1592±0.0184,0.1981±0.0251,0.2463±0.0142
