Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8666109678142874,0.0029842677355004796
RF,CLR,subset0_1,0.25533751434166374,0.018576715086769387
RF,CLR,f1,0.27011453202324576,0.018896882448422327
XGBoost,CLR,hamming_accuracy,0.8886029278560399,0.004934085999803456
XGBoost,CLR,subset0_1,0.3959303318639418,0.023150900730246074
XGBoost,CLR,f1,0.42160485733099834,0.02645908129384243
ETC,CLR,hamming_accuracy,0.8588692586617899,0.003736107239923325
ETC,CLR,subset0_1,0.21129648640022086,0.02103059233753682
ETC,CLR,f1,0.2237666571774456,0.022046918055784195
LightGBM,CLR,hamming_accuracy,0.8877729660717213,0.004991409395646815
LightGBM,CLR,subset0_1,0.391363083479266,0.026734572470340567
LightGBM,CLR,f1,0.41718559478725437,0.028660355782948996
