Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.2291±0.0182,0.3065±0.0175,0.4389±0.0251,0.6051±0.0239,0.4225±0.0135,0.5505±0.0208,0.7657±0.0243,0.9323±0.0132,0.9484±0.0025,0.9572±0.0031,0.9623±0.0048,0.9511±0.0072,0.8303±0.0109,0.8485±0.0128,0.8411±0.0186,0.7745±0.0261,0.9330±0.0036,0.9383±0.0044,0.9327±0.0083,0.8765±0.0131,0.8089±0.0085,0.8309±0.0112,0.8226±0.0219,0.7732±0.0331,0.7903±0.0110,0.8042±0.0123,0.7761±0.0253,0.6682±0.0337
PartialOrder__Hamming__None,0.2288±0.0182,0.3063±0.0174,0.4386±0.0248,0.6048±0.0238,0.4229±0.0139,0.5503±0.0208,0.7657±0.0242,0.9321±0.0133,0.9474±0.0025,0.9556±0.0031,0.9599±0.0052,0.9484±0.0072,0.8327±0.0116,0.8476±0.0124,0.8365±0.0188,0.7684±0.0264,0.9318±0.0033,0.9360±0.0044,0.9285±0.0087,0.8697±0.0133,0.7944±0.0095,0.8149±0.0125,0.8095±0.0216,0.7611±0.0342,0.7744±0.0113,0.7856±0.0148,0.7596±0.0241,0.6505±0.0351
PartialOrder__Subset__2,0.2300±0.0180,0.3069±0.0177,0.4392±0.0252,0.6051±0.0238,0.4229±0.0130,0.5505±0.0208,0.7659±0.0243,0.9325±0.0131,0.9478±0.0023,0.9570±0.0030,0.9622±0.0050,0.9511±0.0070,0.8281±0.0093,0.8475±0.0118,0.8409±0.0184,0.7742±0.0255,0.9322±0.0030,0.9379±0.0042,0.9326±0.0084,0.8764±0.0127,0.8076±0.0086,0.8309±0.0114,0.8230±0.0220,0.7723±0.0320,0.7890±0.0106,0.8042±0.0124,0.7766±0.0253,0.6669±0.0323
PartialOrder__Subset__None,0.2293±0.0179,0.3062±0.0174,0.4386±0.0250,0.6047±0.0238,0.4229±0.0139,0.5496±0.0210,0.7657±0.0242,0.9323±0.0132,0.9469±0.0029,0.9554±0.0029,0.9597±0.0054,0.9482±0.0071,0.8309±0.0122,0.8473±0.0117,0.8366±0.0183,0.7677±0.0264,0.9311±0.0036,0.9357±0.0041,0.9283±0.0090,0.8691±0.0133,0.7927±0.0107,0.8141±0.0119,0.8093±0.0222,0.7603±0.0347,0.7726±0.0121,0.7847±0.0141,0.7593±0.0248,0.6493±0.0359
PreOrder__Hamming__2,0.2160±0.0168,0.2222±0.0178,0.2166±0.0217,0.1888±0.0235,0.4042±0.0157,0.4296±0.0281,0.4794±0.0360,0.5312±0.0370,0.9462±0.0030,0.9464±0.0046,0.9335±0.0047,0.8907±0.0049,0.8241±0.0112,0.8272±0.0150,0.7992±0.0156,0.7277±0.0157,0.9313±0.0042,0.9311±0.0056,0.9151±0.0051,0.8653±0.0056,0.7993±0.0107,0.7921±0.0161,0.7275±0.0197,0.5494±0.0228,0.7832±0.0122,0.7742±0.0177,0.7113±0.0180,0.5388±0.0225
PreOrder__Hamming__None,0.2142±0.0168,0.2186±0.0185,0.2120±0.0202,0.1834±0.0214,0.4022±0.0161,0.4277±0.0280,0.4744±0.0344,0.5231±0.0353,0.9436±0.0034,0.9424±0.0057,0.9211±0.0052,0.8544±0.0094,0.8239±0.0118,0.8262±0.0163,0.7834±0.0138,0.6795±0.0205,0.9282±0.0045,0.9263±0.0068,0.8999±0.0052,0.8217±0.0108,0.7773±0.0099,0.7580±0.0206,0.6541±0.0210,0.3831±0.0340,0.7598±0.0111,0.7380±0.0224,0.6348±0.0185,0.3697±0.0346
PreOrder__Subset__2,0.2163±0.0169,0.2228±0.0176,0.2178±0.0201,0.1899±0.0234,0.4042±0.0170,0.4312±0.0280,0.4821±0.0320,0.5339±0.0365,0.9459±0.0030,0.9458±0.0047,0.9336±0.0050,0.8915±0.0047,0.8230±0.0113,0.8244±0.0158,0.7980±0.0160,0.7282±0.0158,0.9310±0.0042,0.9302±0.0057,0.9151±0.0058,0.8660±0.0056,0.7989±0.0110,0.7910±0.0163,0.7312±0.0194,0.5573±0.0225,0.7827±0.0131,0.7733±0.0179,0.7154±0.0180,0.5468±0.0227
PreOrder__Subset__None,0.2138±0.0170,0.2191±0.0186,0.2133±0.0204,0.1839±0.0218,0.4009±0.0175,0.4302±0.0286,0.4782±0.0321,0.5220±0.0339,0.9428±0.0035,0.9423±0.0053,0.9209±0.0059,0.8545±0.0086,0.8214±0.0116,0.8264±0.0153,0.7827±0.0155,0.6789±0.0193,0.9272±0.0046,0.9262±0.0062,0.8994±0.0062,0.8217±0.0099,0.7748±0.0096,0.7570±0.0217,0.6531±0.0217,0.3822±0.0326,0.7575±0.0100,0.7370±0.0233,0.6341±0.0202,0.3684±0.0332
