Algorithm,aabs__0.0__mean,aabs__0.0__operator,aabs__0.0__std,aabs__0.1__mean,aabs__0.1__operator,aabs__0.1__std,aabs__0.2__mean,aabs__0.2__operator,aabs__0.2__std,aabs__0.3__mean,aabs__0.3__operator,aabs__0.3__std,abs__0.0__mean,abs__0.0__operator,abs__0.0__std,abs__0.1__mean,abs__0.1__operator,abs__0.1__std,abs__0.2__mean,abs__0.2__operator,abs__0.2__std,abs__0.3__mean,abs__0.3__operator,abs__0.3__std,arec__0.0__mean,arec__0.0__operator,arec__0.0__std,arec__0.1__mean,arec__0.1__operator,arec__0.1__std,arec__0.2__mean,arec__0.2__operator,arec__0.2__std,arec__0.3__mean,arec__0.3__operator,arec__0.3__std,f1_pa__0.0__mean,f1_pa__0.0__operator,f1_pa__0.0__std,f1_pa__0.1__mean,f1_pa__0.1__operator,f1_pa__0.1__std,f1_pa__0.2__mean,f1_pa__0.2__operator,f1_pa__0.2__std,f1_pa__0.3__mean,f1_pa__0.3__operator,f1_pa__0.3__std,hamming_accuracy_pa__0.0__mean,hamming_accuracy_pa__0.0__operator,hamming_accuracy_pa__0.0__std,hamming_accuracy_pa__0.1__mean,hamming_accuracy_pa__0.1__operator,hamming_accuracy_pa__0.1__std,hamming_accuracy_pa__0.2__mean,hamming_accuracy_pa__0.2__operator,hamming_accuracy_pa__0.2__std,hamming_accuracy_pa__0.3__mean,hamming_accuracy_pa__0.3__operator,hamming_accuracy_pa__0.3__std,rec__0.0__mean,rec__0.0__operator,rec__0.0__std,rec__0.1__mean,rec__0.1__operator,rec__0.1__std,rec__0.2__mean,rec__0.2__operator,rec__0.2__std,rec__0.3__mean,rec__0.3__operator,rec__0.3__std,subset0_1_pa__0.0__mean,subset0_1_pa__0.0__operator,subset0_1_pa__0.0__std,subset0_1_pa__0.1__mean,subset0_1_pa__0.1__operator,subset0_1_pa__0.1__std,subset0_1_pa__0.2__mean,subset0_1_pa__0.2__operator,subset0_1_pa__0.2__std,subset0_1_pa__0.3__mean,subset0_1_pa__0.3__operator,subset0_1_pa__0.3__std
PartialOrder__Hamming__2,0.0689,±,0.0045,0.0866,±,0.011,0.1004,±,0.0105,0.1214,±,0.0109,0.4208,±,0.0369,0.541,±,0.0488,0.5972,±,0.0317,0.6509,±,0.035,0.7519,±,0.0071,0.7382,±,0.0094,0.7133,±,0.0104,0.6715,±,0.0125,0.6095,±,0.0138,0.5926,±,0.0084,0.5657,±,0.0158,0.514,±,0.0161,0.7336,±,0.0068,0.7134,±,0.0085,0.6814,±,0.0096,0.6262,±,0.0114,0.0387,±,0.0075,0.0198,±,0.0069,0.0146,±,0.0095,0.0085,±,0.0066,0.0369,±,0.0063,0.0198,±,0.0069,0.0146,±,0.0095,0.008,±,0.0063
PartialOrder__Hamming__None,0.0697,±,0.0044,0.0879,±,0.0106,0.102,±,0.0103,0.1227,±,0.011,0.4245,±,0.0323,0.5472,±,0.0453,0.6061,±,0.0333,0.6604,±,0.035,0.7489,±,0.0077,0.7327,±,0.0098,0.703,±,0.0112,0.661,±,0.0124,0.6161,±,0.0176,0.5993,±,0.0134,0.5681,±,0.0158,0.5154,±,0.0164,0.7301,±,0.0076,0.707,±,0.0101,0.6693,±,0.0106,0.6136,±,0.0115,0.0311,±,0.0087,0.017,±,0.0079,0.0142,±,0.0076,0.0085,±,0.0055,0.0293,±,0.0082,0.017,±,0.0079,0.0142,±,0.0076,0.008,±,0.0056
PartialOrder__Subset__2,0.0689,±,0.0045,0.0867,±,0.011,0.1006,±,0.0105,0.1219,±,0.0108,0.4217,±,0.0362,0.541,±,0.0488,0.5972,±,0.031,0.6509,±,0.035,0.7519,±,0.0065,0.7381,±,0.0096,0.7123,±,0.0098,0.671,±,0.0123,0.6086,±,0.0135,0.5923,±,0.0078,0.5642,±,0.0151,0.513,±,0.0156,0.7335,±,0.0061,0.7133,±,0.0085,0.6802,±,0.009,0.6254,±,0.0111,0.0377,±,0.0079,0.0184,±,0.0065,0.0137,±,0.0091,0.009,±,0.0074,0.0359,±,0.0071,0.0184,±,0.0065,0.0137,±,0.0091,0.0085,±,0.0072
PartialOrder__Subset__None,0.0694,±,0.0045,0.0879,±,0.0107,0.1015,±,0.0104,0.1226,±,0.0109,0.4236,±,0.0335,0.5462,±,0.0469,0.6038,±,0.0348,0.658,±,0.0353,0.7487,±,0.0085,0.7324,±,0.0103,0.7022,±,0.0116,0.6604,±,0.0122,0.6159,±,0.0169,0.5992,±,0.013,0.5672,±,0.0169,0.5156,±,0.0163,0.7299,±,0.0084,0.7066,±,0.0104,0.6685,±,0.011,0.613,±,0.0114,0.0311,±,0.0087,0.0165,±,0.0071,0.0142,±,0.0079,0.0085,±,0.0055,0.0293,±,0.0082,0.0165,±,0.0071,0.0142,±,0.0079,0.008,±,0.0056
PreOrder__Hamming__2,0.0133,±,0.001,0.0089,±,0.0026,0.0058,±,0.0026,0.0023,±,0.0011,0.0604,±,0.0124,0.0632,±,0.0152,0.0429,±,0.0153,0.0208,±,0.009,0.7361,±,0.0078,0.723,±,0.0061,0.6977,±,0.0085,0.6478,±,0.0109,0.5717,±,0.0076,0.5616,±,0.0074,0.5381,±,0.0145,0.4919,±,0.0112,0.7326,±,0.0078,0.7205,±,0.006,0.696,±,0.0084,0.647,±,0.0107,0.0264,±,0.0048,0.0132,±,0.0089,0.0137,±,0.0071,0.0028,±,0.0043,0.0264,±,0.0048,0.0132,±,0.0089,0.0137,±,0.0071,0.0028,±,0.0043
PreOrder__Hamming__None,0.0155,±,0.0012,0.0109,±,0.0025,0.0073,±,0.0027,0.0048,±,0.0014,0.0802,±,0.0123,0.0877,±,0.0137,0.0623,±,0.0204,0.0509,±,0.0133,0.7223,±,0.0048,0.6935,±,0.0098,0.6557,±,0.0114,0.5912,±,0.0095,0.6094,±,0.0102,0.5958,±,0.0123,0.5743,±,0.0161,0.5365,±,0.0144,0.7179,±,0.005,0.6901,±,0.0097,0.6531,±,0.0111,0.5893,±,0.0093,0.016,±,0.0048,0.009,±,0.0058,0.0052,±,0.0033,0.0005,±,0.0014,0.016,±,0.0048,0.009,±,0.0058,0.0052,±,0.0033,0.0005,±,0.0014
PreOrder__Subset__2,0.0137,±,0.0014,0.0092,±,0.0025,0.0061,±,0.0027,0.0025,±,0.0011,0.0623,±,0.0131,0.0651,±,0.015,0.0448,±,0.016,0.0226,±,0.0101,0.7307,±,0.0081,0.7191,±,0.0061,0.6972,±,0.0088,0.6483,±,0.0119,0.5474,±,0.0075,0.5415,±,0.0071,0.5252,±,0.0132,0.4808,±,0.0133,0.7269,±,0.0081,0.7165,±,0.0061,0.6953,±,0.0087,0.6475,±,0.0118,0.0236,±,0.0052,0.0123,±,0.0064,0.0127,±,0.0067,0.0038,±,0.0051,0.0236,±,0.0052,0.0123,±,0.0064,0.0127,±,0.0067,0.0038,±,0.0051
PreOrder__Subset__None,0.0155,±,0.0017,0.0112,±,0.0024,0.0077,±,0.0028,0.0049,±,0.0014,0.0792,±,0.0131,0.0915,±,0.0164,0.0651,±,0.0204,0.0528,±,0.0124,0.7232,±,0.0052,0.6937,±,0.0097,0.6555,±,0.0113,0.5916,±,0.0083,0.6102,±,0.01,0.5957,±,0.012,0.5735,±,0.0165,0.5372,±,0.0134,0.7188,±,0.0053,0.6902,±,0.0095,0.6528,±,0.011,0.5897,±,0.0082,0.016,±,0.0048,0.0094,±,0.0047,0.0047,±,0.0037,0.0005,±,0.0014,0.016,±,0.0048,0.0094,±,0.0047,0.0047,±,0.0037,0.0005,±,0.0014
