Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.0210±0.0033,0.0557±0.0042,0.1655±0.0154,0.3690±0.0153,0.2155±0.0181,0.4444±0.0193,0.7755±0.0290,0.9474±0.0175,0.8197±0.0053,0.8275±0.0059,0.8458±0.0048,0.8640±0.0063,0.6671±0.0063,0.6699±0.0080,0.6745±0.0048,0.6612±0.0055,0.8158±0.0052,0.8174±0.0059,0.8152±0.0047,0.7845±0.0086,0.2445±0.0202,0.2398±0.0211,0.2327±0.0204,0.2147±0.0293,0.2445±0.0202,0.2398±0.0211,0.2327±0.0204,0.2112±0.0293
PartialOrder__Hamming__None,0.0217±0.0030,0.0560±0.0041,0.1656±0.0154,0.3688±0.0154,0.2230±0.0164,0.4481±0.0180,0.7768±0.0310,0.9483±0.0172,0.8190±0.0060,0.8253±0.0062,0.8438±0.0055,0.8618±0.0066,0.6749±0.0066,0.6721±0.0081,0.6752±0.0050,0.6601±0.0054,0.8149±0.0060,0.8149±0.0062,0.8128±0.0055,0.7810±0.0092,0.2404±0.0203,0.2278±0.0172,0.2195±0.0211,0.2040±0.0250,0.2404±0.0203,0.2278±0.0172,0.2195±0.0211,0.2003±0.0249
PartialOrder__Subset__2,0.0210±0.0033,0.0556±0.0041,0.1653±0.0154,0.3689±0.0153,0.2151±0.0182,0.4437±0.0192,0.7751±0.0292,0.9472±0.0178,0.8194±0.0052,0.8273±0.0059,0.8457±0.0049,0.8639±0.0064,0.6669±0.0062,0.6697±0.0082,0.6745±0.0052,0.6612±0.0054,0.8156±0.0052,0.8172±0.0058,0.8151±0.0048,0.7844±0.0087,0.2449±0.0205,0.2400±0.0208,0.2327±0.0204,0.2149±0.0289,0.2449±0.0205,0.2400±0.0208,0.2327±0.0204,0.2114±0.0290
PartialOrder__Subset__None,0.0216±0.0029,0.0559±0.0041,0.1653±0.0153,0.3686±0.0153,0.2209±0.0171,0.4468±0.0178,0.7766±0.0311,0.9477±0.0178,0.8185±0.0059,0.8251±0.0062,0.8434±0.0054,0.8614±0.0067,0.6744±0.0061,0.6719±0.0081,0.6748±0.0051,0.6597±0.0055,0.8145±0.0058,0.8147±0.0062,0.8124±0.0056,0.7805±0.0093,0.2404±0.0193,0.2271±0.0176,0.2189±0.0206,0.2040±0.0246,0.2404±0.0193,0.2271±0.0176,0.2189±0.0206,0.2003±0.0246
PreOrder__Hamming__2,0.0001±0.0001,0.0001±0.0001,0.0006±0.0004,0.0022±0.0008,0.0008±0.0010,0.0017±0.0015,0.0081±0.0049,0.0283±0.0105,0.8130±0.0040,0.8102±0.0041,0.8038±0.0047,0.7855±0.0056,0.6319±0.0076,0.6304±0.0075,0.6247±0.0080,0.6168±0.0058,0.8130±0.0040,0.8102±0.0041,0.8037±0.0047,0.7850±0.0057,0.2003±0.0158,0.1893±0.0221,0.1651±0.0273,0.1235±0.0255,0.2003±0.0158,0.1893±0.0221,0.1651±0.0273,0.1235±0.0255
PreOrder__Hamming__None,0.0005±0.0003,0.0009±0.0003,0.0024±0.0007,0.0050±0.0014,0.0070±0.0048,0.0116±0.0037,0.0300±0.0082,0.0633±0.0162,0.8045±0.0050,0.7970±0.0066,0.7753±0.0070,0.7085±0.0093,0.6664±0.0052,0.6636±0.0082,0.6512±0.0087,0.6052±0.0087,0.8044±0.0050,0.7968±0.0066,0.7747±0.0071,0.7070±0.0093,0.2131±0.0197,0.1771±0.0226,0.1101±0.0146,0.0209±0.0096,0.2131±0.0197,0.1771±0.0226,0.1101±0.0146,0.0209±0.0096
PreOrder__Subset__2,0.0001±0.0001,0.0002±0.0002,0.0006±0.0004,0.0022±0.0009,0.0017±0.0015,0.0025±0.0022,0.0085±0.0049,0.0296±0.0112,0.8102±0.0045,0.8080±0.0045,0.8028±0.0042,0.7840±0.0056,0.6164±0.0091,0.6161±0.0080,0.6141±0.0073,0.6073±0.0065,0.8102±0.0044,0.8080±0.0045,0.8027±0.0043,0.7835±0.0056,0.1796±0.0146,0.1647±0.0198,0.1487±0.0229,0.1157±0.0272,0.1796±0.0146,0.1647±0.0198,0.1487±0.0229,0.1157±0.0272
PreOrder__Subset__None,0.0005±0.0004,0.0009±0.0003,0.0026±0.0008,0.0055±0.0015,0.0075±0.0053,0.0118±0.0040,0.0325±0.0087,0.0691±0.0180,0.8050±0.0051,0.7970±0.0069,0.7757±0.0070,0.7086±0.0094,0.6666±0.0055,0.6633±0.0084,0.6516±0.0084,0.6049±0.0088,0.8049±0.0051,0.7968±0.0069,0.7751±0.0071,0.7070±0.0093,0.2139±0.0209,0.1761±0.0221,0.1103±0.0133,0.0199±0.0098,0.2139±0.0209,0.1761±0.0221,0.1103±0.0133,0.0199±0.0098
