Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.8907±0.0186,0.9035±0.0247,0.8980±0.0260,0.8618±0.0147,0.9816±0.0090,0.9964±0.0076,0.9985±0.0023,0.9959±0.0038,0.9838±0.0042,0.9838±0.0040,0.9753±0.0061,0.9496±0.0069,0.5292±0.0699,0.5078±0.0505,0.4400±0.0500,0.2917±0.0419,0.8531±0.0224,0.8298±0.0229,0.7570±0.0318,0.6362±0.0236,0.8763±0.0288,0.8594±0.0269,0.7919±0.0452,0.6324±0.0393,0.5270±0.0706,0.4884±0.0532,0.3785±0.0631,0.1818±0.0482
PartialOrder__Hamming__None,0.8907±0.0186,0.9035±0.0247,0.8979±0.0261,0.8618±0.0147,0.9816±0.0090,0.9964±0.0076,0.9985±0.0023,0.9959±0.0038,0.9839±0.0043,0.9836±0.0039,0.9752±0.0062,0.9494±0.0070,0.5322±0.0722,0.5065±0.0490,0.4406±0.0498,0.2922±0.0411,0.8538±0.0234,0.8283±0.0222,0.7563±0.0315,0.6345±0.0253,0.8763±0.0288,0.8584±0.0264,0.7909±0.0458,0.6319±0.0397,0.5270±0.0706,0.4847±0.0493,0.3758±0.0632,0.1808±0.0482
PartialOrder__Subset__2,0.8907±0.0186,0.9035±0.0247,0.8980±0.0260,0.8617±0.0147,0.9816±0.0090,0.9964±0.0076,0.9985±0.0023,0.9959±0.0038,0.9838±0.0042,0.9838±0.0040,0.9753±0.0061,0.9495±0.0068,0.5292±0.0699,0.5078±0.0505,0.4409±0.0507,0.2906±0.0419,0.8531±0.0224,0.8297±0.0229,0.7572±0.0326,0.6351±0.0234,0.8763±0.0288,0.8594±0.0269,0.7919±0.0450,0.6324±0.0393,0.5270±0.0706,0.4884±0.0532,0.3784±0.0621,0.1818±0.0482
PartialOrder__Subset__None,0.8907±0.0186,0.9035±0.0247,0.8979±0.0260,0.8617±0.0147,0.9816±0.0090,0.9964±0.0076,0.9985±0.0023,0.9959±0.0038,0.9839±0.0043,0.9836±0.0039,0.9753±0.0061,0.9493±0.0070,0.5322±0.0722,0.5065±0.0490,0.4427±0.0496,0.2913±0.0411,0.8538±0.0234,0.8282±0.0221,0.7574±0.0320,0.6336±0.0251,0.8763±0.0288,0.8584±0.0264,0.7914±0.0455,0.6319±0.0397,0.5270±0.0706,0.4847±0.0493,0.3772±0.0624,0.1808±0.0482
PreOrder__Hamming__2,0.8890±0.0185,0.8639±0.0345,0.7856±0.0474,0.5329±0.0444,0.9806±0.0076,0.9882±0.0141,0.9882±0.0069,0.9724±0.0194,0.9842±0.0044,0.9765±0.0069,0.9472±0.0111,0.8445±0.0199,0.5261±0.0873,0.4852±0.0462,0.4083±0.0408,0.3060±0.0287,0.8594±0.0213,0.8268±0.0191,0.7524±0.0190,0.6675±0.0217,0.8742±0.0355,0.8027±0.0471,0.5833±0.0735,0.1492±0.0628,0.5261±0.0873,0.4653±0.0443,0.3160±0.0333,0.0897±0.0358
PreOrder__Hamming__None,0.8849±0.0185,0.8597±0.0351,0.7759±0.0483,0.5155±0.0445,0.9795±0.0065,0.9882±0.0139,0.9882±0.0069,0.9708±0.0196,0.9831±0.0043,0.9753±0.0069,0.9441±0.0118,0.8308±0.0196,0.5180±0.0748,0.4820±0.0441,0.4096±0.0371,0.2997±0.0233,0.8556±0.0193,0.8235±0.0193,0.7495±0.0173,0.6511±0.0185,0.8650±0.0335,0.7935±0.0464,0.5644±0.0778,0.1247±0.0581,0.5127±0.0715,0.4529±0.0471,0.3018±0.0361,0.0744±0.0319
PreOrder__Subset__2,0.8874±0.0188,0.8635±0.0341,0.7847±0.0477,0.5338±0.0456,0.9806±0.0076,0.9882±0.0141,0.9882±0.0069,0.9744±0.0204,0.9838±0.0043,0.9763±0.0069,0.9474±0.0113,0.8443±0.0206,0.5212±0.0751,0.4837±0.0445,0.4116±0.0387,0.3024±0.0301,0.8580±0.0187,0.8257±0.0196,0.7548±0.0188,0.6665±0.0221,0.8702±0.0347,0.8022±0.0464,0.5858±0.0734,0.1487±0.0653,0.5212±0.0751,0.4627±0.0434,0.3220±0.0341,0.0898±0.0384
PreOrder__Subset__None,0.8846±0.0184,0.8605±0.0349,0.7760±0.0487,0.5174±0.0445,0.9785±0.0076,0.9877±0.0139,0.9882±0.0069,0.9724±0.0206,0.9830±0.0041,0.9755±0.0072,0.9442±0.0119,0.8314±0.0201,0.5152±0.0718,0.4819±0.0439,0.4086±0.0351,0.3010±0.0248,0.8547±0.0171,0.8244±0.0194,0.7502±0.0167,0.6512±0.0193,0.8640±0.0321,0.7945±0.0482,0.5628±0.0749,0.1278±0.0567,0.5100±0.0681,0.4555±0.0477,0.3018±0.0307,0.0761±0.0292
