Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6570±0.0130,0.6267±0.0167,0.5029±0.0331,0.4067±0.0205,0.6890±0.0063,0.6590±0.0106,0.5707±0.0136,0.4401±0.0109,0.6848±0.0102,0.7116±0.0102,0.7698±0.0098,0.8460±0.0086,0.6637±0.0059,0.6595±0.0080,0.6268±0.0084,0.5534±0.0087,0.8064±0.0049,0.7905±0.0055,0.7275±0.0101,0.5901±0.0089,0.5633±0.0072,0.5527±0.0102,0.5030±0.0113,0.4089±0.0113,0.4323±0.0100,0.4439±0.0134,0.4541±0.0069,0.4422±0.0062,0.5469±0.0218,0.4710±0.0126,0.3893±0.0082,0.3394±0.0056,0.4327±0.0066,0.4659±0.0117,0.5540±0.0177,0.6991±0.0134,1.0000±0.0000,0.9997±0.0008,0.9986±0.0028,0.9934±0.0061,0.6785±0.0068,0.6698±0.0086,0.6291±0.0089,0.5532±0.0062,0.6822±0.0076,0.6404±0.0100,0.5352±0.0134,0.4128±0.0068,0.6751±0.0111,0.7023±0.0139,0.7634±0.0124,0.8385±0.0103,0.2309±0.0199,0.1909±0.0215,0.1020±0.0171,0.0226±0.0135
PartialOrder__Hamming__None,0.6603±0.0109,0.6287±0.0166,0.5046±0.0320,0.4132±0.0206,0.6795±0.0084,0.6508±0.0108,0.5655±0.0140,0.4369±0.0102,0.7099±0.0108,0.7242±0.0106,0.7792±0.0079,0.8501±0.0082,0.6715±0.0066,0.6613±0.0084,0.6274±0.0090,0.5525±0.0083,0.8053±0.0058,0.7880±0.0059,0.7255±0.0107,0.5879±0.0092,0.5702±0.0078,0.5534±0.0104,0.5024±0.0119,0.4071±0.0105,0.4426±0.0090,0.4485±0.0127,0.4572±0.0077,0.4426±0.0063,0.5437±0.0196,0.4690±0.0101,0.3890±0.0092,0.3389±0.0057,0.4538±0.0073,0.4784±0.0108,0.5641±0.0170,0.7036±0.0147,1.0000±0.0000,1.0000±0.0000,0.9989±0.0025,0.9942±0.0060,0.6847±0.0078,0.6712±0.0086,0.6303±0.0096,0.5532±0.0062,0.6715±0.0097,0.6325±0.0096,0.5324±0.0139,0.4117±0.0068,0.6985±0.0118,0.7152±0.0132,0.7729±0.0108,0.8428±0.0102,0.2242±0.0208,0.1791±0.0181,0.0923±0.0145,0.0159±0.0096
PartialOrder__Subset__2,0.6562±0.0128,0.6266±0.0166,0.5022±0.0324,0.4068±0.0204,0.6880±0.0061,0.6588±0.0108,0.5708±0.0134,0.4400±0.0108,0.6849±0.0093,0.7115±0.0102,0.7699±0.0097,0.8461±0.0085,0.6636±0.0057,0.6594±0.0081,0.6268±0.0084,0.5533±0.0086,0.8062±0.0049,0.7904±0.0055,0.7275±0.0102,0.5900±0.0088,0.5632±0.0073,0.5526±0.0102,0.5030±0.0112,0.4088±0.0113,0.4326±0.0099,0.4438±0.0134,0.4545±0.0063,0.4422±0.0061,0.5465±0.0219,0.4709±0.0129,0.3896±0.0082,0.3394±0.0055,0.4332±0.0062,0.4659±0.0115,0.5543±0.0175,0.6992±0.0134,1.0000±0.0000,0.9997±0.0008,0.9981±0.0028,0.9934±0.0061,0.6784±0.0067,0.6696±0.0086,0.6292±0.0089,0.5531±0.0061,0.6815±0.0076,0.6402±0.0102,0.5353±0.0134,0.4127±0.0067,0.6755±0.0107,0.7021±0.0137,0.7636±0.0126,0.8385±0.0105,0.2313±0.0201,0.1916±0.0213,0.1022±0.0168,0.0226±0.0135
PartialOrder__Subset__None,0.6610±0.0104,0.6292±0.0164,0.5053±0.0316,0.4133±0.0205,0.6788±0.0081,0.6507±0.0108,0.5652±0.0140,0.4366±0.0102,0.7093±0.0104,0.7241±0.0106,0.7789±0.0082,0.8501±0.0084,0.6709±0.0062,0.6612±0.0084,0.6271±0.0090,0.5523±0.0083,0.8048±0.0055,0.7879±0.0058,0.7253±0.0107,0.5877±0.0091,0.5695±0.0072,0.5533±0.0104,0.5021±0.0118,0.4068±0.0105,0.4417±0.0089,0.4481±0.0126,0.4567±0.0073,0.4424±0.0063,0.5408±0.0179,0.4683±0.0097,0.3885±0.0088,0.3388±0.0056,0.4532±0.0068,0.4781±0.0109,0.5636±0.0171,0.7035±0.0147,1.0000±0.0000,1.0000±0.0000,0.9989±0.0025,0.9942±0.0060,0.6840±0.0074,0.6711±0.0085,0.6300±0.0095,0.5530±0.0061,0.6707±0.0093,0.6324±0.0095,0.5321±0.0138,0.4116±0.0067,0.6979±0.0113,0.7150±0.0131,0.7727±0.0110,0.8428±0.0104,0.2242±0.0196,0.1791±0.0184,0.0923±0.0146,0.0155±0.0093
PreOrder__Hamming__2,0.7456±0.0120,0.7434±0.0117,0.7311±0.0159,0.6613±0.0155,0.7328±0.0084,0.7276±0.0084,0.7103±0.0094,0.6613±0.0110,0.6002±0.0129,0.6003±0.0119,0.6015±0.0162,0.6211±0.0102,0.6319±0.0076,0.6304±0.0075,0.6246±0.0079,0.6158±0.0059,0.8129±0.0040,0.8102±0.0041,0.8033±0.0047,0.7836±0.0058,0.5295±0.0075,0.5258±0.0092,0.5169±0.0098,0.4996±0.0096,0.3791±0.0081,0.3739±0.0089,0.3735±0.0107,0.3894±0.0063,0.6452±0.0624,0.6215±0.0547,0.5549±0.0493,0.4592±0.0262,0.3516±0.0080,0.3501±0.0084,0.3530±0.0125,0.3828±0.0072,1.0000±0.0000,1.0000±0.0000,0.9998±0.0006,0.9929±0.0037,0.6573±0.0072,0.6538±0.0078,0.6458±0.0087,0.6318±0.0069,0.7376±0.0078,0.7296±0.0081,0.7101±0.0102,0.6516±0.0109,0.5930±0.0132,0.5924±0.0131,0.5926±0.0173,0.6135±0.0121,0.2003±0.0158,0.1891±0.0221,0.1647±0.0277,0.1227±0.0257
PreOrder__Hamming__None,0.6897±0.0141,0.6740±0.0177,0.6317±0.0205,0.5345±0.0390,0.6763±0.0083,0.6592±0.0121,0.6149±0.0133,0.5197±0.0124,0.7002±0.0115,0.7149±0.0100,0.7430±0.0118,0.7849±0.0111,0.6662±0.0051,0.6635±0.0082,0.6501±0.0089,0.6031±0.0088,0.8042±0.0049,0.7964±0.0066,0.7733±0.0073,0.7043±0.0092,0.5633±0.0057,0.5557±0.0103,0.5326±0.0099,0.4653±0.0103,0.4256±0.0092,0.4296±0.0131,0.4389±0.0088,0.4403±0.0115,0.5841±0.0319,0.5255±0.0245,0.4418±0.0168,0.3666±0.0104,0.4380±0.0091,0.4544±0.0086,0.4912±0.0073,0.5643±0.0172,1.0000±0.0000,1.0000±0.0000,0.9997±0.0008,0.9964±0.0047,0.6804±0.0060,0.6766±0.0085,0.6617±0.0086,0.6140±0.0083,0.6724±0.0091,0.6517±0.0118,0.6036±0.0129,0.5077±0.0106,0.6889±0.0115,0.7036±0.0111,0.7324±0.0104,0.7770±0.0121,0.2122±0.0188,0.1771±0.0226,0.1084±0.0144,0.0199±0.0095
PreOrder__Subset__2,0.7758±0.0119,0.7706±0.0111,0.7542±0.0157,0.6752±0.0149,0.7404±0.0067,0.7346±0.0063,0.7190±0.0098,0.6654±0.0109,0.5714±0.0146,0.5733±0.0122,0.5788±0.0146,0.6007±0.0103,0.6163±0.0091,0.6161±0.0081,0.6140±0.0072,0.6061±0.0066,0.8101±0.0044,0.8079±0.0045,0.8023±0.0043,0.7821±0.0058,0.5126±0.0095,0.5097±0.0095,0.5049±0.0086,0.4891±0.0105,0.3604±0.0093,0.3582±0.0102,0.3605±0.0094,0.3784±0.0068,0.6261±0.0679,0.6292±0.0570,0.5549±0.0490,0.4554±0.0235,0.3289±0.0085,0.3290±0.0084,0.3346±0.0109,0.3659±0.0077,1.0000±0.0000,1.0000±0.0000,0.9998±0.0006,0.9919±0.0033,0.6437±0.0084,0.6411±0.0083,0.6358±0.0080,0.6224±0.0074,0.7449±0.0060,0.7376±0.0061,0.7186±0.0106,0.6546±0.0110,0.5669±0.0142,0.5670±0.0130,0.5706±0.0153,0.5934±0.0122,0.1796±0.0146,0.1645±0.0197,0.1485±0.0233,0.1146±0.0276
PreOrder__Subset__None,0.6898±0.0158,0.6744±0.0184,0.6309±0.0193,0.5322±0.0423,0.6773±0.0082,0.6592±0.0122,0.6152±0.0126,0.5192±0.0122,0.6993±0.0121,0.7142±0.0101,0.7431±0.0113,0.7838±0.0114,0.6664±0.0054,0.6631±0.0085,0.6504±0.0085,0.6025±0.0089,0.8047±0.0050,0.7964±0.0069,0.7736±0.0072,0.7040±0.0089,0.5635±0.0059,0.5553±0.0104,0.5331±0.0093,0.4647±0.0103,0.4267±0.0097,0.4288±0.0128,0.4398±0.0072,0.4402±0.0121,0.5870±0.0326,0.5282±0.0258,0.4455±0.0141,0.3663±0.0104,0.4379±0.0094,0.4535±0.0083,0.4916±0.0074,0.5643±0.0178,1.0000±0.0000,1.0000±0.0000,0.9997±0.0008,0.9964±0.0047,0.6808±0.0061,0.6763±0.0089,0.6620±0.0082,0.6136±0.0085,0.6738±0.0089,0.6518±0.0119,0.6040±0.0121,0.5074±0.0105,0.6882±0.0116,0.7029±0.0111,0.7325±0.0105,0.7762±0.0129,0.2127±0.0204,0.1761±0.0221,0.1084±0.0131,0.0186±0.0096
br,0.7799±0.0118,0.7738±0.0153,0.7496±0.0202,0.6818±0.0135,0.7393±0.0078,0.7313±0.0096,0.7112±0.0085,0.6628±0.0115,0.5636±0.0121,0.5589±0.0140,0.5504±0.0122,0.5310±0.0141,0.6093±0.0074,0.6047±0.0086,0.5913±0.0060,0.5577±0.0092,0.8091±0.0040,0.8059±0.0048,0.7975±0.0030,0.7746±0.0032,0.5035±0.0095,0.4966±0.0094,0.4803±0.0055,0.4393±0.0090,0.3626±0.0080,0.3573±0.0107,0.3561±0.0104,0.3602±0.0105,0.6401±0.0548,0.6218±0.0528,0.5597±0.0264,0.4618±0.0220,0.3247±0.0081,0.3222±0.0105,0.3217±0.0115,0.3265±0.0095,1.0000±0.0000,1.0000±0.0000,0.9998±0.0006,0.9945±0.0035,0.6392±0.0077,0.6340±0.0085,0.6203±0.0051,0.5859±0.0077,0.7469±0.0085,0.7385±0.0107,0.7172±0.0111,0.6599±0.0132,0.5589±0.0129,0.5557±0.0146,0.5468±0.0128,0.5271±0.0126,0.1667±0.0175,0.1506±0.0133,0.1254±0.0115,0.0782±0.0120
cc,0.7515±0.0154,0.7705±0.0141,0.7577±0.0057,0.6870±0.0191,0.7275±0.0083,0.7327±0.0091,0.7184±0.0109,0.6629±0.0149,0.5814±0.0182,0.5649±0.0139,0.5542±0.0086,0.5404±0.0100,0.6117±0.0098,0.6044±0.0090,0.5955±0.0073,0.5647±0.0097,0.8082±0.0049,0.8069±0.0042,0.8002±0.0046,0.7762±0.0059,0.5134±0.0102,0.5018±0.0089,0.4880±0.0090,0.4474±0.0109,0.3793±0.0125,0.3627±0.0110,0.3518±0.0128,0.3558±0.0097,0.6016±0.0616,0.5999±0.0579,0.5680±0.0423,0.4446±0.0216,0.3460±0.0121,0.3278±0.0090,0.3201±0.0085,0.3283±0.0087,1.0000±0.0000,1.0000±0.0000,0.9998±0.0006,0.9951±0.0039,0.6451±0.0088,0.6368±0.0075,0.6246±0.0079,0.5924±0.0086,0.7330±0.0055,0.7393±0.0073,0.7243±0.0138,0.6603±0.0143,0.5764±0.0161,0.5594±0.0121,0.5491±0.0093,0.5374±0.0103,0.2201±0.0155,0.1849±0.0154,0.1487±0.0164,0.0799±0.0161
