Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.4391±0.0409,0.4726±0.0738,0.5462±0.0974,0.6465±0.0879,0.3758±0.0454,0.3264±0.0484,0.2730±0.0315,0.2440±0.0266,0.7731±0.0703,0.8060±0.0629,0.8482±0.0370,0.8725±0.0567,0.4634±0.0404,0.4247±0.0494,0.3874±0.0273,0.3685±0.0330,0.5782±0.0251,0.5038±0.0587,0.4376±0.0498,0.3874±0.0529,0.3593±0.0429,0.3116±0.0448,0.2654±0.0300,0.2418±0.0271,0.3516±0.0360,0.3240±0.0241,0.3238±0.0181,0.3132±0.0221,0.2550±0.0221,0.2283±0.0192,0.2226±0.0124,0.2134±0.0162,0.6697±0.0985,0.6840±0.0839,0.7500±0.0927,0.7683±0.0885,0.7736±0.0406,0.8278±0.0966,0.8772±0.0796,0.9263±0.0592,0.4256±0.0242,0.3970±0.0467,0.3818±0.0232,0.3678±0.0295,0.2942±0.0165,0.2647±0.0370,0.2465±0.0198,0.2330±0.0206,0.7719±0.0636,0.7998±0.0623,0.8538±0.0379,0.8762±0.0575,0.1308±0.0571,0.0750±0.0415,0.0265±0.0292,0.0073±0.0111
PartialOrder__Hamming__None,0.4501±0.0359,0.4757±0.0728,0.5560±0.0929,0.6517±0.0821,0.3730±0.0471,0.3230±0.0496,0.2724±0.0301,0.2438±0.0265,0.7803±0.0774,0.8072±0.0658,0.8506±0.0365,0.8749±0.0565,0.4646±0.0464,0.4228±0.0515,0.3875±0.0261,0.3686±0.0331,0.5773±0.0275,0.5030±0.0588,0.4368±0.0499,0.3870±0.0531,0.3590±0.0480,0.3083±0.0465,0.2648±0.0284,0.2415±0.0270,0.3532±0.0393,0.3240±0.0256,0.3245±0.0186,0.3138±0.0220,0.2560±0.0249,0.2281±0.0203,0.2229±0.0123,0.2135±0.0162,0.6743±0.1036,0.6848±0.0852,0.7583±0.0979,0.7711±0.0868,0.8126±0.0405,0.8363±0.0929,0.8807±0.0727,0.9299±0.0603,0.4277±0.0281,0.3971±0.0478,0.3821±0.0230,0.3682±0.0297,0.2950±0.0188,0.2645±0.0374,0.2465±0.0197,0.2332±0.0207,0.7803±0.0719,0.8017±0.0667,0.8559±0.0373,0.8784±0.0577,0.1259±0.0606,0.0678±0.0390,0.0242±0.0240,0.0073±0.0111
PartialOrder__Subset__2,0.4348±0.0433,0.4717±0.0746,0.5462±0.0974,0.6465±0.0879,0.3733±0.0490,0.3276±0.0508,0.2730±0.0315,0.2440±0.0266,0.7682±0.0777,0.8060±0.0629,0.8482±0.0370,0.8725±0.0567,0.4601±0.0456,0.4255±0.0509,0.3874±0.0273,0.3685±0.0330,0.5774±0.0259,0.5042±0.0595,0.4376±0.0498,0.3874±0.0529,0.3568±0.0460,0.3128±0.0474,0.2654±0.0300,0.2418±0.0271,0.3509±0.0366,0.3242±0.0242,0.3238±0.0181,0.3132±0.0221,0.2548±0.0224,0.2286±0.0194,0.2226±0.0124,0.2134±0.0162,0.6677±0.0991,0.6840±0.0839,0.7500±0.0927,0.7683±0.0885,0.7531±0.0305,0.8278±0.0966,0.8772±0.0796,0.9263±0.0592,0.4238±0.0275,0.3972±0.0472,0.3818±0.0232,0.3678±0.0295,0.2930±0.0184,0.2650±0.0376,0.2465±0.0198,0.2330±0.0206,0.7680±0.0702,0.7998±0.0623,0.8538±0.0379,0.8762±0.0575,0.1308±0.0571,0.0775±0.0461,0.0265±0.0292,0.0073±0.0111
PartialOrder__Subset__None,0.4501±0.0359,0.4757±0.0728,0.5560±0.0929,0.6499±0.0839,0.3730±0.0471,0.3230±0.0496,0.2724±0.0301,0.2430±0.0264,0.7803±0.0774,0.8072±0.0658,0.8506±0.0365,0.8725±0.0567,0.4646±0.0464,0.4228±0.0515,0.3875±0.0261,0.3674±0.0327,0.5773±0.0275,0.5030±0.0588,0.4368±0.0499,0.3858±0.0515,0.3590±0.0480,0.3083±0.0465,0.2648±0.0284,0.2407±0.0268,0.3532±0.0393,0.3240±0.0256,0.3245±0.0186,0.3125±0.0223,0.2560±0.0249,0.2281±0.0203,0.2229±0.0123,0.2127±0.0166,0.6743±0.1036,0.6848±0.0852,0.7583±0.0979,0.7683±0.0885,0.8126±0.0405,0.8363±0.0929,0.8807±0.0727,0.9299±0.0603,0.4277±0.0281,0.3971±0.0478,0.3821±0.0230,0.3672±0.0294,0.2950±0.0188,0.2645±0.0374,0.2465±0.0197,0.2324±0.0205,0.7803±0.0719,0.8017±0.0667,0.8559±0.0373,0.8762±0.0575,0.1259±0.0606,0.0678±0.0390,0.0242±0.0240,0.0073±0.0111
PreOrder__Hamming__2,0.3651±0.0646,0.3830±0.0574,0.3918±0.0883,0.3979±0.1057,0.4012±0.0526,0.3826±0.0743,0.3550±0.0591,0.3213±0.0425,0.6804±0.0413,0.6703±0.0733,0.6833±0.0701,0.6835±0.0858,0.4554±0.0464,0.4393±0.0676,0.4303±0.0522,0.4097±0.0418,0.6008±0.0364,0.5855±0.0625,0.6010±0.0706,0.5938±0.0689,0.3749±0.0453,0.3527±0.0650,0.3307±0.0522,0.3053±0.0391,0.3379±0.0437,0.3122±0.0325,0.3306±0.0364,0.3183±0.0393,0.2577±0.0285,0.2391±0.0289,0.2536±0.0328,0.2394±0.0243,0.5981±0.1136,0.5597±0.1013,0.5786±0.0993,0.5708±0.1340,0.6059±0.0890,0.6607±0.1194,0.6843±0.1016,0.7626±0.1245,0.4094±0.0284,0.3942±0.0577,0.4124±0.0514,0.4080±0.0444,0.2931±0.0233,0.2832±0.0516,0.2979±0.0474,0.2930±0.0378,0.6802±0.0390,0.6580±0.0770,0.6818±0.0652,0.6852±0.0884,0.2033±0.0460,0.1644±0.0629,0.1015±0.0572,0.0630±0.0616
PreOrder__Hamming__None,0.4134±0.0607,0.4205±0.0658,0.4393±0.0784,0.4177±0.0886,0.3876±0.0449,0.3716±0.0698,0.3343±0.0463,0.3134±0.0393,0.7100±0.0557,0.7132±0.0704,0.7281±0.0651,0.7445±0.0566,0.4555±0.0427,0.4458±0.0646,0.4299±0.0450,0.4192±0.0388,0.6007±0.0324,0.5839±0.0598,0.5868±0.0617,0.5774±0.0653,0.3617±0.0403,0.3507±0.0611,0.3184±0.0430,0.3010±0.0383,0.3397±0.0515,0.3228±0.0346,0.3299±0.0300,0.3256±0.0306,0.2572±0.0365,0.2427±0.0276,0.2462±0.0252,0.2362±0.0189,0.6057±0.1197,0.5877±0.1021,0.5989±0.0890,0.6180±0.1190,0.6466±0.0606,0.7112±0.0964,0.7604±0.1022,0.8230±0.1307,0.4173±0.0302,0.4101±0.0554,0.4189±0.0457,0.4188±0.0380,0.2967±0.0219,0.2902±0.0475,0.2954±0.0399,0.2928±0.0336,0.7046±0.0578,0.7074±0.0779,0.7276±0.0591,0.7438±0.0591,0.1499±0.0425,0.1353±0.0594,0.0628±0.0447,0.0340±0.0348
PreOrder__Subset__2,0.3586±0.0644,0.3794±0.0522,0.3839±0.0867,0.3949±0.0998,0.4039±0.0533,0.3792±0.0800,0.3541±0.0522,0.3224±0.0459,0.6707±0.0399,0.6498±0.0724,0.6736±0.0659,0.6715±0.0846,0.4520±0.0472,0.4311±0.0728,0.4256±0.0473,0.4073±0.0419,0.6000±0.0368,0.5815±0.0653,0.5990±0.0671,0.5935±0.0717,0.3724±0.0502,0.3488±0.0713,0.3274±0.0461,0.3063±0.0421,0.3363±0.0438,0.3071±0.0330,0.3264±0.0332,0.3133±0.0336,0.2582±0.0285,0.2359±0.0275,0.2506±0.0301,0.2367±0.0205,0.5925±0.1137,0.5509±0.1031,0.5714±0.0963,0.5632±0.1302,0.5836±0.0916,0.6476±0.1276,0.6842±0.0903,0.7523±0.1360,0.4047±0.0287,0.3858±0.0595,0.4073±0.0500,0.4037±0.0442,0.2905±0.0236,0.2779±0.0537,0.2943±0.0461,0.2913±0.0393,0.6685±0.0407,0.6403±0.0750,0.6717±0.0627,0.6730±0.0883,0.2033±0.0630,0.1740±0.0698,0.1015±0.0481,0.0727±0.0653
PreOrder__Subset__None,0.4161±0.0579,0.4213±0.0575,0.4442±0.0805,0.4142±0.0888,0.3846±0.0470,0.3704±0.0697,0.3362±0.0458,0.3131±0.0403,0.7196±0.0497,0.7108±0.0723,0.7313±0.0693,0.7421±0.0537,0.4563±0.0415,0.4443±0.0646,0.4320±0.0441,0.4180±0.0381,0.6015±0.0316,0.5823±0.0587,0.5885±0.0602,0.5766±0.0650,0.3602±0.0416,0.3496±0.0609,0.3205±0.0424,0.3002±0.0386,0.3408±0.0526,0.3210±0.0337,0.3317±0.0296,0.3239±0.0259,0.2578±0.0376,0.2413±0.0270,0.2474±0.0246,0.2350±0.0162,0.6094±0.1184,0.5843±0.1016,0.6030±0.0894,0.6143±0.1146,0.6561±0.0515,0.7087±0.0896,0.7623±0.0990,0.8256±0.1294,0.4204±0.0270,0.4083±0.0551,0.4209±0.0447,0.4176±0.0381,0.2984±0.0193,0.2888±0.0470,0.2968±0.0391,0.2921±0.0342,0.7123±0.0523,0.7053±0.0797,0.7312±0.0602,0.7417±0.0570,0.1452±0.0468,0.1353±0.0594,0.0628±0.0486,0.0340±0.0348
br,0.6610±0.0282,0.6149±0.0242,0.6029±0.0629,0.5495±0.0678,0.3216±0.0598,0.3313±0.0781,0.3003±0.0515,0.2778±0.0741,0.2927±0.0673,0.3159±0.0605,0.2979±0.0484,0.3190±0.0890,0.2999±0.0619,0.3119±0.0659,0.2877±0.0412,0.2790±0.0753,0.8221±0.0193,0.8096±0.0265,0.8024±0.0181,0.7549±0.0322,0.2854±0.0601,0.2894±0.0632,0.2651±0.0345,0.2430±0.0675,0.2495±0.0935,0.2545±0.0721,0.2765±0.1148,0.2410±0.0959,0.3096±0.0656,0.2956±0.0569,0.3640±0.1575,0.2947±0.1424,0.2208±0.1007,0.2357±0.0804,0.2514±0.1111,0.2523±0.1041,1.0000±0.0000,1.0000±0.0000,0.9857±0.0429,0.9639±0.0337,0.3832±0.0752,0.3940±0.0808,0.3701±0.0577,0.3370±0.0902,0.6438±0.0884,0.5584±0.1191,0.5301±0.0899,0.3742±0.0868,0.2761±0.0690,0.3059±0.0655,0.2880±0.0530,0.3122±0.0950,0.2419±0.0563,0.2225±0.0610,0.1981±0.0260,0.1423±0.0595
cc,0.6627±0.0327,0.6447±0.0401,0.6299±0.0568,0.5756±0.0643,0.3075±0.0760,0.3117±0.0620,0.3197±0.0917,0.2445±0.0582,0.2808±0.0755,0.2946±0.0608,0.3098±0.0889,0.2898±0.0691,0.2857±0.0727,0.2931±0.0577,0.3026±0.0824,0.2493±0.0585,0.8181±0.0164,0.8104±0.0177,0.8076±0.0211,0.7454±0.0358,0.2688±0.0685,0.2733±0.0539,0.2785±0.0721,0.2176±0.0533,0.2414±0.0996,0.2357±0.0816,0.2609±0.0821,0.2188±0.0507,0.2954±0.0837,0.2836±0.0674,0.3577±0.1038,0.2736±0.0608,0.2149±0.1033,0.2147±0.0909,0.2346±0.0847,0.2398±0.0830,1.0000±0.0000,1.0000±0.0000,0.9949±0.0101,0.9349±0.0504,0.3659±0.0783,0.3768±0.0658,0.3829±0.0841,0.3121±0.0601,0.6169±0.0555,0.5656±0.0822,0.5597±0.1229,0.3551±0.0666,0.2636±0.0702,0.2854±0.0607,0.3020±0.0891,0.2879±0.0777,0.2179±0.0567,0.2152±0.0461,0.2075±0.0582,0.1329±0.0465
