Dataset,Prediction_Type,Metric,Noise_Level,Best_Algorithm,Best_Value,Worst_Algorithm,Worst_Value,Range
emotions,BinaryVector,f1,0.3,PreOrder__Hamming__2,0.5995,clr,0.2873,0.31220000000000003
emotions,BinaryVector,subset0_1,0.0,br,0.3305,clr,0.1333,0.19720000000000001
emotions,BinaryVector,subset0_1,0.1,PreOrder__Hamming__2,0.3136,clr,0.1392,0.1744
emotions,BinaryVector,subset0_1,0.2,br,0.2598,clr,0.1299,0.1299
emotions,BinaryVector,subset0_1,0.3,PreOrder__Hamming__2,0.1881,PartialOrder__Hamming__2,0.0489,0.1392
HumanPseAAC,PartialAbstention,hamming_accuracy_pa,0.0,PartialOrder__Hamming__2,0.8868,PreOrder__Subset__2,0.8729,0.013900000000000023
HumanPseAAC,PartialAbstention,hamming_accuracy_pa,0.1,PartialOrder__Hamming__None,0.8597,PreOrder__Subset__None,0.8445,0.015199999999999991
HumanPseAAC,PartialAbstention,hamming_accuracy_pa,0.2,PreOrder__Hamming__2,0.8108,PartialOrder__Subset__None,0.7974,0.013399999999999967
HumanPseAAC,PartialAbstention,hamming_accuracy_pa,0.3,PreOrder__Subset__2,0.7374,PartialOrder__Hamming__None,0.6841,0.053300000000000014
HumanPseAAC,PartialAbstention,f1_pa,0.0,PartialOrder__Hamming__None,0.5564,PreOrder__Hamming__2,0.5382,0.018199999999999994
HumanPseAAC,PartialAbstention,f1_pa,0.1,PartialOrder__Subset__None,0.5455,PreOrder__Subset__None,0.5087,0.036799999999999944
HumanPseAAC,PartialAbstention,f1_pa,0.2,PartialOrder__Subset__2,0.4837,PreOrder__Hamming__None,0.4529,0.030799999999999994
HumanPseAAC,PartialAbstention,f1_pa,0.3,PartialOrder__Subset__2,0.3891,PreOrder__Subset__None,0.365,0.02410000000000001
HumanPseAAC,PartialAbstention,subset0_1_pa,0.0,PartialOrder__Hamming__2,0.5252,PreOrder__Subset__None,0.4951,0.030100000000000016
HumanPseAAC,PartialAbstention,subset0_1_pa,0.1,PartialOrder__Hamming__2,0.4993,PreOrder__Hamming__None,0.4331,0.06620000000000004
HumanPseAAC,PartialAbstention,subset0_1_pa,0.2,PartialOrder__Hamming__2,0.4052,PreOrder__Hamming__None,0.2973,0.1079
HumanPseAAC,PartialAbstention,subset0_1_pa,0.3,PartialOrder__Subset__2,0.2776,PreOrder__Hamming__None,0.0753,0.2023
HumanPseAAC,PartialAbstention,arec,0.0,PartialOrder__Hamming__2,0.9823,PreOrder__Subset__None,0.9779,0.0043999999999999595
HumanPseAAC,PartialAbstention,arec,0.1,PartialOrder__Hamming__2,0.9819,PreOrder__Hamming__None,0.9686,0.013299999999999979
HumanPseAAC,PartialAbstention,arec,0.2,PartialOrder__Hamming__2,0.9774,PreOrder__Subset__None,0.9416,0.035800000000000054
HumanPseAAC,PartialAbstention,arec,0.3,PartialOrder__Hamming__2,0.9614,PreOrder__Hamming__None,0.8468,0.11460000000000004
HumanPseAAC,PartialAbstention,aabs,0.0,PartialOrder__Hamming__2,0.8429,PreOrder__Subset__None,0.8255,0.01739999999999997
HumanPseAAC,PartialAbstention,aabs,0.1,PartialOrder__Hamming__2,0.8706,PreOrder__Hamming__None,0.7964,0.07420000000000004
HumanPseAAC,PartialAbstention,aabs,0.2,PartialOrder__Hamming__2,0.8875,PreOrder__Hamming__None,0.6997,0.18779999999999997
HumanPseAAC,PartialAbstention,aabs,0.3,PartialOrder__Subset__2,0.8771,PreOrder__Hamming__None,0.4542,0.4229
VirusPseAAC,PartialAbstention,hamming_accuracy_pa,0.0,PreOrder__Hamming__2,0.7854,PreOrder__Hamming__None,0.7777,0.00770000000000004
VirusPseAAC,PartialAbstention,hamming_accuracy_pa,0.1,PartialOrder__Subset__2,0.7747,PreOrder__Hamming__None,0.7656,0.009100000000000108
