Dataset,Prediction_Type,Metric,Noise_Level,Best_Algorithm,Best_Value,Worst_Algorithm,Worst_Value,Range
emotions,PartialAbstention,subset0_1_pa,0.1,PartialOrder__Hamming__2,0.4222,PreOrder__Hamming__None,0.3274,0.0948
emotions,PartialAbstention,subset0_1_pa,0.2,PartialOrder__Hamming__2,0.4199,PreOrder__Hamming__None,0.259,0.1609
emotions,PartialAbstention,subset0_1_pa,0.3,PartialOrder__Subset__2,0.3653,PreOrder__Subset__None,0.145,0.22030000000000002
emotions,PartialAbstention,arec,0.0,PartialOrder__Subset__2,0.8308,PreOrder__Hamming__None,0.8128,0.018000000000000016
emotions,PartialAbstention,arec,0.1,PartialOrder__Hamming__2,0.8501,PreOrder__Hamming__None,0.8104,0.03969999999999996
emotions,PartialAbstention,arec,0.2,PartialOrder__Hamming__2,0.8607,PreOrder__Hamming__None,0.785,0.07569999999999999
emotions,PartialAbstention,arec,0.3,PartialOrder__Hamming__2,0.8541,PreOrder__Subset__None,0.7162,0.13790000000000002
emotions,PartialAbstention,aabs,0.0,PartialOrder__Subset__2,0.084,PreOrder__Hamming__2,0.0433,0.04070000000000001
emotions,PartialAbstention,aabs,0.1,PartialOrder__Subset__2,0.1637,PreOrder__Hamming__None,0.0462,0.11750000000000002
emotions,PartialAbstention,aabs,0.2,PartialOrder__Subset__2,0.2735,PreOrder__Hamming__2,0.0513,0.2222
emotions,PartialAbstention,aabs,0.3,PartialOrder__Hamming__None,0.4089,PreOrder__Hamming__2,0.0421,0.3668
