Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9569±0.0067,0.9220±0.0114,0.8444±0.0163,0.4503±0.0364,0.3245±0.0220,0.2479±0.0193,0.1517±0.0174,0.8201±0.0244,0.6915±0.0282,0.4787±0.0451,0.2149±0.0350,1.9186±0.3147,2.5009±0.3376,3.9693±0.5327,7.7810±0.8631,0.8785±0.0191,0.8391±0.0167,0.7332±0.0239,0.4957±0.0375,0.1636±0.0268,0.1888±0.0263,0.3084±0.0318,0.5863±0.0470,0.0279±0.0074,0.0395±0.0072,0.0674±0.0119,0.1462±0.0177
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9785±0.0044,0.9555±0.0092,0.9196±0.0117,0.8414±0.0178,0.4503±0.0364,0.3282±0.0253,0.2484±0.0290,0.1482±0.0144,0.8201±0.0244,0.6924±0.0328,0.4832±0.0478,0.2073±0.0258,1.9186±0.3147,2.5878±0.4571,4.1965±0.5417,7.7893±0.8895,0.8785±0.0191,0.8376±0.0188,0.7291±0.0251,0.4930±0.0292,0.1636±0.0268,0.1879±0.0240,0.3128±0.0332,0.5855±0.0344,0.0279±0.0074,0.0405±0.0098,0.0720±0.0121,0.1464±0.0189
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.9790±0.0034,0.9567±0.0079,0.9243±0.0107,0.8490±0.0135,0.4569±0.0424,0.3205±0.0232,0.2367±0.0195,0.1440±0.0162,0.8184±0.0272,0.6766±0.0340,0.4538±0.0537,0.2110±0.0393,1.9361±0.2740,2.5355±0.4342,3.9122±0.4842,7.4096±0.6445,0.8807±0.0161,0.8396±0.0167,0.7366±0.0241,0.5296±0.0330,0.1595±0.0248,0.1882±0.0238,0.3110±0.0325,0.5431±0.0466,0.0281±0.0073,0.0403±0.0097,0.0666±0.0099,0.1387±0.0130
