solver,L,metric,height,encode_s,mean_solve_s,median_solve_s,p95_solve_s,max_solve_s,n_timed
highs,6,Hamming,full,0.0009960895404219627,0.004365242999047041,0.0030199780594557524,0.003196937753818929,0.1352914059534669,100
highs,6,Hamming,h2,0.0006511700339615345,0.0018111372366547585,0.0018039958085864782,0.0018566275713965297,0.0018779747188091278,100
highs,6,Subset,full,0.0008136052638292313,0.0029995909007266165,0.0029900420922785997,0.003072470217011869,0.004075007978826761,100
highs,6,Subset,h2,0.0006243470124900341,0.0018184951040893793,0.001812617527320981,0.0018664449453353882,0.0018933871760964394,100
highs,10,Hamming,full,0.0031173089519143105,0.009242577729746699,0.009221613872796297,0.009850516845472156,0.010200599674135447,100
highs,10,Hamming,h2,0.0020352909341454506,0.0044507725816220044,0.0043362644501030445,0.004932137043215335,0.0051721506752073765,100
highs,10,Subset,full,0.0030870409682393074,0.008364314157515764,0.00839311652816832,0.008547354955226183,0.008748583029955626,100
highs,10,Subset,h2,0.002003613393753767,0.004476043405011296,0.004372417461127043,0.004988626134581863,0.005262117832899094,100
highs,14,Hamming,full,0.008667789865285158,0.02615053107496351,0.025991261703893542,0.027904298738576472,0.030710779130458832,100
highs,14,Hamming,h2,0.005476057063788176,0.009669979391619564,0.009465195937082171,0.010237443214282393,0.01059323688969016,100
highs,14,Subset,full,0.008679145947098732,0.02307111894246191,0.022873839363455772,0.023752252827398478,0.03430710360407829,100
highs,14,Subset,h2,0.005476931110024452,0.009676669668406248,0.009477929910644889,0.01030812442768365,0.010585019830614328,100
highs,19,Hamming,full,0.02230702480301261,0.07267950661480427,0.07132041198201478,0.07911948433611542,0.13804817805066705,100
highs,19,Hamming,h2,0.013776740990579128,0.02355261068791151,0.02334736124612391,0.02456890468019992,0.025961107574403286,100
highs,19,Subset,full,0.02247290499508381,0.06013609924353659,0.059675206895917654,0.06324347963090986,0.06653259880840778,100
highs,19,Subset,h2,0.013763855211436749,0.02259303509723395,0.02247293759137392,0.023518418497405946,0.025028684176504612,100
highs,25,Hamming,full,0.05289778206497431,0.17444909934420139,0.1617048578336835,0.21865687409881499,0.7904093959368765,100
highs,25,Hamming,h2,0.03241459093987942,0.05079221559222788,0.0505887670442462,0.0524170141434297,0.05452945875003934,100
highs,25,Subset,full,0.05272493278607726,0.12927469271235167,0.12724835611879826,0.1376821086043492,0.1841735732741654,100
highs,25,Subset,h2,0.0324222301132977,0.05091715983580798,0.05080279824323952,0.05295493621379137,0.05388513999059796,100
highs,31,Hamming,full,0.10274491086602211,0.3640410696947947,0.32337796967476606,0.4778165803989391,1.889729025773704,100
highs,31,Hamming,h2,0.06291949190199375,0.10061957622878254,0.10001417039893568,0.10540085835382342,0.1103295860812068,100
highs,31,Subset,full,0.10204777400940657,0.24563634580466898,0.24392065731808543,0.2518841464072466,0.27099484065547585,100
highs,31,Subset,h2,0.06293605407699943,0.10041728418786079,0.09988483600318432,0.10587355336174369,0.10845259437337518,100
highs,37,Hamming,full,0.17883794428780675,0.7938408008155723,0.5628992619458586,1.2604071142850422,5.601322642061859,60
highs,37,Hamming,h2,0.10936025995761156,0.17652661067744096,0.17524167685769498,0.1845614237943664,0.1888794400729239,60
highs,37,Subset,full,0.17888867668807507,0.4706359459630524,0.46887959842570126,0.48901148808654393,0.5253426725976169,60
highs,37,Subset,h2,0.10927123436704278,0.1757736272411421,0.17450118577107787,0.18448258333373815,0.1867632158100605,60
highs,45,Hamming,full,0.3246300653554499,1.472353028987224,1.1078992465045303,2.750020141899584,3.9730050060898066,12
highs,45,Hamming,h2,0.19679060392081738,0.3372748879871021,0.33613111614249647,0.34909251269418745,0.3565001809038222,12
highs,45,Subset,full,0.32272949209436774,0.8847280222301682,0.8709961308632046,0.9496657229028641,1.0237114587798715,12
highs,45,Subset,h2,0.1959040160290897,0.3342931535250197,0.3317984873428941,0.34306322275660933,0.34700181568041444,12
highs,53,Hamming,full,0.551372439134866,2.427311471255962,2.0596868726424873,3.837775504193268,4.080033029895276,8
highs,53,Hamming,h2,0.32432000478729606,0.5792714457493275,0.5752396394964308,0.5984387861331925,0.6030060099437833,8
highs,53,Subset,full,0.5373019939288497,1.5872310778941028,1.5638738565612584,1.6917106218170375,1.7512841378338635,8
highs,53,Subset,h2,0.3227268219925463,0.5748376826522872,0.5768277500756085,0.5943100419128313,0.6018182500265539,8
glpk,6,Hamming,full,0.001,0.00117,0.00082,0.0009599999999999999,0.011,30
glpk,6,Hamming,h2,0.001,0.00111,0.00111,0.00117,0.0011799999999999998,30
glpk,6,Subset,full,0.001,0.00087,0.00086,0.0009699999999999999,0.00099,30
glpk,6,Subset,h2,0.001,0.00113,0.0011200000000000001,0.00117,0.00122,30
glpk,10,Hamming,full,0.003,0.00696,0.0065,0.010119999999999999,0.01042,30
glpk,10,Hamming,h2,0.002,0.018170000000000002,0.01815,0.01899,0.01914,30
glpk,10,Subset,full,0.003,0.00784,0.00709,0.01151,0.01261,30
glpk,10,Subset,h2,0.002,0.0176,0.01763,0.0183,0.01848,30
glpk,14,Hamming,full,0.009,0.03599,0.032,0.0551,0.06419,30
glpk,14,Hamming,h2,0.005,0.12552,0.12511,0.12709,0.13966,30
glpk,14,Subset,full,0.009,0.047299999999999995,0.04832,0.06911,0.07211,30
glpk,14,Subset,h2,0.005,0.12426000000000001,0.12431,0.12621,0.12666,30
glpk,19,Hamming,full,0.023,0.2211,0.21154,0.36356,0.44591000000000003,30
glpk,19,Hamming,h2,0.015,0.98729,0.98799,0.99395,0.9967699999999999,30
glpk,19,Subset,full,0.023,0.2806,0.29971,0.42205000000000004,0.4525,30
glpk,19,Subset,h2,0.014,0.9866699999999999,0.98462,0.99939,1.00186,30
glpk,25,Hamming,full,0.054,1.2539,1.12645,2.2874,2.45648,30
glpk,25,Hamming,h2,0.034,5.43823,5.43762,5.462470000000001,5.47597,30
glpk,25,Subset,full,0.054,1.65699,1.69359,2.33737,2.90447,30
glpk,25,Subset,h2,0.033,5.45063,5.4480200000000005,5.48323,5.49291,30
glpk,31,Hamming,full,0.107,6.68413,6.13659,11.765229999999999,17.08343,20
glpk,31,Hamming,h2,0.065,21.94582,21.94014,22.007369999999998,22.043689999999998,20
glpk,31,Subset,full,0.106,8.31677,8.04078,11.49717,11.95906,20
glpk,31,Subset,h2,0.066,21.96792,21.95301,22.064349999999997,22.10575,20
