Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6226±0.0658,0.5373±0.0521,0.4316±0.0197,0.3375±0.0195,0.5719±0.0299,0.3728±0.0047,0.2064±0.0071,0.1290±0.0026,0.6565±0.0090,0.6827±0.0077,0.7007±0.0128,0.6942±0.0180,0.5717±0.0162,0.4410±0.0032,0.2994±0.0076,0.2101±0.0043,0.9151±0.0053,0.8597±0.0083,0.7726±0.0069,0.6775±0.0023,0.4535±0.0203,0.3179±0.0054,0.1882±0.0066,0.1218±0.0026,0.1853±0.0161,0.1576±0.0052,0.1353±0.0043,0.1170±0.0023,0.1577±0.0102,0.1205±0.0042,0.0964±0.0025,0.0817±0.0007,0.2698±0.0503,0.3207±0.0282,0.3618±0.0191,0.4076±0.0439,0.9727±0.0092,0.9341±0.0082,0.8617±0.0092,0.7577±0.0153,0.4831±0.0116,0.3718±0.0137,0.2737±0.0072,0.2080±0.0032,0.3957±0.0194,0.2607±0.0147,0.1719±0.0052,0.1233±0.0019,0.6214±0.0103,0.6499±0.0079,0.6718±0.0086,0.6646±0.0155,0.1169±0.0261,0.0335±0.0080,0.0006±0.0012,0.0000±0.0000
PartialOrder__Hamming__None,0.5993±0.0678,0.4816±0.0394,0.3600±0.0228,0.2806±0.0101,0.5184±0.0590,0.3041±0.0050,0.1657±0.0031,0.1136±0.0022,0.6887±0.0117,0.7180±0.0097,0.7420±0.0088,0.7335±0.0154,0.5528±0.0354,0.3977±0.0027,0.2596±0.0037,0.1912±0.0035,0.9066±0.0092,0.8368±0.0081,0.7233±0.0071,0.6212±0.0035,0.4293±0.0417,0.2717±0.0036,0.1558±0.0028,0.1089±0.0021,0.1908±0.0140,0.1571±0.0060,0.1317±0.0023,0.1168±0.0014,0.1561±0.0082,0.1149±0.0046,0.0908±0.0016,0.0797±0.0006,0.2968±0.0584,0.3679±0.0210,0.4149±0.0147,0.4798±0.0410,0.9703±0.0102,0.9157±0.0058,0.8181±0.0098,0.7012±0.0153,0.4739±0.0204,0.3507±0.0120,0.2489±0.0046,0.1932±0.0026,0.3719±0.0284,0.2352±0.0115,0.1505±0.0031,0.1118±0.0016,0.6568±0.0144,0.6905±0.0063,0.7189±0.0067,0.7114±0.0120,0.0899±0.0397,0.0147±0.0077,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__2,0.6214±0.0669,0.5376±0.0520,0.4358±0.0177,0.3381±0.0190,0.5487±0.0585,0.3738±0.0042,0.2047±0.0074,0.1279±0.0029,0.6538±0.0103,0.6799±0.0089,0.6953±0.0143,0.6882±0.0204,0.5576±0.0318,0.4409±0.0028,0.2970±0.0081,0.2084±0.0045,0.9113±0.0076,0.8600±0.0082,0.7722±0.0070,0.6773±0.0023,0.4378±0.0383,0.3182±0.0047,0.1865±0.0068,0.1207±0.0028,0.1847±0.0161,0.1575±0.0043,0.1340±0.0043,0.1164±0.0027,0.1573±0.0099,0.1207±0.0036,0.0957±0.0025,0.0814±0.0008,0.2732±0.0573,0.3194±0.0301,0.3565±0.0159,0.4055±0.0414,0.9709±0.0090,0.9341±0.0088,0.8581±0.0113,0.7600±0.0165,0.4714±0.0185,0.3711±0.0129,0.2715±0.0076,0.2066±0.0033,0.3821±0.0273,0.2606±0.0143,0.1705±0.0055,0.1225±0.0019,0.6180±0.0108,0.6465±0.0093,0.6657±0.0101,0.6591±0.0171,0.1046±0.0433,0.0335±0.0080,0.0006±0.0012,0.0000±0.0000
PartialOrder__Subset__None,0.5982±0.0679,0.4816±0.0395,0.3547±0.0190,0.2788±0.0079,0.5171±0.0599,0.3039±0.0053,0.1652±0.0033,0.1132±0.0023,0.6876±0.0116,0.7174±0.0096,0.7403±0.0121,0.7327±0.0183,0.5515±0.0360,0.3973±0.0029,0.2588±0.0042,0.1906±0.0038,0.9062±0.0094,0.8367±0.0081,0.7232±0.0069,0.6202±0.0034,0.4280±0.0422,0.2715±0.0039,0.1553±0.0032,0.1085±0.0022,0.1909±0.0143,0.1568±0.0059,0.1317±0.0027,0.1167±0.0018,0.1562±0.0086,0.1148±0.0045,0.0909±0.0017,0.0796±0.0003,0.2972±0.0584,0.3680±0.0205,0.4202±0.0144,0.4845±0.0431,0.9703±0.0102,0.9146±0.0065,0.8157±0.0089,0.7019±0.0154,0.4724±0.0208,0.3504±0.0119,0.2481±0.0049,0.1925±0.0024,0.3705±0.0287,0.2350±0.0114,0.1500±0.0033,0.1114±0.0014,0.6556±0.0144,0.6899±0.0061,0.7162±0.0089,0.7105±0.0146,0.0893±0.0395,0.0147±0.0077,0.0000±0.0000,0.0000±0.0000
PreOrder__Hamming__2,0.6211±0.0544,0.5890±0.0512,0.5237±0.0316,0.4090±0.0145,0.5746±0.0069,0.4215±0.0077,0.2573±0.0079,0.1524±0.0028,0.6380±0.0077,0.6531±0.0079,0.6640±0.0091,0.6575±0.0137,0.5636±0.0038,0.4706±0.0053,0.3460±0.0075,0.2388±0.0041,0.9144±0.0053,0.8849±0.0060,0.8276±0.0066,0.7409±0.0037,0.4461±0.0040,0.3469±0.0058,0.2271±0.0072,0.1421±0.0028,0.1805±0.0141,0.1630±0.0084,0.1424±0.0032,0.1226±0.0009,0.1559±0.0100,0.1315±0.0055,0.1068±0.0025,0.0883±0.0013,0.2665±0.0404,0.2787±0.0349,0.3005±0.0164,0.3604±0.0146,0.9703±0.0076,0.9519±0.0062,0.9068±0.0094,0.8238±0.0108,0.4724±0.0119,0.4069±0.0127,0.3191±0.0064,0.2376±0.0041,0.3898±0.0176,0.3035±0.0148,0.2133±0.0057,0.1462±0.0027,0.6006±0.0089,0.6184±0.0071,0.6334±0.0045,0.6334±0.0106,0.1122±0.0124,0.0470±0.0079,0.0041±0.0057,0.0012±0.0023
PreOrder__Hamming__None,0.5426±0.0619,0.5166±0.0394,0.3975±0.0174,0.2741±0.0096,0.4581±0.0228,0.3193±0.0033,0.1728±0.0035,0.1073±0.0021,0.6903±0.0092,0.7015±0.0159,0.7247±0.0145,0.7646±0.0190,0.5076±0.0183,0.4105±0.0035,0.2686±0.0041,0.1823±0.0026,0.8732±0.0302,0.8536±0.0062,0.7489±0.0060,0.5634±0.0082,0.3834±0.0167,0.2830±0.0021,0.1622±0.0034,0.1034±0.0020,0.1705±0.0195,0.1615±0.0060,0.1341±0.0028,0.1162±0.0010,0.1337±0.0174,0.1210±0.0040,0.0942±0.0011,0.0781±0.0007,0.3223±0.0508,0.3372±0.0322,0.3840±0.0202,0.5290±0.0191,0.9395±0.0333,0.9249±0.0100,0.8321±0.0212,0.6330±0.0249,0.4059±0.0523,0.3699±0.0097,0.2631±0.0038,0.1807±0.0020,0.2965±0.0531,0.2551±0.0099,0.1618±0.0027,0.1026±0.0014,0.6583±0.0064,0.6735±0.0084,0.7030±0.0101,0.7553±0.0150,0.0717±0.0076,0.0206±0.0041,0.0006±0.0012,0.0012±0.0023
PreOrder__Subset__2,0.5723±0.0550,0.6027±0.0518,0.5361±0.0334,0.4171±0.0201,0.4608±0.0111,0.4379±0.0047,0.2692±0.0102,0.1580±0.0041,0.6432±0.0100,0.6368±0.0082,0.6472±0.0101,0.6473±0.0138,0.4965±0.0085,0.4744±0.0038,0.3521±0.0091,0.2443±0.0052,0.8911±0.0052,0.8877±0.0062,0.8333±0.0063,0.7488±0.0060,0.3753±0.0088,0.3525±0.0038,0.2335±0.0089,0.1464±0.0038,0.1706±0.0122,0.1601±0.0082,0.1411±0.0038,0.1231±0.0014,0.1403±0.0079,0.1318±0.0053,0.1074±0.0029,0.0892±0.0013,0.2948±0.0456,0.2648±0.0359,0.2893±0.0161,0.3505±0.0168,0.9649±0.0106,0.9520±0.0066,0.9078±0.0095,0.8312±0.0181,0.4161±0.0085,0.4052±0.0119,0.3200±0.0066,0.2400±0.0050,0.3163±0.0097,0.3065±0.0153,0.2163±0.0058,0.1487±0.0035,0.6084±0.0110,0.5991±0.0098,0.6150±0.0095,0.6221±0.0112,0.0805±0.0125,0.0535±0.0068,0.0053±0.0065,0.0012±0.0023
PreOrder__Subset__None,0.5556±0.0381,0.5156±0.0378,0.3973±0.0180,0.2748±0.0072,0.4588±0.0163,0.3196±0.0028,0.1733±0.0038,0.1124±0.0029,0.6802±0.0058,0.7012±0.0173,0.7229±0.0124,0.7480±0.0193,0.5093±0.0093,0.4108±0.0041,0.2690±0.0045,0.1888±0.0040,0.8878±0.0084,0.8540±0.0066,0.7503±0.0068,0.5953±0.0044,0.3837±0.0098,0.2832±0.0024,0.1626±0.0036,0.1076±0.0026,0.1746±0.0127,0.1616±0.0061,0.1347±0.0027,0.1167±0.0014,0.1384±0.0091,0.1212±0.0040,0.0947±0.0013,0.0791±0.0005,0.3193±0.0369,0.3380±0.0310,0.3859±0.0145,0.4992±0.0294,0.9588±0.0085,0.9266±0.0063,0.8329±0.0167,0.6698±0.0213,0.4250±0.0188,0.3705±0.0103,0.2638±0.0046,0.1880±0.0024,0.3163±0.0193,0.2557±0.0104,0.1625±0.0033,0.1078±0.0015,0.6485±0.0088,0.6733±0.0089,0.7016±0.0076,0.7351±0.0149,0.0682±0.0096,0.0200±0.0050,0.0006±0.0012,0.0012±0.0023
br,0.6403±0.0463,0.5417±0.0194,0.4369±0.0293,0.3179±0.0170,0.5533±0.0167,0.3318±0.0041,0.1916±0.0041,0.1200±0.0046,0.6050±0.0165,0.6076±0.0071,0.5969±0.0119,0.5742±0.0211,0.5475±0.0120,0.3853±0.0050,0.2639±0.0044,0.1880±0.0070,0.9395±0.0026,0.8790±0.0032,0.7832±0.0054,0.6914±0.0037,0.4247±0.0130,0.2606±0.0043,0.1640±0.0034,0.1086±0.0044,0.2302±0.0272,0.1693±0.0074,0.1365±0.0013,0.1163±0.0051,0.2421±0.0184,0.1403±0.0055,0.1081±0.0013,0.0893±0.0039,0.2571±0.0429,0.3036±0.0195,0.3220±0.0223,0.3921±0.0253,0.9988±0.0015,0.9491±0.0117,0.8645±0.0092,0.7601±0.0167,0.5462±0.0104,0.3779±0.0052,0.2508±0.0054,0.1849±0.0068,0.5237±0.0164,0.2812±0.0060,0.1609±0.0042,0.1112±0.0044,0.5712±0.0137,0.5764±0.0033,0.5690±0.0068,0.5489±0.0156,0.0870±0.0129,0.0018±0.0014,0.0000±0.0000,0.0000±0.0000
cc,0.6630±0.0315,0.5793±0.0537,0.4700±0.0430,0.3396±0.0198,0.4825±0.0618,0.3284±0.0114,0.1920±0.0044,0.1228±0.0040,0.5804±0.0116,0.6042±0.0069,0.5920±0.0051,0.5711±0.0250,0.5030±0.0375,0.3907±0.0114,0.2678±0.0064,0.1917±0.0064,0.9311±0.0077,0.8853±0.0014,0.7968±0.0023,0.7029±0.0033,0.3826±0.0428,0.2668±0.0115,0.1657±0.0048,0.1109±0.0040,0.2213±0.0058,0.1643±0.0046,0.1366±0.0032,0.1169±0.0061,0.2419±0.0116,0.1374±0.0027,0.1082±0.0029,0.0900±0.0036,0.2422±0.0196,0.2686±0.0381,0.3047±0.0368,0.3739±0.0359,1.0000±0.0000,0.9615±0.0052,0.8664±0.0149,0.7843±0.0189,0.5109±0.0314,0.3907±0.0100,0.2622±0.0054,0.1898±0.0067,0.4713±0.0502,0.2953±0.0078,0.1706±0.0038,0.1148±0.0040,0.5608±0.0085,0.5772±0.0141,0.5666±0.0114,0.5460±0.0230,0.0652±0.0456,0.0041±0.0024,0.0006±0.0012,0.0000±0.0000
