ptype,metric,noise,friedman_chi2,friedman_p,n_datasets,n_algorithms
BinaryVector,afrd,0.0,67.39080459770116,2.417201784627512e-09,9,14
BinaryVector,afrd,0.1,69.78277886497065,8.800994429918353e-10,9,14
BinaryVector,afrd,0.2,64.37732160312808,8.552388049417441e-09,9,14
BinaryVector,afrd,0.3,66.59520899535568,3.3778798239064745e-09,9,14
BinaryVector,example_precision,0.0,22.896281800391364,0.04293793020414595,9,14
BinaryVector,example_precision,0.1,37.15467449828685,0.0003917929495326345,9,14
BinaryVector,example_precision,0.2,47.341905461670336,8.458567248619666e-06,9,14
BinaryVector,example_precision,0.3,67.03971561657268,2.802108166136554e-09,9,14
BinaryVector,example_recall,0.0,98.68978191619699,2.9753637625969e-15,9,14
BinaryVector,example_recall,0.1,106.0019617459539,1.1294804523483203e-16,9,14
BinaryVector,example_recall,0.2,105.4211298606016,1.4660387096645169e-16,9,14
BinaryVector,example_recall,0.3,105.06927784577724,1.716823155608693e-16,9,14
BinaryVector,f1,0.0,75.88475654514316,6.511702075342482e-11,9,14
BinaryVector,f1,0.1,77.8569332355099,2.7860218402623434e-11,9,14
BinaryVector,f1,0.2,66.2917278511992,3.83705358252469e-09,9,14
BinaryVector,f1,0.3,69.83084455324357,8.623571616585983e-10,9,14
BinaryVector,hamming_accuracy,0.0,69.83021653543305,8.625866707380511e-10,9,14
BinaryVector,hamming_accuracy,0.1,82.93037509193428,3.090324311759347e-12,9,14
BinaryVector,hamming_accuracy,0.2,90.65588235294118,1.0468209610653798e-13,9,14
BinaryVector,hamming_accuracy,0.3,99.28025477707006,2.2869716213798817e-15,9,14
BinaryVector,jaccard,0.0,66.98482994861759,2.867552604952499e-09,9,14
BinaryVector,jaccard,0.1,62.19314565483479,2.1224034080054036e-08,9,14
BinaryVector,jaccard,0.2,49.53717791411045,3.578809533248e-06,9,14
BinaryVector,jaccard,0.3,50.76600441501104,2.2017352540051095e-06,9,14
BinaryVector,macro_f1,0.0,58.18653610771111,1.105882048824976e-07,9,14
BinaryVector,macro_f1,0.1,55.67586206896551,3.074014113981806e-07,9,14
BinaryVector,macro_f1,0.2,50.64583333333334,2.309158253250137e-06,9,14
BinaryVector,macro_f1,0.3,52.23345633456336,1.2279154849133814e-06,9,14
BinaryVector,macro_precision,0.0,59.597154072620214,6.200616147083764e-08,9,14
BinaryVector,macro_precision,0.1,59.77004167688157,5.775005556321958e-08,9,14
BinaryVector,macro_precision,0.2,68.89106967615308,1.2835766300735183e-09,9,14
BinaryVector,macro_precision,0.3,79.67037311588834,1.2725525911688138e-11,9,14
BinaryVector,macro_recall,0.0,96.11350293542074,9.357962283910655e-15,9,14
BinaryVector,macro_recall,0.1,103.27317312408042,3.840644877198414e-16,9,14
BinaryVector,macro_recall,0.2,101.97848410757949,6.855448612265163e-16,9,14
BinaryVector,macro_recall,0.3,103.72306562193928,3.139640047154806e-16,9,14
BinaryVector,mfrd,0.0,71.4617871840094,4.31479179497437e-10,9,14
BinaryVector,mfrd,0.1,71.5476939203354,4.159938296889153e-10,9,14
BinaryVector,mfrd,0.2,75.86504589431902,6.567075593870676e-11,9,14
BinaryVector,mfrd,0.3,68.6339965610415,1.4308732256236483e-09,9,14
BinaryVector,micro_f1,0.0,40.50918442321822,0.00011441913209063036,9,14
BinaryVector,micro_f1,0.1,41.43710073710073,8.090972614499124e-05,9,14
BinaryVector,micro_f1,0.2,41.55476598872827,7.74177614529307e-05,9,14
BinaryVector,micro_f1,0.3,49.67197452229301,3.3935902018032853e-06,9,14
BinaryVector,micro_precision,0.0,64.59882439382808,7.796694252283076e-09,9,14
BinaryVector,micro_precision,0.1,95.76773399014778,1.0910590084848488e-14,9,14
BinaryVector,micro_precision,0.2,97.31656441717789,5.482683940619199e-15,9,14
BinaryVector,micro_precision,0.3,102.61661341853035,5.152957044766296e-16,9,14
BinaryVector,micro_recall,0.0,97.44588638589617,5.176229011548017e-15,9,14
BinaryVector,micro_recall,0.1,104.19764590485532,2.538084394931749e-16,9,14
BinaryVector,micro_recall,0.2,105.21765712888235,1.6062302559638524e-16,9,14
BinaryVector,micro_recall,0.3,104.58902767572862,2.1295633072173625e-16,9,14
BinaryVector,subset0_1,0.0,53.83189122373302,6.471295433250194e-07,9,14
BinaryVector,subset0_1,0.1,43.40699679724067,3.8465177164893845e-05,9,14
BinaryVector,subset0_1,0.2,67.98244746600741,1.8838062600963846e-09,9,14
BinaryVector,subset0_1,0.3,81.2049950544016,6.542982918315741e-12,9,14
PartialAbstention,aabs,0.0,51.3365650969529,7.888154257112942e-09,9,8
PartialAbstention,aabs,0.1,51.85399449035813,6.238454182557544e-09,9,8
PartialAbstention,aabs,0.2,52.24966261808364,5.213026997766091e-09,9,8
PartialAbstention,aabs,0.3,50.56815114709848,1.1171532611628107e-08,9,8
PartialAbstention,abs,0.0,51.92566619915849,6.03885553728326e-09,9,8
PartialAbstention,abs,0.1,52.06064880112835,5.680050598034045e-09,9,8
PartialAbstention,abs,0.2,52.39574468085104,4.8784554384064925e-09,9,8
PartialAbstention,abs,0.3,52.21648044692736,5.2921539072467165e-09,9,8
PartialAbstention,arec,0.0,49.51709986320108,1.796663558923011e-08,9,8
PartialAbstention,arec,0.1,59.240215924426415,2.1402674749306636e-10,9,8
PartialAbstention,arec,0.2,58.85809906291832,2.5506974074278064e-10,9,8
PartialAbstention,arec,0.3,58.86915887850468,2.537781940452639e-10,9,8
PartialAbstention,f1_pa,0.0,29.810666666666666,0.00010286046086932443,9,8
PartialAbstention,f1_pa,0.1,46.43085106382976,7.206559041269121e-08,9,8
PartialAbstention,f1_pa,0.2,40.47459893048129,1.0210658828836368e-06,9,8
PartialAbstention,f1_pa,0.3,6.869158878504661,0.44262909185399835,9,8
PartialAbstention,hamming_accuracy_pa,0.0,18.515519568151152,0.009848428534586163,9,8
PartialAbstention,hamming_accuracy_pa,0.1,49.98801597869506,1.4523314150125408e-08,9,8
PartialAbstention,hamming_accuracy_pa,0.2,24.845333333333336,0.0008082177714400017,9,8
PartialAbstention,hamming_accuracy_pa,0.3,16.686486486486466,0.01953355258755737,9,8
PartialAbstention,rec,0.0,45.63315217391305,1.0302955114241562e-07,9,8
PartialAbstention,rec,0.1,57.59090909090908,4.560559750972904e-10,9,8
PartialAbstention,rec,0.2,58.25836680053544,3.3585701299309694e-10,9,8
PartialAbstention,rec,0.3,57.888283378746586,3.9796012926244404e-10,9,8
PartialAbstention,subset0_1_pa,0.0,42.8833107191316,3.5132223715044905e-07,9,8
PartialAbstention,subset0_1_pa,0.1,57.70320855614969,4.331848768412032e-10,9,8
PartialAbstention,subset0_1_pa,0.2,58.08411214953272,3.637930102830398e-10,9,8
PartialAbstention,subset0_1_pa,0.3,58.0408719346049,3.7107655716188056e-10,9,8
