Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7638726677111523,0.012117209015053896
RF,CLR,subset0_1,0.15077624270047002,0.04370371797654559
RF,CLR,f1,0.3472323030907278,0.04490878011102016
XGBoost,CLR,hamming_accuracy,0.7734230641409106,0.01389802027726225
XGBoost,CLR,subset0_1,0.18520438683948154,0.03150375064807239
XGBoost,CLR,f1,0.47543346830257494,0.036828990486887675
ETC,CLR,hamming_accuracy,0.754320846982861,0.012210626354531486
ETC,CLR,subset0_1,0.12481128044438115,0.03312545452771114
ETC,CLR,f1,0.30233917295731855,0.043480577413494925
LightGBM,CLR,hamming_accuracy,0.769496747851683,0.014579268823579539
LightGBM,CLR,subset0_1,0.1720552627830793,0.038333539070034624
LightGBM,CLR,f1,0.44067856295060376,0.037851573301634585
