Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7444903385082847,0.012301614474425014
RF,CLR,subset0_1,0.10523002421307506,0.04086549476778833
RF,CLR,f1,0.28130950007121497,0.0444997200158592
XGBoost,CLR,hamming_accuracy,0.7399050467644686,0.014225499687845556
XGBoost,CLR,subset0_1,0.1382737501780373,0.03336317622799376
XGBoost,CLR,f1,0.4155519970700143,0.037306702138496003
ETC,CLR,hamming_accuracy,0.744198832075203,0.01227404556189929
ETC,CLR,subset0_1,0.09513174761429993,0.03507584159611524
ETC,CLR,f1,0.26957663065226095,0.046483026495326166
LightGBM,CLR,hamming_accuracy,0.734818401937046,0.01736572475143207
LightGBM,CLR,subset0_1,0.1369633955277026,0.043878744175661594
LightGBM,CLR,f1,0.4116175554967748,0.04115033179999642
