Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PartialOrder__Hamming__None,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PartialOrder__Subset__2,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PartialOrder__Subset__None,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PreOrder__Hamming__2,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PreOrder__Hamming__None,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PreOrder__Subset__2,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
PreOrder__Subset__None,0.7077±0.0103,0.6588±0.0048,0.6368±0.0149,0.6028±0.0071,0.8385±0.0040,0.7963±0.0060,0.7485±0.0047,0.6831±0.0054,0.5117±0.0039,0.4800±0.0058,0.4439±0.0100,0.4057±0.0086,0.7100±0.0069,0.6596±0.0103,0.5858±0.0126,0.4944±0.0092,6.3921±0.0919,7.2490±0.0795,7.9991±0.0486,8.8717±0.0807,0.7540±0.0066,0.7142±0.0087,0.6632±0.0074,0.5957±0.0083,0.2499±0.0114,0.2685±0.0193,0.3248±0.0129,0.4092±0.0175,0.1713±0.0052,0.2110±0.0048,0.2550±0.0028,0.3145±0.0067
br,0.7077±0.0103,0.6674±0.0079,0.6413±0.0062,0.5962±0.0213,0.8385±0.0040,0.7966±0.0040,0.7487±0.0060,0.6826±0.0087,0.5117±0.0039,0.4795±0.0058,0.4440±0.0087,0.4013±0.0148,0.7100±0.0069,0.6514±0.0080,0.5873±0.0131,0.4942±0.0163,6.3921±0.0919,7.1940±0.0521,7.9470±0.1542,8.8684±0.0638,0.7540±0.0066,0.7125±0.0079,0.6647±0.0113,0.6005±0.0118,0.2499±0.0114,0.2784±0.0203,0.3240±0.0274,0.3943±0.0248,0.1713±0.0052,0.2101±0.0067,0.2542±0.0079,0.3135±0.0084
cc,0.6979±0.0043,0.6637±0.0117,0.6333±0.0022,0.6016±0.0021,0.7997±0.0062,0.7854±0.0051,0.7454±0.0049,0.6832±0.0080,0.4910±0.0078,0.4752±0.0083,0.4448±0.0058,0.4055±0.0049,0.6368±0.0042,0.6362±0.0093,0.5834±0.0073,0.4972±0.0131,7.2077±0.1090,7.3636±0.0737,7.8626±0.1333,8.8034±0.1324,0.7145±0.0025,0.7092±0.0040,0.6640±0.0123,0.5967±0.0070,0.2743±0.0097,0.2946±0.0077,0.3417±0.0166,0.4166±0.0163,0.2089±0.0055,0.2225±0.0036,0.2583±0.0103,0.3152±0.0052
