Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PartialOrder__Hamming__None,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PartialOrder__Subset__2,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PartialOrder__Subset__None,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PreOrder__Hamming__2,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PreOrder__Hamming__None,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PreOrder__Subset__2,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
PreOrder__Subset__None,0.7284±0.0220,0.6270±0.0094,0.6027±0.0163,0.5721±0.0140,0.8288±0.0126,0.7689±0.0153,0.7006±0.0174,0.6393±0.0058,0.2690±0.0242,0.1986±0.0105,0.1794±0.0119,0.1660±0.0285,0.3655±0.0081,0.2949±0.0074,0.2061±0.0158,0.1565±0.0117,2.0697±0.1314,2.7039±0.2090,3.3972±0.2312,4.0749±0.1829,0.5871±0.0057,0.5305±0.0122,0.4511±0.0165,0.3791±0.0200,0.6074±0.0139,0.6483±0.0185,0.7372±0.0336,0.8139±0.0270,0.1760±0.0111,0.2322±0.0167,0.2938±0.0192,0.3555±0.0144
br,0.7284±0.0220,0.6240±0.0288,0.6303±0.0174,0.5853±0.0257,0.8288±0.0126,0.7627±0.0178,0.7100±0.0117,0.6408±0.0154,0.2690±0.0242,0.1910±0.0158,0.1827±0.0148,0.1560±0.0082,0.3655±0.0081,0.2764±0.0235,0.2269±0.0164,0.1612±0.0122,2.0697±0.1314,2.8010±0.2067,3.3627±0.1452,4.0717±0.1933,0.5871±0.0057,0.5015±0.0147,0.4541±0.0097,0.3988±0.0177,0.6074±0.0139,0.7024±0.0100,0.7331±0.0151,0.7791±0.0210,0.1760±0.0111,0.2405±0.0177,0.2913±0.0148,0.3548±0.0170
cc,0.7288±0.0108,0.6535±0.0206,0.6034±0.0249,0.5838±0.0116,0.8168±0.0116,0.7638±0.0076,0.6997±0.0166,0.6366±0.0092,0.2661±0.0118,0.2013±0.0160,0.1849±0.0200,0.1470±0.0168,0.3403±0.0054,0.2940±0.0240,0.2135±0.0186,0.1515±0.0140,2.2160±0.1521,2.7641±0.1280,3.4663±0.2612,4.1532±0.1661,0.5576±0.0145,0.5204±0.0151,0.4472±0.0269,0.3827±0.0187,0.6401±0.0252,0.6585±0.0212,0.7383±0.0411,0.8047±0.0262,0.1891±0.0121,0.2374±0.0078,0.3009±0.0209,0.3624±0.0133
