Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6281±0.0479,0.6221±0.0692,0.5609±0.0521,0.3843±0.0303,0.1455±0.0106,0.1184±0.0086,0.1042±0.0028,0.1116±0.0053,0.8462±0.0319,0.8582±0.0385,0.8360±0.0349,0.7833±0.0293,0.2145±0.0110,0.1949±0.0065,0.1826±0.0045,0.1927±0.0089,0.2723±0.0237,0.2817±0.0192,0.3114±0.0173,0.4009±0.0128,0.1443±0.0113,0.1180±0.0087,0.1038±0.0027,0.1109±0.0054,0.1593±0.0055,0.1600±0.0027,0.1592±0.0030,0.1632±0.0084,0.0957±0.0030,0.0956±0.0020,0.0955±0.0026,0.0991±0.0039,0.8440±0.0362,0.8450±0.0500,0.8060±0.0375,0.7353±0.0320,0.8008±0.0287,0.8094±0.0308,0.7973±0.0300,0.6721±0.0451,0.1728±0.0051,0.1767±0.0029,0.1786±0.0040,0.1894±0.0078,0.0963±0.0029,0.0985±0.0014,0.1001±0.0023,0.1078±0.0046,0.8456±0.0330,0.8577±0.0337,0.8334±0.0367,0.7783±0.0270,0.0450±0.0118,0.0123±0.0127,0.0000±0.0000,0.0000±0.0000
PartialOrder__Hamming__None,0.6315±0.0473,0.6227±0.0691,0.5727±0.0471,0.3970±0.0339,0.1455±0.0106,0.1177±0.0077,0.1049±0.0019,0.1102±0.0048,0.8483±0.0305,0.8582±0.0385,0.8452±0.0293,0.7873±0.0288,0.2146±0.0110,0.1943±0.0059,0.1841±0.0031,0.1909±0.0082,0.2713±0.0239,0.2813±0.0190,0.3092±0.0175,0.3922±0.0126,0.1443±0.0113,0.1173±0.0078,0.1045±0.0019,0.1096±0.0050,0.1593±0.0054,0.1598±0.0026,0.1603±0.0021,0.1626±0.0085,0.0956±0.0028,0.0954±0.0019,0.0960±0.0020,0.0986±0.0040,0.8459±0.0351,0.8450±0.0500,0.8164±0.0315,0.7405±0.0359,0.8008±0.0287,0.8097±0.0345,0.7998±0.0327,0.6812±0.0429,0.1730±0.0049,0.1766±0.0029,0.1797±0.0033,0.1881±0.0079,0.0963±0.0028,0.0984±0.0014,0.1006±0.0019,0.1069±0.0047,0.8475±0.0319,0.8577±0.0337,0.8419±0.0314,0.7830±0.0283,0.0450±0.0118,0.0112±0.0109,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__2,0.6264±0.0481,0.6233±0.0677,0.5605±0.0523,0.3843±0.0326,0.1454±0.0108,0.1184±0.0088,0.1041±0.0026,0.1113±0.0053,0.8432±0.0330,0.8581±0.0386,0.8350±0.0348,0.7827±0.0297,0.2137±0.0113,0.1948±0.0069,0.1823±0.0044,0.1924±0.0088,0.2719±0.0238,0.2816±0.0193,0.3108±0.0176,0.4008±0.0129,0.1441±0.0115,0.1180±0.0089,0.1037±0.0026,0.1107±0.0053,0.1589±0.0056,0.1601±0.0031,0.1592±0.0027,0.1630±0.0085,0.0954±0.0031,0.0956±0.0022,0.0955±0.0026,0.0991±0.0040,0.8421±0.0369,0.8461±0.0490,0.8073±0.0349,0.7348±0.0342,0.8008±0.0287,0.8083±0.0314,0.7959±0.0304,0.6757±0.0427,0.1723±0.0052,0.1767±0.0032,0.1783±0.0042,0.1894±0.0081,0.0960±0.0030,0.0985±0.0016,0.0999±0.0023,0.1078±0.0048,0.8428±0.0338,0.8577±0.0337,0.8324±0.0364,0.7783±0.0283,0.0460±0.0130,0.0123±0.0127,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__None,0.6315±0.0473,0.6239±0.0676,0.5735±0.0470,0.3976±0.0357,0.1454±0.0107,0.1177±0.0079,0.1045±0.0021,0.1102±0.0048,0.8473±0.0300,0.8581±0.0386,0.8442±0.0303,0.7884±0.0301,0.2143±0.0110,0.1943±0.0063,0.1834±0.0033,0.1909±0.0082,0.2710±0.0241,0.2812±0.0192,0.3083±0.0172,0.3921±0.0121,0.1441±0.0114,0.1173±0.0080,0.1041±0.0020,0.1096±0.0049,0.1592±0.0053,0.1599±0.0030,0.1600±0.0023,0.1627±0.0084,0.0955±0.0028,0.0954±0.0021,0.0958±0.0022,0.0987±0.0040,0.8456±0.0351,0.8461±0.0490,0.8143±0.0339,0.7406±0.0381,0.8008±0.0287,0.8086±0.0351,0.7984±0.0332,0.6842±0.0411,0.1727±0.0048,0.1766±0.0032,0.1793±0.0033,0.1883±0.0081,0.0962±0.0027,0.0984±0.0016,0.1004±0.0019,0.1070±0.0047,0.8465±0.0313,0.8577±0.0337,0.8409±0.0324,0.7840±0.0296,0.0450±0.0118,0.0112±0.0109,0.0000±0.0000,0.0000±0.0000
PreOrder__Hamming__2,0.6395±0.0484,0.5256±0.0463,0.3534±0.0539,0.2175±0.0274,0.1481±0.0123,0.1311±0.0125,0.1266±0.0114,0.1329±0.0066,0.8498±0.0285,0.8154±0.0157,0.7643±0.0237,0.6528±0.0400,0.2163±0.0122,0.2042±0.0123,0.2068±0.0132,0.2152±0.0110,0.2742±0.0244,0.3226±0.0222,0.4131±0.0350,0.5519±0.0137,0.1468±0.0128,0.1305±0.0126,0.1256±0.0114,0.1311±0.0066,0.1601±0.0053,0.1602±0.0054,0.1635±0.0081,0.1670±0.0110,0.0961±0.0024,0.0969±0.0032,0.1000±0.0041,0.1069±0.0060,0.8576±0.0269,0.7985±0.0352,0.7173±0.0338,0.5413±0.0447,0.8034±0.0286,0.7532±0.0365,0.6388±0.0473,0.5048±0.0975,0.1734±0.0046,0.1771±0.0046,0.1889±0.0082,0.2065±0.0100,0.0966±0.0027,0.0994±0.0028,0.1079±0.0054,0.1228±0.0061,0.8465±0.0300,0.8104±0.0144,0.7585±0.0250,0.6484±0.0350,0.0491±0.0119,0.0266±0.0127,0.0072±0.0052,0.0000±0.0000
PreOrder__Hamming__None,0.6426±0.0481,0.5321±0.0455,0.3840±0.0531,0.2401±0.0228,0.1481±0.0117,0.1303±0.0124,0.1212±0.0087,0.1219±0.0031,0.8529±0.0273,0.8205±0.0113,0.7785±0.0211,0.7023±0.0177,0.2168±0.0121,0.2042±0.0124,0.2035±0.0114,0.2044±0.0043,0.2737±0.0249,0.3217±0.0225,0.4038±0.0334,0.5008±0.0129,0.1468±0.0122,0.1296±0.0126,0.1202±0.0087,0.1208±0.0030,0.1603±0.0056,0.1606±0.0055,0.1640±0.0079,0.1649±0.0055,0.0962±0.0026,0.0971±0.0031,0.0998±0.0040,0.1032±0.0028,0.8598±0.0265,0.8031±0.0333,0.7400±0.0293,0.5892±0.0444,0.8034±0.0286,0.7622±0.0288,0.6542±0.0554,0.5509±0.0807,0.1738±0.0048,0.1778±0.0046,0.1892±0.0075,0.2013±0.0047,0.0968±0.0028,0.0998±0.0028,0.1079±0.0050,0.1176±0.0031,0.8493±0.0291,0.8152±0.0119,0.7727±0.0224,0.6996±0.0138,0.0481±0.0100,0.0245±0.0109,0.0000±0.0000,0.0000±0.0000
PreOrder__Subset__2,0.6387±0.0485,0.5253±0.0465,0.3516±0.0546,0.2111±0.0287,0.1487±0.0124,0.1307±0.0125,0.1269±0.0116,0.1329±0.0057,0.8488±0.0277,0.8113±0.0158,0.7607±0.0227,0.6461±0.0407,0.2162±0.0120,0.2035±0.0124,0.2066±0.0134,0.2144±0.0100,0.2736±0.0245,0.3213±0.0223,0.4127±0.0351,0.5534±0.0127,0.1473±0.0128,0.1301±0.0127,0.1260±0.0116,0.1312±0.0056,0.1599±0.0050,0.1597±0.0054,0.1631±0.0078,0.1661±0.0104,0.0960±0.0023,0.0967±0.0032,0.0999±0.0040,0.1064±0.0057,0.8563±0.0271,0.7973±0.0349,0.7154±0.0343,0.5436±0.0476,0.8044±0.0285,0.7474±0.0392,0.6261±0.0451,0.4644±0.1096,0.1731±0.0042,0.1762±0.0047,0.1880±0.0078,0.2047±0.0100,0.0964±0.0025,0.0989±0.0029,0.1074±0.0052,0.1219±0.0058,0.8455±0.0291,0.8066±0.0139,0.7547±0.0243,0.6399±0.0405,0.0511±0.0116,0.0266±0.0127,0.0082±0.0052,0.0010±0.0021
PreOrder__Subset__None,0.6435±0.0483,0.5326±0.0460,0.3865±0.0522,0.2365±0.0274,0.1480±0.0117,0.1301±0.0123,0.1209±0.0083,0.1221±0.0030,0.8529±0.0273,0.8185±0.0117,0.7795±0.0206,0.7058±0.0128,0.2165±0.0120,0.2039±0.0124,0.2031±0.0108,0.2049±0.0039,0.2728±0.0250,0.3207±0.0225,0.4028±0.0330,0.5000±0.0121,0.1466±0.0122,0.1295±0.0125,0.1199±0.0083,0.1211±0.0029,0.1602±0.0055,0.1603±0.0052,0.1642±0.0072,0.1655±0.0049,0.0961±0.0025,0.0969±0.0031,0.1000±0.0037,0.1036±0.0025,0.8598±0.0265,0.8028±0.0342,0.7415±0.0279,0.5946±0.0397,0.8044±0.0285,0.7598±0.0273,0.6498±0.0601,0.5448±0.0820,0.1736±0.0046,0.1772±0.0045,0.1892±0.0067,0.2017±0.0044,0.0967±0.0027,0.0995±0.0028,0.1078±0.0045,0.1178±0.0030,0.8493±0.0291,0.8133±0.0118,0.7737±0.0223,0.7024±0.0102,0.0481±0.0100,0.0245±0.0109,0.0000±0.0000,0.0000±0.0000
br,0.8985±0.0130,0.8874±0.0125,0.7703±0.0232,0.6034±0.0352,0.1626±0.0213,0.1590±0.0036,0.2086±0.0208,0.1658±0.0167,0.1610±0.0158,0.1667±0.0068,0.2667±0.0302,0.3161±0.0163,0.1593±0.0183,0.1595±0.0049,0.2239±0.0219,0.2030±0.0166,0.9121±0.0023,0.9013±0.0016,0.8761±0.0045,0.8050±0.0068,0.1542±0.0184,0.1525±0.0047,0.1988±0.0193,0.1593±0.0169,0.1184±0.0137,0.1079±0.0161,0.1621±0.0222,0.1596±0.0069,0.2530±0.0439,0.1893±0.0303,0.1750±0.0245,0.1336±0.0083,0.0860±0.0123,0.0834±0.0126,0.1617±0.0225,0.2459±0.0365,1.0000±0.0000,1.0000±0.0000,0.9915±0.0072,0.8752±0.0599,0.2431±0.0233,0.2270±0.0082,0.2758±0.0264,0.2240±0.0148,0.5368±0.0283,0.3839±0.0120,0.2906±0.0271,0.1746±0.0127,0.1574±0.0179,0.1612±0.0069,0.2626±0.0264,0.3128±0.0188,0.1390±0.0202,0.1319±0.0066,0.1288±0.0142,0.0572±0.0212
cc,0.8252±0.0208,0.8727±0.0085,0.7669±0.0293,0.6220±0.0255,0.2428±0.0133,0.1876±0.0075,0.1900±0.0246,0.1550±0.0098,0.2324±0.0164,0.1907±0.0079,0.2500±0.0294,0.2899±0.0224,0.2352±0.0149,0.1861±0.0073,0.2053±0.0244,0.1890±0.0126,0.9018±0.0022,0.9021±0.0026,0.8728±0.0056,0.8011±0.0086,0.2303±0.0163,0.1796±0.0073,0.1817±0.0244,0.1477±0.0108,0.1585±0.0236,0.1231±0.0143,0.1616±0.0275,0.1463±0.0169,0.2403±0.0679,0.2091±0.0510,0.1733±0.0271,0.1226±0.0118,0.1394±0.0191,0.0964±0.0093,0.1630±0.0287,0.2256±0.0228,1.0000±0.0000,1.0000±0.0000,0.9802±0.0050,0.9064±0.0214,0.2949±0.0124,0.2535±0.0122,0.2574±0.0252,0.2073±0.0150,0.4164±0.0130,0.4038±0.0255,0.2714±0.0265,0.1618±0.0125,0.2285±0.0126,0.1848±0.0085,0.2457±0.0283,0.2891±0.0212,0.2157±0.0226,0.1605±0.0095,0.1186±0.0289,0.0501±0.0104
