Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6435±0.0649,0.6419±0.0867,0.5610±0.0534,0.3515±0.0434,0.1670±0.0406,0.1228±0.0268,0.0923±0.0166,0.0786±0.0134,0.4932±0.0350,0.4891±0.0414,0.4630±0.0362,0.3991±0.0398,0.1927±0.0391,0.1624±0.0290,0.1389±0.0218,0.1232±0.0192,0.2410±0.0483,0.2421±0.0407,0.2982±0.0306,0.4333±0.0201,0.1456±0.0327,0.1126±0.0227,0.0878±0.0156,0.0742±0.0124,0.1012±0.0144,0.1013±0.0132,0.1047±0.0135,0.1107±0.0130,0.0559±0.0088,0.0560±0.0081,0.0583±0.0083,0.0632±0.0084,0.8036±0.0334,0.8126±0.0690,0.7858±0.0561,0.6787±0.0654,0.8809±0.0534,0.8670±0.0379,0.7881±0.0369,0.6445±0.0451,0.1089±0.0171,0.1083±0.0154,0.1119±0.0156,0.1195±0.0162,0.0582±0.0097,0.0579±0.0087,0.0601±0.0089,0.0652±0.0095,0.8646±0.0253,0.8614±0.0497,0.8279±0.0330,0.7208±0.0353,0.0419±0.0160,0.0152±0.0104,0.0019±0.0040,0.0000±0.0000
PartialOrder__Hamming__None,0.6419±0.0688,0.6491±0.0838,0.5695±0.0531,0.3645±0.0459,0.1663±0.0406,0.1202±0.0265,0.0899±0.0161,0.0772±0.0129,0.4944±0.0356,0.4916±0.0417,0.4653±0.0376,0.4048±0.0398,0.1929±0.0395,0.1616±0.0294,0.1369±0.0214,0.1221±0.0187,0.2409±0.0484,0.2411±0.0408,0.2941±0.0297,0.4247±0.0196,0.1460±0.0333,0.1113±0.0232,0.0858±0.0151,0.0732±0.0121,0.1016±0.0148,0.1020±0.0135,0.1048±0.0136,0.1110±0.0133,0.0561±0.0090,0.0563±0.0082,0.0583±0.0084,0.0632±0.0085,0.8083±0.0296,0.8200±0.0644,0.7926±0.0563,0.6913±0.0608,0.8809±0.0534,0.8733±0.0384,0.7964±0.0369,0.6564±0.0482,0.1092±0.0174,0.1090±0.0157,0.1120±0.0156,0.1195±0.0163,0.0584±0.0099,0.0583±0.0089,0.0601±0.0089,0.0652±0.0096,0.8673±0.0240,0.8685±0.0447,0.8332±0.0334,0.7319±0.0350,0.0434±0.0152,0.0130±0.0102,0.0012±0.0028,0.0000±0.0000
PartialOrder__Subset__2,0.6403±0.0691,0.6418±0.0868,0.5592±0.0540,0.3512±0.0435,0.1672±0.0409,0.1226±0.0268,0.0924±0.0169,0.0782±0.0134,0.4936±0.0352,0.4890±0.0413,0.4622±0.0369,0.3988±0.0401,0.1929±0.0395,0.1622±0.0290,0.1389±0.0221,0.1228±0.0192,0.2412±0.0485,0.2420±0.0408,0.2982±0.0307,0.4326±0.0197,0.1459±0.0331,0.1123±0.0227,0.0879±0.0158,0.0739±0.0124,0.1014±0.0147,0.1013±0.0132,0.1045±0.0135,0.1105±0.0130,0.0560±0.0090,0.0559±0.0080,0.0582±0.0083,0.0630±0.0084,0.8071±0.0293,0.8125±0.0689,0.7825±0.0578,0.6788±0.0643,0.8809±0.0534,0.8670±0.0379,0.7888±0.0367,0.6485±0.0446,0.1091±0.0173,0.1082±0.0154,0.1118±0.0157,0.1191±0.0161,0.0583±0.0099,0.0579±0.0087,0.0601±0.0090,0.0650±0.0095,0.8659±0.0242,0.8611±0.0493,0.8271±0.0339,0.7193±0.0354,0.0419±0.0160,0.0149±0.0105,0.0019±0.0040,0.0000±0.0000
PartialOrder__Subset__None,0.6419±0.0688,0.6491±0.0837,0.5688±0.0526,0.3667±0.0476,0.1663±0.0406,0.1201±0.0265,0.0899±0.0162,0.0772±0.0128,0.4944±0.0356,0.4915±0.0416,0.4647±0.0383,0.4052±0.0404,0.1929±0.0395,0.1615±0.0294,0.1369±0.0215,0.1222±0.0187,0.2409±0.0484,0.2410±0.0408,0.2940±0.0298,0.4242±0.0192,0.1460±0.0333,0.1112±0.0232,0.0858±0.0151,0.0733±0.0121,0.1016±0.0148,0.1020±0.0135,0.1047±0.0137,0.1111±0.0132,0.0561±0.0090,0.0563±0.0082,0.0583±0.0085,0.0632±0.0085,0.8083±0.0296,0.8199±0.0642,0.7917±0.0554,0.6938±0.0623,0.8809±0.0534,0.8733±0.0384,0.7967±0.0365,0.6602±0.0460,0.1092±0.0174,0.1090±0.0157,0.1119±0.0158,0.1196±0.0163,0.0584±0.0099,0.0583±0.0089,0.0601±0.0090,0.0652±0.0095,0.8673±0.0240,0.8682±0.0442,0.8329±0.0335,0.7332±0.0367,0.0434±0.0152,0.0130±0.0102,0.0012±0.0028,0.0000±0.0000
PreOrder__Hamming__2,0.5917±0.0718,0.5428±0.0849,0.3863±0.0709,0.2564±0.0409,0.1832±0.0372,0.1610±0.0385,0.1284±0.0228,0.1014±0.0205,0.4762±0.0318,0.4614±0.0395,0.4153±0.0329,0.3241±0.0371,0.1947±0.0329,0.1809±0.0334,0.1641±0.0256,0.1419±0.0248,0.2469±0.0461,0.2726±0.0444,0.3783±0.0369,0.5998±0.0248,0.1480±0.0260,0.1328±0.0272,0.1118±0.0193,0.0909±0.0178,0.0970±0.0122,0.0972±0.0129,0.1015±0.0129,0.1210±0.0152,0.0537±0.0076,0.0540±0.0080,0.0574±0.0083,0.0724±0.0107,0.7613±0.0394,0.7370±0.0631,0.6687±0.0592,0.5348±0.0664,0.8260±0.0509,0.8058±0.0531,0.6843±0.0515,0.6394±0.0722,0.1040±0.0146,0.1045±0.0153,0.1104±0.0156,0.1364±0.0206,0.0557±0.0083,0.0560±0.0087,0.0599±0.0091,0.0773±0.0128,0.8175±0.0386,0.7938±0.0535,0.7225±0.0480,0.5913±0.0354,0.0481±0.0150,0.0332±0.0111,0.0087±0.0063,0.0003±0.0015
PreOrder__Hamming__None,0.5937±0.0781,0.5528±0.0773,0.4198±0.0635,0.2633±0.0329,0.1835±0.0416,0.1526±0.0376,0.1132±0.0200,0.0900±0.0166,0.4804±0.0320,0.4673±0.0411,0.4280±0.0362,0.3630±0.0441,0.1988±0.0357,0.1805±0.0345,0.1575±0.0243,0.1364±0.0230,0.2495±0.0471,0.2742±0.0442,0.3728±0.0352,0.5606±0.0202,0.1526±0.0293,0.1313±0.0284,0.1041±0.0178,0.0845±0.0156,0.0987±0.0129,0.0992±0.0136,0.1051±0.0135,0.1263±0.0164,0.0546±0.0080,0.0551±0.0084,0.0592±0.0086,0.0743±0.0110,0.7717±0.0349,0.7511±0.0534,0.7066±0.0485,0.6089±0.0519,0.8334±0.0556,0.8174±0.0519,0.7014±0.0483,0.6067±0.0643,0.1058±0.0153,0.1069±0.0161,0.1142±0.0162,0.1400±0.0213,0.0566±0.0088,0.0573±0.0092,0.0619±0.0095,0.0783±0.0129,0.8293±0.0341,0.8109±0.0448,0.7567±0.0372,0.6687±0.0345,0.0527±0.0166,0.0270±0.0141,0.0034±0.0044,0.0000±0.0000
PreOrder__Subset__2,0.5894±0.0723,0.5395±0.0851,0.3851±0.0727,0.2579±0.0423,0.1840±0.0371,0.1622±0.0385,0.1293±0.0227,0.1023±0.0203,0.4755±0.0314,0.4598±0.0390,0.4135±0.0312,0.3209±0.0379,0.1945±0.0324,0.1807±0.0331,0.1642±0.0248,0.1418±0.0241,0.2468±0.0460,0.2725±0.0443,0.3783±0.0366,0.6011±0.0247,0.1480±0.0256,0.1326±0.0268,0.1118±0.0187,0.0908±0.0173,0.0967±0.0119,0.0968±0.0127,0.1011±0.0124,0.1198±0.0144,0.0535±0.0074,0.0538±0.0079,0.0571±0.0080,0.0717±0.0101,0.7591±0.0397,0.7338±0.0644,0.6657±0.0603,0.5268±0.0681,0.8260±0.0509,0.8035±0.0510,0.6838±0.0510,0.6456±0.0759,0.1036±0.0143,0.1040±0.0150,0.1098±0.0150,0.1351±0.0196,0.0555±0.0082,0.0558±0.0086,0.0596±0.0088,0.0766±0.0122,0.8147±0.0390,0.7900±0.0532,0.7183±0.0485,0.5831±0.0369,0.0496±0.0174,0.0332±0.0111,0.0090±0.0061,0.0006±0.0021
PreOrder__Subset__None,0.5940±0.0780,0.5554±0.0779,0.4194±0.0662,0.2639±0.0310,0.1818±0.0386,0.1526±0.0375,0.1130±0.0201,0.0897±0.0171,0.4807±0.0328,0.4678±0.0406,0.4269±0.0352,0.3619±0.0464,0.1976±0.0338,0.1803±0.0341,0.1572±0.0242,0.1358±0.0236,0.2491±0.0465,0.2733±0.0444,0.3718±0.0350,0.5593±0.0202,0.1513±0.0271,0.1313±0.0280,0.1039±0.0179,0.0841±0.0160,0.0986±0.0127,0.0993±0.0135,0.1048±0.0133,0.1256±0.0172,0.0546±0.0079,0.0552±0.0083,0.0590±0.0085,0.0739±0.0114,0.7719±0.0358,0.7530±0.0542,0.7051±0.0470,0.6072±0.0489,0.8371±0.0519,0.8200±0.0529,0.6971±0.0487,0.6049±0.0628,0.1057±0.0151,0.1068±0.0160,0.1138±0.0160,0.1392±0.0221,0.0566±0.0086,0.0573±0.0091,0.0617±0.0093,0.0779±0.0133,0.8294±0.0374,0.8119±0.0449,0.7549±0.0392,0.6657±0.0371,0.0512±0.0160,0.0270±0.0139,0.0037±0.0050,0.0000±0.0000
br,0.8348±0.0474,0.8023±0.0525,0.7566±0.0470,0.6761±0.0460,0.6513±0.0233,0.6281±0.0308,0.5578±0.0339,0.3197±0.0390,0.5813±0.0209,0.5690±0.0159,0.5229±0.0279,0.3445±0.0411,0.5997±0.0191,0.5837±0.0183,0.5265±0.0270,0.3172±0.0375,0.9583±0.0045,0.9549±0.0042,0.9423±0.0062,0.8955±0.0077,0.5772±0.0223,0.5602±0.0185,0.4989±0.0240,0.2837±0.0337,0.1980±0.0345,0.2218±0.0372,0.2256±0.0345,0.1723±0.0262,0.4276±0.0739,0.3962±0.0621,0.3022±0.0519,0.1568±0.0281,0.1419±0.0259,0.1705±0.0326,0.2018±0.0353,0.2357±0.0363,1.0000±0.0000,1.0000±0.0000,0.9991±0.0026,0.9755±0.0134,0.3886±0.0467,0.3773±0.0516,0.3471±0.0532,0.2396±0.0421,0.8737±0.0140,0.7028±0.0719,0.4333±0.0641,0.1960±0.0383,0.2510±0.0383,0.2590±0.0416,0.2904±0.0486,0.3096±0.0464,0.5163±0.0335,0.4943±0.0291,0.4257±0.0281,0.2062±0.0293
cc,0.8201±0.0377,0.8067±0.0601,0.7769±0.0551,0.6831±0.0697,0.6504±0.0214,0.6259±0.0300,0.5605±0.0259,0.3204±0.0478,0.5853±0.0205,0.5661±0.0221,0.5232±0.0267,0.3435±0.0394,0.6023±0.0194,0.5814±0.0221,0.5275±0.0253,0.3155±0.0425,0.9579±0.0047,0.9549±0.0049,0.9438±0.0068,0.8937±0.0110,0.5804±0.0221,0.5579±0.0215,0.5004±0.0269,0.2828±0.0418,0.2155±0.0314,0.2204±0.0529,0.2072±0.0425,0.1676±0.0320,0.4521±0.0708,0.3938±0.0832,0.2793±0.0549,0.1557±0.0331,0.1565±0.0178,0.1660±0.0447,0.1832±0.0412,0.2279±0.0511,1.0000±0.0000,1.0000±0.0000,0.9994±0.0021,0.9762±0.0177,0.3872±0.0235,0.3772±0.0701,0.3449±0.0537,0.2271±0.0375,0.8553±0.0355,0.6951±0.0857,0.4532±0.0572,0.1867±0.0357,0.2505±0.0176,0.2604±0.0562,0.2805±0.0528,0.2938±0.0466,0.5209±0.0308,0.4927±0.0312,0.4270±0.0377,0.2084±0.0407
