Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7983391405342626,0.013848657875970807
RF,CLR,subset0_1,0.04164924506387921,0.04038724173383058
RF,CLR,f1,0.06267828106852497,0.06102750551833758
XGBoost,CLR,hamming_accuracy,0.7631126596980254,0.019573437954548075
XGBoost,CLR,subset0_1,0.13056910569105692,0.0518207175006268
XGBoost,CLR,f1,0.22017344173441736,0.06295687055246547
ETC,CLR,hamming_accuracy,0.7975609756097561,0.015896086272021145
ETC,CLR,subset0_1,0.05714285714285714,0.05332869951177693
ETC,CLR,f1,0.08333101045296168,0.07351605863802124
LightGBM,CLR,hamming_accuracy,0.7714982578397214,0.020044731148778198
LightGBM,CLR,subset0_1,0.09375145180023228,0.05069552171898637
LightGBM,CLR,f1,0.19575919473480446,0.07644293652270946
