Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6816816816816816,0.017349978168954103
RF,CLR,subset0_1,0.09117117117117118,0.02353680114278621
RF,CLR,f1,0.4912286572286569,0.029276545755801655
XGBoost,CLR,hamming_accuracy,0.6802402402402403,0.016646932558488065
XGBoost,CLR,subset0_1,0.09693693693693695,0.024211282208635422
XGBoost,CLR,f1,0.5254208494208491,0.03003688670878933
ETC,CLR,hamming_accuracy,0.6763963963963964,0.015224484821866531
ETC,CLR,subset0_1,0.08072072072072073,0.033367890535985704
ETC,CLR,f1,0.4811231231231228,0.0282392662983665
LightGBM,CLR,hamming_accuracy,0.6781981981981984,0.01256763035421187
LightGBM,CLR,subset0_1,0.09837837837837839,0.026471160608586605
LightGBM,CLR,f1,0.5127032747032743,0.031849257065897
