Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6383183183183183,0.02116348123497238
RF,CLR,subset0_1,0.04684684684684684,0.017653980128167046
RF,CLR,f1,0.35266752466752466,0.03751077105633386
XGBoost,CLR,hamming_accuracy,0.6308708708708709,0.020734556028658965
XGBoost,CLR,subset0_1,0.0554954954954955,0.023723647698209425
XGBoost,CLR,f1,0.4354929214929213,0.035210360533834896
ETC,CLR,hamming_accuracy,0.6306906906906907,0.012835721512160081
ETC,CLR,subset0_1,0.0418018018018018,0.01852967226260532
ETC,CLR,f1,0.35343572143572133,0.034926452475923124
LightGBM,CLR,hamming_accuracy,0.6236636636636637,0.017982347072829204
LightGBM,CLR,subset0_1,0.047207207207207204,0.0225448537940426
LightGBM,CLR,f1,0.4106706706706704,0.034215659485643875
