Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8012388695315525,0.012245041595822787
RF,CLR,subset0_1,0.025180023228803715,0.02515952896942291
RF,CLR,f1,0.027766163375919476,0.02494968166350131
XGBoost,CLR,hamming_accuracy,0.8059930313588849,0.018271933613656085
XGBoost,CLR,subset0_1,0.1556794425087108,0.06135019503553641
XGBoost,CLR,f1,0.20737979094076656,0.05750246329985145
ETC,CLR,hamming_accuracy,0.8021912504839334,0.015174825330957894
ETC,CLR,subset0_1,0.02903600464576074,0.027474382518237073
ETC,CLR,f1,0.038668215253581106,0.03221946072391327
LightGBM,CLR,hamming_accuracy,0.8061324041811847,0.015792418818043493
LightGBM,CLR,subset0_1,0.0900116144018583,0.04262248123852374
LightGBM,CLR,f1,0.1263244289585753,0.049319636315372783
