Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.80091366627952,0.013260905197004286
RF,CLR,subset0_1,0.032822299651567945,0.030384092165457555
RF,CLR,f1,0.04500967866821524,0.04021010816151088
XGBoost,CLR,hamming_accuracy,0.791145954316686,0.013977479992904855
XGBoost,CLR,subset0_1,0.1267131242740999,0.04645934956083165
XGBoost,CLR,f1,0.2121068524970964,0.056048340241515865
ETC,CLR,hamming_accuracy,0.8022222222222222,0.015890736357435514
ETC,CLR,subset0_1,0.04357723577235772,0.03425539011946711
ETC,CLR,f1,0.060205962059620595,0.0378296476341929
LightGBM,CLR,hamming_accuracy,0.7977429345722029,0.020496714192413258
LightGBM,CLR,subset0_1,0.10727061556329849,0.05917569546702131
LightGBM,CLR,f1,0.15887340301974445,0.07016593158991236
