Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7446375160233585,0.01452918161229413
RF,CLR,subset0_1,0.10150975644495086,0.03359151851342282
RF,CLR,f1,0.2760018990647107,0.04923032879190707
XGBoost,CLR,hamming_accuracy,0.7467502255139344,0.017687342743118072
XGBoost,CLR,subset0_1,0.13960974220196554,0.033061985093193996
XGBoost,CLR,f1,0.43149190523667075,0.04173272950693736
ETC,CLR,hamming_accuracy,0.7389607368371078,0.01423486171027567
ETC,CLR,subset0_1,0.09782367184161801,0.037727395751981585
ETC,CLR,f1,0.26227811802687184,0.04045961238175411
LightGBM,CLR,hamming_accuracy,0.7345767459526183,0.01857597435304049
LightGBM,CLR,subset0_1,0.12614442387124342,0.028007922351622878
LightGBM,CLR,f1,0.39658389457477894,0.035245720799575095
