Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7620323002240478,0.011404949773082276
RF,CLR,subset0_1,0.05932038834951456,0.04623699673058913
RF,CLR,f1,0.05932038834951456,0.04623699673058913
XGBoost,CLR,hamming_accuracy,0.7913918969380136,0.01670662748339095
XGBoost,CLR,subset0_1,0.29703883495145633,0.06184471340358719
XGBoost,CLR,f1,0.32111588249937767,0.06750587872607405
ETC,CLR,hamming_accuracy,0.7641504854368932,0.010759608318140592
ETC,CLR,subset0_1,0.06587752053771471,0.047655477265416434
ETC,CLR,f1,0.06587752053771471,0.047655477265416434
LightGBM,CLR,hamming_accuracy,0.7791831590739358,0.012477354186965689
LightGBM,CLR,subset0_1,0.23659073935772967,0.03548767364631523
LightGBM,CLR,f1,0.2602459546925566,0.042341799422717444
