Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7667550410754295,0.0074525802776186706
RF,CLR,subset0_1,0.07474981329350261,0.030672854840016982
RF,CLR,f1,0.07474981329350261,0.030672854840016982
XGBoost,CLR,hamming_accuracy,0.8110408887229275,0.014522272009161138
XGBoost,CLR,subset0_1,0.3008700522778193,0.04789543112094005
XGBoost,CLR,f1,0.3047236743838686,0.04879633910990704
ETC,CLR,hamming_accuracy,0.7581833457804332,0.008053144606275557
ETC,CLR,subset0_1,0.04046303211351756,0.02934452518595283
ETC,CLR,f1,0.04046303211351756,0.02934452518595283
LightGBM,CLR,hamming_accuracy,0.7908280433159074,0.014485888640607833
LightGBM,CLR,subset0_1,0.20961911874533234,0.04918003012115951
LightGBM,CLR,f1,0.21218571072940004,0.048747717734955696
