Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7662761389096342,0.008820876791520115
RF,CLR,subset0_1,0.07399178491411501,0.03671153032914579
RF,CLR,f1,0.07399178491411501,0.03671153032914579
XGBoost,CLR,hamming_accuracy,0.8063405526512323,0.01459796321938181
XGBoost,CLR,subset0_1,0.3066840926064227,0.06112098909086162
XGBoost,CLR,f1,0.3178853622106049,0.061660982262668945
ETC,CLR,hamming_accuracy,0.762998506348021,0.0065874674794917055
ETC,CLR,subset0_1,0.06050037341299477,0.028990414161675027
ETC,CLR,f1,0.06050037341299477,0.028990414161675027
LightGBM,CLR,hamming_accuracy,0.8014143017176998,0.01447667207940238
LightGBM,CLR,subset0_1,0.27311426437640035,0.05388503483764484
LightGBM,CLR,f1,0.2830134428678118,0.055757133900156776
